#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	pykF//yhdX//
AcrR_neg	skp//yafO//appB//malG//sgrR//ynbD//icd//lsrF//citX//fliL//yqjI//
Ada_neg	add//mgtA//
Ada_pos	gcvA//malE//carA//ccmA//
AdiY_pos	phnL//hycD//gntU//ddpC//rybA//thiP//ydfD//yjbH//
AgaR_neg	ycdZ//malZ//ybdZ//ygiA//flhB//fhuB//dtpA//ynfF//potH//gltB//ynfG//
AidB_neg	glpQ//
AlaS_neg	dicC//
AllR_neg	nikB//yeaG//csrB//malQ//rutC//ptrA//lpxD//glnG//fixB//
AllS_pos	katG//aceE//folA//
AlsR_neg	ynfF//mraY//rffT//hcaE//iscU//citD//
AppY_pos	tauB//nrdH//fliI//nrfD//purL//nagC//xylF//entD//yidQ//waaH//
AraC_neg	nagA//hokD//hycA//rutG//manZ//xylF//tolC//entE//
AraC_pos	nadA//ynbD//nfo//aidB//ulaD//narI//zinT//gatZ//ruvA//yjbH//
ArgP_neg	flhC//
ArgP_pos	mazE//moaA//yjhC//hyfD//ttdR//gudD//rclA//mazE//glpF//yjbF//hyfB//cspI//tdcE//
ArgR_neg	ychF//pykF//argA//metB//znuB//entE//uxuB//pspG//ccmD//lsrR//hycC//ung//folA//hisJ//lhgO//pdeH//glnD//rcnA//rob//glnD//cysN//cyaR//uidC//yhdW//ftsW//polB//tbpA//relE//uhpT//gcvB//lpxC//uspD//pfkA//
ArgR_pos	creA//feaR//fabZ//dpiA//nanT//
ArsR_neg	fucU//tisB//yhiD//
AscG_neg	norW//hypB//mqsR//rtcB//leuA//
AsnC_neg	creB//rpmI//metH//
AsnC_pos	fnr//
AtoC_pos	higA//glmS//wzyE//sufE//
BaeR_pos	deoA//glk//glk//borD//osmY//napH//dtpA//safA//
BasR_neg	gcvB//ribA//
BasR_pos	cyoA//fhuA//rutC//fecA//ulaD//casD//gspE//patD//agaD//yfdX//ulaB//
BetI_neg	pspC//nfuA//csgB//ftsW//
