#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	flhC//tehB//
AcrR_neg	puuB//ybdN//frc//aceF//betI//slp//rutR//ebgC//murC//thrS//treC//
Ada_neg	metJ//yccA//
Ada_pos	uxuB//tisB//ung//creA//
AdiY_pos	phoE//flgC//argI//csgE//narI//tdcC//epd//mntP//
AgaR_neg	pepA//sra//gnd//cusB//omrB//yeaE//ulaC//araE//fixX//sroD//nrfE//
AidB_neg	uof//
AlaS_neg	flgF//
AllR_neg	galE//yccJ//chbF//gpmM//iraP//lacZ//borD//rhaT//sbmA//
AllS_pos	mngB//relB//paaK//
AlsR_neg	purK//ydcV//sucB//mtlR//yeaG//ydjM//
AppY_pos	wecE//ccmE//yhdW//pgaC//glgC//alsA//dinB//dcuB//nuoL//uxaA//
AraC_neg	pheT//nemA//ulaA//hyfD//sra//glcE//puuR//pspG//
AraC_pos	nuoE//appC//hcaF//ulaF//allD//cynT//phnJ//nikB//bioB//napA//
ArgP_neg	sufS//
ArgP_pos	recC//yegR//rbsC//yhbT//cysI//agaC//nupG//dmsB//acnB//marR//rseA//tcyJ//ykiA//
ArgR_neg	dgcZ//ddpX//gyrA//fruB//pnp//trpR//infB//cysW//bioB//tisB//ddpC//phoR//pfkA//norW//phoE//fadM//arsB//ppc//gltL//ulaE//gadC//betA//hmp//pspG//rnlA//decR//dctR//rutA//ddpD//gltD//ycgZ//araA//allD//
ArgR_pos	dinJ//gcvB//yccT//yjbF//nusA//
ArsR_neg	psiF//glpC//insK//
AscG_neg	fhuA//tnaB//nikD//tyrB//norR//
AsnC_neg	yfdX//marB//ssuA//
AsnC_pos	caiE//
AtoC_pos	asnB//ccmE//srlE//zraS//
BaeR_pos	nagC//gntK//yjbF//yiaM//osmB//potG//tadA//hycB//
BasR_neg	hdeD//thiQ//
BasR_pos	gntK//mngR//mhpB//mscM//ydhW//phoR//araD//yagK//srlD//fbaA//argT//
BetI_neg	ydeI//yecT//nrfC//tisB//
BirA_neg	metH//eda//pagP//pspB//ydiU//
BluR_neg	katG//rpiB//xylR//sbcD//
BolA_neg	ynbB//mngA//
BolA_pos	mpl//rffG//
CadC_pos	ybfN//metE//cspD//
CaiF_pos	xylH//hybD//cusB//mglC//nanK//patA//moaE//potH//spy//potF//
Cbl_pos	btuB//cydC//gadC//uvrD//hcaC//caiD//argP//rutR//lpxA//
CdaR_pos	eno//soxR//leuA//yiaJ//yjbG//mdtC//fecB//argA//sufD//ppiD//
CecR_neg	gltK//entD//ompW//yfdV//tyrB//
ChbR_neg	aroG//araB//paaK//ptsG//relB//ttdR//
ChbR_pos	grcA//cbl//hycE//mglB//nrfA//hcaD//
ComR_neg	fucO//
CpxR_neg	ydcU//malQ//gatA//moaB//yecR//yciX//serA//fadE//nac//yjbE//torA//gadB//hisQ//glcD//rcnB//iraP//isrC//alsC//csrC//flgL//cynS//ytfE//alaC//sgbU//
CpxR_pos	amtB//sulA//bglG//hyfE//pqiA//oppA//malQ//ydcU//yafO//hybB//napH//xylA//emrK//aroP//frdC//tauD//acrA//gltB//crl//frdC//napH//phr//melA//ppdB//prs//fucA//flgG//nanC//yjhC//rffG//murP//chbA//sgrR//yrbL//aldA//phnG//deoB//ynfH//metB//fdnI//mngB//wecC//polB//ftnA//pspG//agaD//
Cra_neg	sroA//fadI//tyrP//allA//mntH//sufE//higA//fadH//nuoE//lysC//ydjM//luxS//ybhS//casE//marA//lsrB//wecB//rstA//dmsC//arsR//fimE//mipA//flhA//cydA//ybhS//lysC//sbmC//dpiA//yhdW//gltJ//tpiA//lpxC//araF//hdeD//hycF//flgN//ydhV//yiaO//pepD//yjhC//entE//fecD//yiaO//kbp//agaB//hcp//ybjC//narH//epd//nupG//rffG//arsC//rpoE//oxyS//gspH//rdoA//hypE//gspC//skp//
Cra_pos	hycD//pgaB//paaA//cytR//ydfH//recN//sbcD//torD//dpiB//ppdC//wecB//murC//nagC//fabZ//yagK//malK//sroA//allC//gnd//tauA//nusA//fucR//malY//
CreB_neg	uidB//allD//nuoA//
CreB_pos	xylF//kbaZ//
CsgD_neg	trpR//sgbE//hybB//mpl//melA//dgcZ//glcC//carB//hyfC//ygiC//ompT//agaB//uidA//fadM//glpA//
CsgD_pos	dkgA//folE//lldD//rcnR//xylA//yoeB//moaC//lpxC//yqjI//ftsZ//mhpD//mgtL//yeaG//
CsiR_neg	hycE//moaC//hycI//cynS//mscM//
CspA_pos	pdhR//zraS//
CueR_neg	gdhA//tauD//aroF//galP//bioA//
CueR_pos	polA//metE//
CusR_pos	cpxP//ftnB//udp//dkgA//hns//osmC//xylG//tauC//copA//ydhV//leuA//nimT//
CynR_neg	yidL//
CynR_pos	dinF//phnE_2//cysB//
CysB_neg	dhaK//cyoB//ppdA//hyaE//exuR//csrB//mgtA//
CysB_pos	uidR//ddpF//pflB//hypE//psiF//gcvA//asnC//ynfK//astA//aceA//uxuA//glgB//gadF//uxuA//lpxA//gpmA//fdnG//mipA//fadJ//symE//ada//frdC//chiP//treR//murR//
CytR_neg	ddlB//glnB//flgM//tyrB//rybB//galM//fnr//ydcU//fecD//citG//yccJ//galR//trxC//
Dan_pos	stpA//kdpC//ampC//purR//
DcuR_pos	rbsD//csgF//nemR//araE//htpG//focB//ddlB//gnd//lacA//
DeoR_neg	idnD//iscR//agaB//dsbG//fliQ//napA//
DhaR_neg	csrC//
DhaR_pos	hcr//ruvA//recD//
DicA_neg	entA//fecR//osmB//hemH//citX//nrdD//rnpB//flu//
DinJ-YafQ_neg	gntU//dhaK//ynbB//
DnaA_neg	exuR//rhaT//leuC//cyaR//fdnI//kdpA//nuoI//phoP//rutR//phnF//sgbE//
