#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	caiA//rstB//
AcrR_neg	feoB//narK//glgA//ugpQ//ariR//sulA//ribA//xapA//nhaR//iclR//sufC//
Ada_neg	argA//napG//
Ada_pos	dcuR//metB//fbaA//paaX//
AdiY_pos	ulaA//dinJ//dinD//pck//ftnB//gntP//argB//flgD//
AgaR_neg	gapA//ascF//narK//flhB//bhsA//gltI//adiA//tauC//hyaC//borD//oppD//
AidB_neg	lamB//
AlaS_neg	flgF//
AllR_neg	ydhU//gspD//baeR//dinF//ruvA//ulaB//hha//gor//araF//
AllS_pos	lsrB//chbF//nrfE//
AlsR_neg	lsrR//dicB//gcvB//icd//norW//fdnG//
AppY_pos	rpoS//fliZ//deoC//stpA//ampC//ebgA//phoA//nadB//pspB//betA//
AraC_neg	pheT//fes//pgaB//ynfF//rtcB//glnD//srlA//dgcN//
AraC_pos	sgrS//luxS//gadA//fadB//trpB//rpsO//hha//psd//erpA//gspE//
ArgP_neg	hisM//
ArgP_pos	alsA//nfsB//ybhR//csiD//bamE//cadB//fdnG//lacA//tnaC//fliA//pqiA//galT//pfkA//
ArgR_neg	phoA//pspF//flhD//potG//nuoJ//glnL//ybhS//aslB//ascB//yecR//intQ//waaZ//dsdA//acnB//gltK//ccmF//sgbU//lsrC//ugpQ//mioC//obgE//pspB//ppdC//leuD//casD//caiD//puuC//caiC//glpB//nupC//argT//hipA//bolA//
ArgR_pos	napG//betI//cspD//yebG//nrfC//
ArsR_neg	nanC//pspE//xapB//
AscG_neg	tam//manZ//rbfA//yidQ//rutC//
AsnC_neg	obgE//dtpA//pfkA//
AsnC_pos	emrB//
AtoC_pos	gabP//efeU_2//rpoS//pdeL//
BaeR_pos	murP//purC//phoR//yccJ//serA//ydbK//nrdB//asnB//
BasR_neg	uxuB//gutQ//
BasR_pos	ydcT//yhbE//xylB//deoC//lsrF//paaG//yjhC//fabH//yhbS//agaW//thrS//
BetI_neg	phnG//caiD//guaA//ccmC//
BirA_neg	yfiR//nrdB//argH//yafO//waaZ//
BluR_neg	ccmG//flhA//alkA//cas2//
BolA_neg	sufD//oppD//
BolA_pos	tauC//flgC//
CadC_pos	ybaS//gspC//galE//
CaiF_pos	nrdI//norR//idnO//glgC//iraP//gcvH//wcaB//lldR//yjiY//gadE//
Cbl_pos	xylG//trpC//rbfA//malG//yoaC//tdcD//mdtE//mhpT//fecA//
CdaR_pos	hcp//phoH//puuP//rybB//ssrS//mdh//cysU//ydbD//xylA//puuA//
CecR_neg	napF//purN//ssuE//yqhD//mraZ//
ChbR_neg	yccA//mgtL//fabA//tyrA//frdA//fliP//
ChbR_pos	cdd//gntK//trpL//mpaA//rffT//dkgA//
ComR_neg	rpoS//
CpxR_neg	rob//tehB//mngB//yciW//nrfD//cyoA//yeaH//gspC//creB//gadF//pgaA//murI//fbaB//glpK//phoH//pgaB//phr//hcaF//dsdC//nagB//sgrR//cadC//sgrT//yafN//
CpxR_pos	pgm//fadM//ynfF//emrB//entB//yeaH//zraS//sucC//ygeA//rnlB//nrdE//ydhY//fecI//murD//ompN//manY//uvrC//yiaK//lldD//tauB//slt//tomB//cysK//uof//ssuB//fucO//flhC//fruK//aroP//mntP//uhpT//murE//casB//hns//lysP//uidA//ftsW//tauD//cysC//nuoH//ddpF//gltD//paaC//citD//patD//potH//
Cra_neg	fhuE//cheA//yneM//flhE//cynR//recN//ulaF//paaB//nrfG//cadB//garD//glyA//yecT//manY//cysI//cusF//gabT//deoD//ccmH//gabP//glgC//skp//ydiU//pgaA//gntP//ybaT//asnB//modA//argT//yagK//gntX//fecB//phoP//yciE//seqA//dsbC//folA//rpsO//znuC//paaB//ddpC//dmsB//ubiX//hcaC//higA//wecB//ynbD//dgcC//ynfG//hyfH//metF//appY//cadC//hypF//purN//yoaC//paaE//ybaT//yafP//
Cra_pos	wcaB//obgE//osmB//ftsL//ndh//cdaR//agaA//stpA//yiaM//hycH//flgJ//yqaE//gspO//ycjY//araB//hyaB//cpxR//folE//paaX//ygiB//nhaR//sbcD//narK//
CreB_neg	rpoD//dinF//mdtA//
CreB_pos	rhaD//fbaA//
CsgD_neg	nirB//hyi//omrB//tdcG//cueO//puuE//dmsD//ddpX//xapB//rcnR//araC//ptrA//paaK//mdtC//mgtL//
