#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	cynT//sufB//
AcrR_neg	spy//fumB//hyaA//flgB//narH//malM//recN//yebG//oppA//napF//iscA//
Ada_neg	zraR//moaA//
Ada_pos	yeaH//acrA//tsr//fixC//
AdiY_pos	ynfF//focB//luxS//mhpT//rutB//pspD//tam//fliO//
AgaR_neg	glcD//fecC//yjbH//rseC//yjbG//wzxE//cysU//ssuA//gadX//dnaG//malZ//
AidB_neg	glnQ//
AlaS_neg	fdnI//
AllR_neg	phoQ//creB//fadH//hycC//appY//zraP//nirD//ynjI//citC//
AllS_pos	zraR//nimR//pspD//
AlsR_neg	sgrR//napC//cpxP//yefM//stpA//relE//
AppY_pos	dapB//folA//dgcN//gltL//chiP//mnmG//gltI//potF//metE//sodA//
AraC_neg	cysB//asnA//gltB//serA//rpoS//sfsB//alsC//nupC//
AraC_pos	tsr//yebE//iscR//ugpQ//yccJ//gadF//tdcC//yhcH//araC//caiE//
ArgP_neg	nagC//
ArgP_pos	cysW//mhpC//chbB//gntU//agaD//pspB//tauA//ccmD//sucA//rplT//rbsD//garL//astE//
ArgR_neg	fadM//fixC//puuE//tbpA//envC//bamE//melR//hycD//glnB//alkA//argA//recC//ybdZ//ydjM//gadB//cysG//fadL//fepG//wecC//appB//allS//yecT//pgaA//phoE//fhuE//obgE//gdhA//gltI//rcnA//hyi//ygiC//bacA//deoD//
ArgR_pos	cytR//rpmI//yjbG//csgG//alaC//
ArsR_neg	allA//nrfA//puuA//
AscG_neg	sbcC//metE//treB//prs//flgI//
AsnC_neg	dcuS//relB//kbaZ//
AsnC_pos	gntX//
AtoC_pos	argH//ydhV//galS//ecpR//
BaeR_pos	ttdB//ynfF//gcvP//mraZ//cysJ//phnM//rutC//purH//
BasR_neg	safA//ftsA//
BasR_pos	borD//stpA//mnmG//yjbG//dpiB//flu//tdcG//grxA//argP//bluF//ydfW//
BetI_neg	glgC//alsC//yebG//ygiC//
BirA_neg	fucI//yhdW//tauC//fabA//mdtE//
BluR_neg	hha//tyrA//astE//citD//
BolA_neg	hdeD//safA//
BolA_pos	yoaC//lysC//
CadC_pos	polA//bolA//hyfI//
CaiF_pos	yciE//cho//pspB//lysA//caiC//waaH//glcG//yeaG//cyoB//higA//
Cbl_pos	ppc//garL//hcaC//ybbW//ygiA//xapB//umuD//malK//glgA//
CdaR_pos	metK//oppC//nikR//creA//ydcV//manY//csgG//malM//tdcA//agaC//
CecR_neg	gabD//tnaC//cyoB//glgP//oppF//
