#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	guaA//yafP//
AcrR_neg	cusS//gadW//pgaC//asnC//tam//ugpA//yhdZ//molR_1//hybG//rtcA//gntK//
Ada_neg	fhlA//yafP//
Ada_pos	prpE//leuA//baeS//talA//
AdiY_pos	araH//hcaF//nac//artM//melA//dmsD//lsrD//torA//
AgaR_neg	hokD//dhaK//lyxK//narL//yegR//dnaA//fbaA//gntU//hybE//mhpB//caiA//
AidB_neg	paaD//
AlaS_neg	dsbA//
AllR_neg	grcA//ulaB//puuD//ubiX//glnD//gspI//adiC//agaI//ynfK//
AllS_pos	asnC//allS//argC//
AlsR_neg	fruB//ogt//uxaB//astB//iscS//yiaJ//
AppY_pos	phnG//yhbT//entE//artJ//alsB//phnC//ompW//exbD//ynfE//yqjH//
AraC_neg	tyrP//metQ//casA//lpxC//folE//tpiA//yidQ//murR//
AraC_pos	ynbD//sbmC//gadE//rplU//galR//ldtC//pqiA//marB//accC//fepC//
ArgP_neg	fldB//
ArgP_pos	gspL//soxS//rimP//gltJ//atoD//paaZ//gloA//fixA//alaC//csgE//glcG//entA//kdpF//
ArgR_neg	ppc//patD//rhaS//yqhD//yagK//gltF//yhcH//hcaR//nemA//aceF//wza//ccmB//mtlD//glpA//ydhX//phnM//modC//hemL//malM//srlA//sbcC//dhaL//ddpF//uspA//fnr//purF//yhdW//recA//yccJ//acrB//hemH//yeiL//mazF//
ArgR_pos	purC//rhaA//hybO//ssrS//thiQ//
ArsR_neg	flgF//ybhF//astC//
AscG_neg	tnaC//entE//dctA//murC//fecI//
AsnC_neg	citC//puuB//fixA//
AsnC_pos	yqhG//
AtoC_pos	ulaD//flhE//gspF//infB//
BaeR_pos	galE//hns//bioA//ulaF//fdnI//znuC//nuoK//dmsA//
BasR_neg	dcuD//ascF//
BasR_pos	rpmA//nrfE//polA//degP//lacZ//frdB//ribA//rseC//fruA//mltF//allC//
BetI_neg	tadA//lgoR//metQ//waaH//
BirA_neg	aroM//adiA//focA//galM//puuA//
BluR_neg	umpH//ccmH//dhaL//pspG//
BolA_neg	ldtB//hybA//
BolA_pos	dhaL//sbmA//
CadC_pos	glgX//nuoB//relA//
CaiF_pos	glpK//araF//hycC//yafQ//nadA//ssuE//csgB//glgA//uxuR//metI//
Cbl_pos	nadA//rcnA//dmsA//nuoH//cho//ybfN//mioC//yeiB//malX//
CdaR_pos	puuR//ttdR//recD//sroD//dcuS//ariR//chiP//gadX//pgaC//cvpA//
CecR_neg	ptsH//mcbA//ybbY//agaS//dnaA//
ChbR_neg	purN//rseC//dsdA//flgE//appB//nrfA//
ChbR_pos	prpC//bioD//araC//speA//gutQ//rpoE//
ComR_neg	yccJ//
CpxR_neg	nuoI//gatD//dhaR//fecE//nuoB//oppC//ytfE//pepA//ydcU//ybdZ//puuR//rclA//lysO//pstB//focA//napG//mdtD//mhpT//ubiC//purN//entF//rcsA//murP//dcuA//
CpxR_pos	hybG//mngR//rclB//fliL//hycC//cueO//sgbE//fldA//tauD//metQ//skp//soxR//ycjY//sucC//htpG//sgrR//phnJ//murG//gntU//cbl//yqjI//ydiU//bolA//higB//ydhU//cysI//yciE//wzc//ybdN//fabG//yebE//asnC//hemH//pflB//iraP//creA//emrY//hemH//fabI//sucA//yeaH//paaK//leuB//rpmA//fruK//puuE//
Cra_neg	atoE//lsrD//focA//nmpC//btuB//ndh//metB//exuT//ybhG//citC//ccmH//ompC//araH//fecI//frdB//iraP//alkB//yneM//artM//glnH//bglB//fliP//gspD//lrp//flgN//ycjY//yhbT//cirA//fruB//sufC//arsC//ydhX//ygeH//glcG//ulaB//dmsB//yafO//hslJ//kbp//amtB//ybbW//yeiL//ndh//yeaR//nanC//tpiA//gspI//fbaB//gpmA//yhbS//flgI//ssb//ybfN//tolC//lpxA//kbp//pheM//bioC//uvrY//
Cra_pos	tnaA//appY//ccmH//ftsQ//aspC//ybfE//symE//gspI//tyrR//ydfH//yfiB//rnpB//araC//galT//mpaA//nhaA//yhiM//yciE//envC//nmpC//ldtB//ppiA//sodB//
CreB_neg	glpC//phoA//tyrB//
CreB_pos	pspB//mglB//
CsgD_neg	iclR//nadA//baeS//glnK//ccmB//lysC//moeA//zraP//yhhY//purH//iscR//narL//fhuE//lysA//mhpA//
CsgD_pos	ycgR//hemL//gspJ//arsC//gloA//ydfN//leuA//hcaF//trpE//aceF//araH//kdpF//garL//
CsiR_neg	sucA//ubiA//ddpX//rffC//thiP//
CspA_pos	yjhB//oppB//
CueR_neg	fliQ//glgP//dinB//feoA//argG//
CueR_pos	casE//fecR//
CusR_pos	fes//pagP//copA//nfuA//tauC//yebG//ttdR//murF//acrR//ssuA//ygaC//murI//
CynR_neg	ddlB//
CynR_pos	hyaF//zraP//yegR//
CysB_neg	leuO//fixX//dicC//ymiA//hdeD//sufS//tnaB//
CysB_pos	slp//dsbG//frdA//wcaA//yeaE//asnA//gutM//mtlR//nuoB//cyoE//ydeN//glpF//alsB//ccmG//flhE//argH//malT//glgP//ygiA//nrfG//arsB//fadB//sroC//feoC//yiaJ//
CytR_neg	uidB//gatC//dgcN//lldP//pnuC//hcaF//glgA//oppA//tnaB//hdeA//edd//gabT//chiP//
Dan_pos	ldtD//murI//dkgA//feoB//
DcuR_pos	argF//luxS//paaB//csgC//qseB//mngB//fes//hybD//rnlA//
DeoR_neg	gspJ//hyfD//carA//purL//recX//hycI//
DhaR_neg	melB//
DhaR_pos	araD//focB//dmsA//
DicA_neg	frdA//wzb//udp//zwf//lsrB//ygiB//nuoK//nuoJ//
DinJ-YafQ_neg	yjjZ//caiF//narL//
DnaA_neg	betI//alsA//pdhR//fepE//creB//fliI//umpH//hyfE//oppA//cho//tcyP//
DnaA_pos	thrS//ompW//nemR//yncE//glgP//narX//fruA//
DpiA_neg	yhbT//
DpiA_pos	nanT//dsbA//hyfF//setA//gatC//kbaZ//ydfH//nrdD//argC//pagP//
DsdC_neg	tyrB//
DsdC_pos	torR//dsbA//
EbgR_neg	fes//hypD//
EnvR_neg	csgC//fumB//
EnvY_pos	dsbA//entC//
EvgA_pos	recD//psiF//xapB//purE//edd//araA//nanE//chbC//bioF//baeS//modC//rbsC//glcG//accA//rcsA//evgS//ybhF//iraM//torC//
ExuR_neg	dicC//iscU//metR//rpoS//mpaA//glnP//ykiA//hdeA//gnd//
FabR_neg	rclB//fadJ//
FadR_neg	hdeB//nanK//evgS//codB//purH//yafO//sufA//micF//edd//yhjA//nfuA//
FadR_pos	mtr//safA//hemL//metL//yhcH//trpD//purD//amtB//fucO//accA//ygiC//murG//
FeaR_pos	tdcB//thiP//
FhlA_pos	aroF//btuB//citD//ynfF//yhdZ//nuoB//flgA//dgcN//guaA//hipB//dnaG//entC//ynfG//melR//nadA//sucA//xylH//pspA//chbA//ompW//ygaC//zraR//rtcA//hemH//ydfN//yncE//gcvT//gntU//mepH//agaB//
FlhDC_neg	appC//ybfN//fhlA//ybiT//
