#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	patD//pdeL//
AcrR_neg	chbA//ldtC//glk//hybA//hyfE//rplT//pheT//mdtB//glnK//yiaK//fau//
Ada_neg	glpB//rffM//
Ada_pos	glpC//allD//nrfA//hcp//
AdiY_pos	gspL//slyB//dicC//sufD//rclA//cysU//argF//napG//
AgaR_neg	tbpA//ppdB//ydfN//dsbC//araF//rcnA//glmY//gapA//araJ//rffT//cyoA//
AidB_neg	recN//
AlaS_neg	srlR//
AllR_neg	mdh//gltJ//oxc//gadB//ybbW//gntK//motB//gcvH//murC//
AllS_pos	dmsD//kbaY//purR//
AlsR_neg	gntK//pnp//ssuA//ycjX//dsdX//hycE//
AppY_pos	tfaQ//mtlD//aldA//glmY//yjbE//caiC//idnD//xylG//metR//sgbU//
AraC_neg	nemA//wzb//tam//pdeH//murG//mhpE//rseB//ccmD//
AraC_pos	fadJ//yhbT//acrB//aldA//yjbG//pspE//ecnB//fiu//pheM//wcaA//
ArgP_neg	nupC//
ArgP_pos	cvpA//glpC//narJ//idnK//metB//yhbT//hyaC//modA//hokE//yhbS//mprA//paaF//fliA//
ArgR_neg	grcA//ccmA//dsbG//fnr//edd//iscA//araC//xylA//nrfB//zinT//ydfW//agaD//treR//csgB//emrK//glmS//pgaD//zinT//phoU//alsB//cysW//nhaA//hisP//rcnR//pnuC//sbcC//phnO//cpxQ//hypC//ccmG//relE//nemA//phnJ//
ArgR_pos	ariR//mraY//flgA//yqaE//katE//
ArsR_neg	rplT//pgaC//relE//
AscG_neg	agaB//dkgB//ahpF//glgP//focA//
AsnC_neg	ssuC//tsgA//arsR//
AsnC_pos	lysO//
AtoC_pos	yidQ//ynfF//efeU_1//rnlA//
BaeR_pos	cueO//ygeA//ygbA//nlpA//yhjC//rutF//mngR//tam//
BasR_neg	argF//astB//
BasR_pos	htpG//csgG//aceF//uidC//dnaA//rarA//nrdB//fepA//thrS//fliD//nupC//
BetI_neg	ynfG//betB//narJ//inaA//
BirA_neg	phnO//agaI//flgJ//ybdN//uidA//
BluR_neg	potI//fliI//caiA//glmS//
BolA_neg	nrfB//rpiB//
BolA_pos	norR//rclA//
CadC_pos	ccmA//rplT//oxyR//
CaiF_pos	flhC//ydeI//mgrB//arsR//ybhS//deoB//cyoC//bdm//mdtD//micF//
Cbl_pos	trpL//metF//acnA//xylG//yhjX//mraZ//rplT//ahpF//marR//
CdaR_pos	emrY//phnK//nimR//pqiA//nanM//asnB//fimE//sdhC//ykiA//ccmB//
CecR_neg	efeU_2//yegH//bolA//yjjZ//prs//
ChbR_neg	cas2//nuoJ//dmsC//ykiA//glpB//puuB//
ChbR_pos	nikA//argR//patA//rnlA//ccmC//tdcC//
ComR_neg	hypE//
CpxR_neg	mlrA//mtr//gspH//fruB//frdB//murP//gadY//rplU//alsA//recF//gspH//rstA//dsrA//napC//casD//ascF//rffM//ddpD//emrK//galP//fecE//mntS//hflD//feaB//
CpxR_pos	rseB//ybfN//murE//puuP//rhaB//ybdN//yfaE//pdhR//ydeN//pdhR//yfdX//agaB//ykgO//fucP//mglC//hyfC//rutF//cysC//xylH//deoA//rseC//mraZ//dnaA//truB//metK//ompT//allE//citC//rpoH//adiA//gltF//ulaC//mazE//ppc//flhD//glnK//yfaE//cusF//mngA//cusC//ascF//araB//cadA//malX//tnaA//rimK//
Cra_neg	gcl//fixB//flgL//glpF//iscS//nhaR//idnD//malY//rnlB//ynbB//katG//hybA//cysD//ebgA//pyrC//pstS//hcaR//ttdR//sbcD//dsbG//cdaR//tyrP//ppiD//aceE//nikD//rimK//luxS//nanC//ecnB//flgG//mhpD//cyaR//cyoA//prs//chbC//ttdT//fixA//umpH//ykgO//frdC//wecB//ddpB//dinB//mglA//prpR//trpD//gabD//phoU//codA//tdcE//fliI//torR//cysI//uidR//agaS//ybbY//tnaA//lysP//metL//
Cra_pos	ccmC//nrfG//paaA//malF//lolA//nrfB//hcaF//glk//speA//ldtB//zraP//flgM//ulaE//hycG//glpD//lysR//betA//acrA//ascB//kbaZ//sgrT//metQ//pspE//
CreB_neg	glcA//nrdG//fliZ//
CreB_pos	metK//flgL//
CsgD_neg	atoD//dinQ//yfbR//gspK//citC//lrhA//ydhV//argC//dgcZ//alkA//ptsH//adiC//cysJ//flhA//argI//
CsgD_pos	leuA//xapB//trpC//phoH//rybA//malQ//pgpC//phnM//manX//erpA//acrB//srlA//argR//
CsiR_neg	flgD//betI//fnr//purC//atoE//
CspA_pos	lsrF//seqA//
CueR_neg	isrC//fldB//sufA//ubiC//mtlD//
CueR_pos	acrB//pnp//
CusR_pos	cecR//rpiR//nadA//wzzE//purR//speA//yegH//murF//entC//gfcA//dsrA//aceB//
CynR_neg	xylA//
CynR_pos	ydhU//ybfE//ynfF//
CysB_neg	aroL//ydfE//glpA//fucI//recB//cyoC//slt//
CysB_pos	phr//accD//fliZ//ydiV//ydeI//gcl//agaV//ptsG//agaS//puuB//uvrD//phnM//carB//dmsA//tyrP//accA//fliE//ccmD//yqjA//hemL//psd//ykgO//ygdB//yeiB//prpE//
CytR_neg	nirB//dgcC//dinI//yjbG//gatA//glcD//murR//ung//mglC//citC//gadE//rutR//paaG//
Dan_pos	ydbD//kdpC//add//uidR//
DcuR_pos	ymjC//skp//rplT//phnE_1//glgP//pyrC//phnH//uvrB//trxC//
DeoR_neg	higB//tehA//yjbH//dnaG//csgB//slyB//
DhaR_neg	grcA//
DhaR_pos	metI//feoC//gcvB//
DicA_neg	sbcC//hyfF//melA//rhaB//fhuE//rffM//aspA//tauD//
DinJ-YafQ_neg	crr//yhcH//yqjA//
DnaA_neg	rsmH//rpiB//nuoM//dhaM//feoA//pspB//puuE//aroH//aroG//tauB//rbsD//
DnaA_pos	gutQ//ribA//ycjG//dhaK//hyfI//glpQ//putA//
DpiA_neg	ykgO//
DpiA_pos	dmsA//iscS//hycE//relA//uvrD//lsrR//phnE_2//ada//feaR//moaE//
DsdC_neg	gudD//
DsdC_pos	cysW//lsrR//
EbgR_neg	nemA//ssb//
EnvR_neg	gatY//pspF//
EnvY_pos	nuoB//dhaL//
EvgA_pos	ybfN//ydeN//hisJ//intQ//wzc//sbcC//ccmC//uidA//pncB//malM//mipA//metQ//ftsW//rarA//yciW//glnA//dsdC//malE//narX//
ExuR_neg	sroD//uidB//tcyJ//umuD//mtr//ruvA//kbp//gntX//betA//
FabR_neg	ybdZ//ilvC//
FadR_neg	sdhC//lacA//ftnA//nuoH//osmB//ynfG//nusA//astB//ugpB//mdtE//mdtA//
FadR_pos	dnaG//metL//gspE//glxK//ymgC//rtcA//grxA//hha//ulaG//marB//ydcT//ybbY//
FeaR_pos	ascB//ssuB//
FhlA_pos	entB//casD//inaA//fumC//argP//hyfA//nagB//soxR//entA//hokD//gudP//treB//nrdG//ycjY//yhcH//marA//cydB//pspG//fepE//yiaO//mioC//patA//rhaA//hipA//sgrS//appY//nhaA//cydC//leuO//flhA//
FlhDC_neg	rpiR//ebgA//grxA//feaR//
FlhDC_pos	phnM//sucA//agaI//araB//aspA//pgaB//oppC//yccA//ugpC//rhaR//cusA//speA//lamB//lacY//znuB//ynbD//dinG//pgi//yfdE//dmsC//ycjY//argF//glpK//fbaB//rybA//flgN//phoP//flhB//nuoM//znuA//malG//ykgM//glcC//kdpA//putP//mltF//qseC//qseC//thiP//hemH//chiP//gatC//oppB//hybF//cheA//marA//lacA//ldtD//gltL//fimB//gdhA//flu//flhC//phnP//ydfW//umuC//feaB//srlD//rbfA//hcaC//ycgR//dpiB//rnpB//rarA//metN//allB//wrbA//kdpC//osmC//metE//napC//alsB//epd//gudP//leuO//tehB//malY//fixB//
FliZ_neg	paaX//phoA//paaI//udp//entE//fecD//leuL//ynbA//asnC//fliS//fabB//exuT//zwf//htpG//ybjC//lrhA//rutC//puuR//casD//fucA//ubiC//
FucR_pos	hisJ//cysE//mprA//lpxA//sroA//sufS//ahpF//
