#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	fecC//fecC//
AcrR_neg	ydjM//ccmF//hisJ//gcvT//crr//narJ//cysD//tauC//hyfG//aroG//ynbD//
Ada_neg	asnA//dhaL//
Ada_pos	fliP//nikB//ulaB//fliH//
AdiY_pos	uxuA//omrA//cdaR//fixB//alsE//uof//ompW//ynbC//
AgaR_neg	malP//rbsC//kbaZ//lysO//lsrD//marA//baeS//aceE//purD//napC//pgaC//
AidB_neg	yhbT//
AlaS_neg	yaiW//
AllR_neg	mgrR//tehB//phnN//tdcD//glmS//flhC//slyB//moeB//murQ//
AllS_pos	dctA//idnD//ydiU//
AlsR_neg	nrfC//ybaS//yidL//rclA//ynjI//cas1//
AppY_pos	mzrA//rstA//wcaB//oppD//spy//malK//galE//yhjC//araJ//qseB//
AraC_neg	deoD//nrdF//chbR//glcG//bglF//cusR//glnL//ygbA//
AraC_pos	glnL//hemL//uxuA//znuB//nuoB//caiT//bhsA//fliK//bioA//ddpX//
ArgP_neg	rybA//
ArgP_pos	fumC//galS//lsrR//ompW//pncB//cydA//aldA//rclC//xylR//gyrA//lsrK//flgA//yqjI//
ArgR_neg	nuoN//gspK//lldP//fabA//flgB//gspJ//tnaA//mpaA//mazF//hycF//ulaC//dps//hybE//yciE//glcD//yfdE//acnB//ompF//metI//torA//phnC//putP//ygiB//uidC//alsC//fadJ//nanE//nusA//tolC//ycjX//mazE//fepG//yeaH//
ArgR_pos	allE//betT//emrY//rtcB//feaB//
ArsR_neg	xylA//rplT//cra//
AscG_neg	lsrD//araA//hipB//feaB//mhpA//
AsnC_neg	exbB//phnN//wzb//
AsnC_pos	nikD//
AtoC_pos	mnmG//entF//ttdT//ycjG//
BaeR_pos	aidB//gor//glcG//ascB//lolA//ykgO//agaC//rnpB//
BasR_neg	fadR//dtpA//
BasR_pos	fdnI//rfe//ydhV//agaC//alsB//hcaR//glpQ//torD//pyrC//uvrD//ompF//
BetI_neg	betA//garK//uidB//ssrS//
BirA_neg	flu//mtlD//ubiX//nac//nanC//
BluR_neg	gatD//cspE//mhpC//ydeM//
BolA_neg	tsx//ddpB//
BolA_pos	wzyE//ykgO//
CadC_pos	yiiS//gntT//pgm//
CaiF_pos	astA//fliN//pqiB//dctR//glpD//sufD//hycG//ccmF//fepE//lldD//
Cbl_pos	nagB//yciX//nrdF//glnH//recD//ygbA//phnD//tisB//ilvC//
CdaR_pos	murF//asnB//paaE//purC//fecC//dinD//lldD//ftnA//pspC//puuE//
CecR_neg	rhaT//dps//pspD//leuA//accC//
ChbR_neg	casB//phnD//mntS//allE//mipA//thiP//
ChbR_pos	acnA//fabH//purC//dkgA//fecA//metY//
ComR_neg	malZ//
CpxR_neg	oppC//rnlA//hyfC//oxc//evgA//flhE//yebG//rseC//phnI//gspC//rhaB//araJ//cysC//ccmG//hcaE//caiB//cspI//serA//mhpC//pdeR//intQ//agaR//rbsR//gltJ//
CpxR_pos	tnaB//baeR//hcaC//hcr//wzc//idnR//fruA//kbaZ//prpD//gspL//slp//cas1//sgrT//ulaA//ygiA//aceF//galP//deoC//nlpA//napG//lolA//deoD//gyrA//motB//hcaB//fdnG//cadB//znuB//dnaG//uvrY//yhjC//glgB//asnA//sdhD//umpH//araC//gspO//mscM//ssb//mraY//ppdB//metQ//rcsA//tyrB//alaC//cusS//
Cra_neg	hycB//fepA//gfcA//nanK//yhdX//ebgA//rpsO//ydcS//baeS//oppB//ykiA//mioC//hha//gspK//fpr//dgcN//mraY//caiB//nirD//paaE//pflB//dnaG//gspC//ruvA//cvpA//rbsK//nrfF//dgcC//fecB//mazG//purK//uof//rhaS//napH//dapD//glpB//mhpA//frc//nanK//rtcB//phoA//yciE//asnC//murE//glnA//dinJ//pepA//mscM//relE//nanM//gnd//galR//pnp//xylA//cadB//gudX//flhE//nuoI//moaD//
Cra_pos	flgG//phoA//fabD//rutG//atoB//cdaR//ftnB//yiaO//mpl//oxyS//hycB//modA//rpoD//ykiA//purM//ddpB//gntK//cbl//ugpC//ykgM//ada//aroM//betA//
CreB_neg	appX//entH//potI//
CreB_pos	bioD//rpoE//
CsgD_neg	pgk//exbB//rpoS//bamE//mgtA//mnmG//mlrA//araJ//fumC//lrp//rpoH//lysO//sufA//cysB//wecC//
CsgD_pos	fixX//ynfF//ybjC//hemH//mntP//amn//exuR//yneM//yfiR//yjhC//frdC//nuoC//hypF//
CsiR_neg	tdcB//inaA//gltJ//umpH//flgN//
CspA_pos	aspC//cysB//
CueR_neg	alsB//feaB//ssrS//nohA//hycE//
CueR_pos	appB//chiP//
CusR_pos	phoQ//purB//idnR//ompF//hha//ydeI//csgA//lsrB//mtr//hypD//aroL//bioD//
CynR_neg	paaE//
CynR_pos	tolC//rsmH//glcG//
