#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	tdcG//pnuC//
AcrR_neg	ptsH//nikA//gutQ//accD//astA//yeaH//pnp//fucK//yebG//edd//citD//
Ada_neg	ttdR//yhbE//
Ada_pos	argT//rarA//garK//paaI//
AdiY_pos	ftsL//gspL//mraY//trpB//kbaY//pyrC//entS//frdA//
AgaR_neg	chiP//amtB//narH//sucA//bluF//cdaR//glk//malY//cpxQ//lgoR//murI//
AidB_neg	dapD//
AlaS_neg	entS//
AllR_neg	flgN//sdhC//hslJ//yaiA//yiaO//rbfA//yibQ//cysI//dhaM//
AllS_pos	malS//ygiC//fhuD//
AlsR_neg	sgrS//modB//yhdY//yefM//cheW//phoB//
AppY_pos	ldtB//ftsA//dinQ//hyaE//alsC//moaB//cysK//tynA//umuD//cvpA//
AraC_neg	yqaE//cusS//purE//folE//fabZ//prs//icd//tnaB//
AraC_pos	emrY//dsrA//gltK//ybjG//ahpC//flgC//iscA//dinF//mazE//yebG//
ArgP_neg	pstA//
ArgP_pos	recF//pdhR//trpA//fliF//gatB//flu//fbaB//lsrA//bolA//cysK//cysD//ldtD//fadI//
ArgR_neg	dsbA//rpiB//paaX//purA//rffC//dsbC//fhuD//yeaH//gltB//fldA//ynfH//uvrC//nadB//garR//entA//cysB//umuC//bdcA//tauC//tehB//ycjX//fliJ//dinB//cysM//ftnB//hypB//mhpF//metY//gpmA//yqhG//glgB//ihfA//fliR//
ArgR_pos	paaY//rpsO//flhC//dgcC//malM//
ArsR_neg	chbR//fimB//hcaF//
AscG_neg	rtcB//trpD//ascF//uhpT//insK//
AsnC_neg	ydiV//gcvB//araB//
AsnC_pos	casB//
AtoC_pos	sbmC//wzxE//creB//phoA//
BaeR_pos	evgS//dmsC//nuoH//aroL//narX//ldtB//cysI//argE//
BasR_neg	metF//metQ//
BasR_pos	gcvT//cydC//sroC//nuoG//dsdA//intQ//paaJ//fhuC//purH//napB//tisB//
BetI_neg	emrK//cadB//gpmM//ygeH//
BirA_neg	hmp//malK//hslJ//znuC//ybjC//
BluR_neg	fdhF//malS//molR_1//flgI//
BolA_neg	rhaS//ykgO//
BolA_pos	hcr//ebgC//
CadC_pos	ftsQ//ttdR//agaW//
CaiF_pos	phnM//fldB//tadA//dinJ//yneM//omrA//murR//yqjH//zraS//yedX//
Cbl_pos	ompW//ybaS//iraM//speB//nhaR//pnp//torC//dhaL//tyrA//
CdaR_pos	aceB//ynfK//glpA//moeB//wza//carA//inaA//ybbY//hyaD//ubiC//
CecR_neg	rutE//fadL//melR//flgM//caiA//
ChbR_neg	yjbG//gcvA//fepC//fecR//accB//insD//
ChbR_pos	prpE//motB//rpoE//osmY//trpL//ydfN//
ComR_neg	dcuA//
CpxR_neg	fabB//ulaE//gspO//gntX//murF//lysP//tktB//mqsR//zraP//tam//fruB//sucC//ybdZ//yiaN//wrbA//modA//entE//agaS//ldtD//hybD//ydfH//rutF//nagB//hypB//
CpxR_pos	hisM//nrfD//srlR//yqhG//ampC//tbpA//nanK//yciX//mtlD//phnC//ybaS//phnO//purK//ssuD//fliE//rstB//efeU_2//yqjI//yjhC//gltB//gspC//yfiB//nemA//udp//ybiT//glnA//lldR//yeaG//cadB//paaX//hybB//gntU//ydfN//fdnH//iscS//fhlA//fucI//nirC//feaR//glmY//yhbE//yhcH//lpxA//copA//fhuE//metF//
Cra_neg	phoE//pyrD//exuT//sucB//melB//mraY//hybF//puuE//cyoD//tam//malY//hcr//nrfG//paaA//xylB//psiF//hcaD//malY//argB//fhuE//mhpC//pstA//narG//glpQ//moaE//phnK//isrC//ygbK//thiQ//ydfH//ppsA//rnlA//fdnI//tauD//narX//dps//phnG//ydhU//manZ//cusS//mntP//ygeH//bglJ//tcyJ//cbl//dmsB//puuA//yhiM//yidQ//tdcG//citD//dcuR//mgtA//fimE//fucA//fes//recF//atoE//appB//
Cra_pos	allA//idnD//leuD//flgN//xylR//lpxA//melB//hypA//hcaR//ydeM//mntP//argO//mdtA//glnK//fhuD//fliT//cysU//cysI//tonB//paaG//hcaD//iscU//glmU//
CreB_neg	ydiV//feoB//hycB//
CreB_pos	mqsA//fruA//
CsgD_neg	fliZ//mraZ//mhpT//fadD//tdcE//yhbT//hypC//yiaL//fruA//prpE//uspD//cbl//rtcA//hdeB//tyrB//
CsgD_pos	nrfB//nikB//rtcB//rpoH//ndh//moeA//modA//ycjG//cysP//aslB//xapA//fecE//ryhB//
CsiR_neg	lon//hyfJ//fadI//bioD//rffC//
CspA_pos	rpoS//phnM//
CueR_neg	kdpA//recX//insK//yjiY//asnC//
CueR_pos	cusA//fepD//
