#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	rob//rnlA//
AcrR_neg	xylH//yhjA//rdoA//cpxA//gpmA//rplT//acnA//serA//yfaE//cysW//cydC//
Ada_neg	hypA//ubiC//
Ada_pos	metB//znuA//hlyE//nanT//
AdiY_pos	prpD//cspE//grcA//mtlD//cdaR//mprA//ybjG//asr//
AgaR_neg	lldD//icd//zwf//mepH//evgA//fliI//higB//alaS//cysP//hcaR//yhbT//
AidB_neg	ampC//
AlaS_neg	inaA//
AllR_neg	nikE//qseB//iraM//ydfE//deoB//uxaA//mlrA//mazF//malX//
AllS_pos	ecnB//cyoB//ulaF//
AlsR_neg	entA//fabG//dpiA//ascB//yaiW//pykF//
AppY_pos	cydD//citC//asr//rclC//entB//sucB//rclB//ydhU//lpxC//ttdT//
AraC_neg	malQ//gltJ//dinI//napF//napF//gcvH//fepG//efeU_1//
AraC_pos	paaK//ygiZ//uspA//dsrA//ydhW//ydfD//ldtB//malM//prpD//hokD//
ArgP_neg	csgE//
ArgP_pos	cysW//gadA//nanK//fliG//creD//ptsH//allA//cdaR//nanE//rhaS//ycjF//ccmE//metH//
ArgR_neg	malY//hyfE//hycC//flgB//leuA//ompW//nirC//pspG//ilvC//nuoN//ygeH//citX//mdh//ulaF//lrp//nmpC//uxuA//ugpE//mdtE//puuR//entH//nrfE//ruvB//yfiB//ilvY//malF//dapD//sgbE//leuO//hipB//nrdG//torR//ybjN//
ArgR_pos	amtB//purK//caiT//mngA//murG//
ArsR_neg	acrR//cirA//nhaR//
AscG_neg	araD//seqA//epd//ssuB//zraR//
AsnC_neg	psd//dkgB//betB//
AsnC_pos	kbaZ//
AtoC_pos	glnH//ndh//potF//rhaA//
BaeR_pos	ddpX//fucK//leuC//waaY//lon//nrdG//hdeA//moeA//
BasR_neg	hyaE//srlE//
BasR_pos	phnE_1//cysJ//gutQ//yrbL//lrp//fucU//fabZ//appB//casD//aroG//glnK//
BetI_neg	nuoE//arsC//fimE//rutC//
BirA_neg	fhuD//mqsR//metQ//metI//mpaA//
BluR_neg	fixB//nrfC//ribA//fliG//
BolA_neg	fdnH//rutR//
BolA_pos	ynbB//iscR//
CadC_pos	sucD//cyoB//sbmA//
CaiF_pos	leuL//mprA//mpl//glmU//asr//fdnI//ubiX//nmpC//rpmA//chbB//
Cbl_pos	narK//aroH//mazE//fucP//hcaE//murG//lysO//dgcN//ygaC//
CdaR_pos	recF//hyfA//fecI//glcA//flgG//metJ//ygaC//tadA//entF//alsA//
CecR_neg	gadW//ynbC//mprA//agaD//caiC//
ChbR_neg	gcvP//fucU//yhdW//pyrD//rimP//phoQ//
ChbR_pos	borD//wzb//borD//argR//prs//glnG//
ComR_neg	ndh//
CpxR_neg	lldD//garR//ada//guaA//flhB//mhpB//hypA//hybA//ycjY//mdtA//bglG//torD//purH//hha//yoeB//sodA//yaiA//entB//gyrA//alaS//glgB//argP//flu//yciF//
CpxR_pos	hyfE//cyaR//ccmG//fes//nuoK//yoaC//dps//metJ//nlpA//uspE//hslJ//dctR//manZ//hemH//mpl//phnN//mtlA//metB//sucC//ydfE//mgtA//oppC//ddpX//lpd//feaB//garK//metR//gcvA//argH//ssrS//mzrA//yrbL//htpG//atoE//rpoS//citC//nrdB//yiiS//relB//caiE//ydfD//atoA//cynX//feoA//sgbU//nhaR//
