#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	fnr//hflD//
AcrR_neg	rutE//narG//nrdF//dcuR//yagK//sufE//gpmM//recA//narI//fldB//gadC//
Ada_neg	hipB//pdeL//
Ada_pos	fucU//torR//cysI//argH//
AdiY_pos	fliR//csgG//nanC//tnaA//araH//hisP//iscS//ppc//
AgaR_neg	osmB//eno//yjjZ//ssuE//hcaE//fliM//tnaB//cysW//accB//ccmF//ppdA//
AidB_neg	glnL//
AlaS_neg	nanS//
AllR_neg	malM//nanM//paaD//xylH//ycgR//bglB//ccmD//gatB//cydC//
AllS_pos	araE//rutR//yegZ//
AlsR_neg	pitB//accC//rimP//agaC//potG//sgbH//
AppY_pos	rbfA//nrdG//pspC//carA//flhB//ydhY//malK//argP//rbsC//hybD//
AraC_neg	gspC//uxuA//tauB//ampC//manZ//cyaR//nhaR//talA//
AraC_pos	moaA//ubiX//ydcT//lsrD//aspA//fliI//uvrD//fadB//pgaD//ribA//
ArgP_neg	prpE//
ArgP_pos	zraS//pspC//lsrF//ryhB//phnK//fepG//cyoB//ygiB//yciE//feaR//alaS//pncB//rhaB//
ArgR_neg	ykgO//alsA//gadY//pyrD//rplT//fhuF//argO//purB//mtr//ulaD//ppiD//lysP//purC//ybdZ//exuT//tcyP//asnC//yjjZ//argC//fbaB//emrK//prpB//citD//garR//malT//idnR//rutD//frdB//betI//casA//araC//creB//rbfA//
ArgR_pos	slt//aroF//sbcC//pspB//dhaL//
ArsR_neg	nrdF//fixC//yafQ//
AscG_neg	iscU//gspO//amtB//aidB//nuoH//
AsnC_neg	aceF//wcaA//hycG//
AsnC_pos	betB//
AtoC_pos	modB//ydbK//cheW//glcE//
BaeR_pos	fucO//araH//yjiY//sroC//acrD//paaZ//treB//uxuA//
BasR_neg	ppc//ruvB//
BasR_pos	flhD//gudP//arsB//fhuA//gudP//tnaA//phnN//yiaN//dinQ//fruK//nlpA//
BetI_neg	mazG//dctR//mazG//nimT//
BirA_neg	hyaB//ftnA//purF//nanM//ybjG//
BluR_neg	pgaD//alaS//dacC//malK//
BolA_neg	ompT//gor//
BolA_pos	rhaB//dapD//
CadC_pos	ycgR//ugpC//argI//
CaiF_pos	arsR//flgF//yhjA//moeA//yjjZ//flgH//mhpB//acrB//nuoE//phr//
Cbl_pos	rutD//ybhL//ddpF//flgF//yhjC//fhuA//nadA//napF//ynfF//
CdaR_pos	glcG//fixA//gadY//fhuA//umuC//casD//cysP//ydhW//cyoA//uvrY//
CecR_neg	dhaL//paaK//nikE//phnC//dinI//
ChbR_neg	cheA//arsR//pgpC//frdA//ybjC//rffT//
ChbR_pos	hcaC//rclA//metH//appC//rseC//sgbH//
ComR_neg	uvrY//
CpxR_neg	glpK//mqsR//nagB//gspC//fixA//trpC//isrC//gabD//narL//uxaB//csgA//phoQ//trpD//ttdB//gadF//ubiX//glpC//fbaA//ymgA//grxA//idnT//ung//fur//glgP//
CpxR_pos	fabI//dsbC//flgL//yjbH//ddpF//lsrF//aroP//pstB//ygiC//tisB//cytR//fepE//nlpA//wzxE//dsdA//argT//torR//yciF//ssuA//trpD//flgG//betT//nadB//xylR//dgcC//yfiR//ybdZ//gspM//glpK//phnJ//flgJ//xylA//bamE//metB//hcaF//setA//nuoG//rpoD//ascB//wcaA//nac//dhaM//treB//yeaR//fliP//ugpE//
Cra_neg	qseB//citE//feaB//dkgB//glcB//allE//bdcA//patD//tonB//lysA//hybE//phoP//gnd//narH//mglB//hycF//ung//sgbE//glmU//kdpB//cysI//pdhR//uvrY//micF//asr//flgL//fucU//tpiA//pgaC//paaJ//gntX//deoA//ddpF//rimP//moaD//obgE//uidC//zntA//tynA//fucA//ddpF//rffT//argO//fixB//hypE//rimK//qseC//hybF//pdeL//napD//ssuE//sra//paaB//bioA//fucO//yiaL//rffM//hypD//allB//
Cra_pos	glpK//hcr//cydD//phoB//ihfA//recF//rutG//insK//rdoA//trpL//hdeA//exbB//ycgR//sroA//tam//ahpC//agaC//mdtF//fiu//modC//dcuS//zraS//gabD//
CreB_neg	fhuB//trpD//ftsZ//
CreB_pos	yncE//garP//
CsgD_neg	borD//emrY//lyxK//sulA//lysP//prpD//murQ//arsR//murD//rbsA//nuoE//pgaB//ytfE//rstB//treC//
CsgD_pos	yfdV//hcaD//deoC//tktB//ftnB//nrdG//lsrK//glpQ//atoD//cynT//copA//ampC//dhaM//
CsiR_neg	fhuE//gnd//gadE//rffC//tyrB//
CspA_pos	argI//ycjX//
CueR_neg	fliP//dps//ryhB//metQ//fixX//
CueR_pos	hyfG//cyoE//
CusR_pos	rbsB//cecR//fadL//rpoD//ycjG//yfdE//casC//wzyE//hyfF//gpmM//allB//uof//
CynR_neg	wzyE//
CynR_pos	fliA//recD//fliJ//
CysB_neg	hflD//cadC//glnL//fliM//fixX//gyrA//gspF//
CysB_pos	hybA//creA//ptrA//ttdA//rffH//rybB//fadR//betB//ydiV//mprA//crl//prpB//kdpB//allB//fruK//yedX//murI//paaD//cysA//paaF//ahpC//flgM//sucB//dtpA//bluF//
CytR_neg	psiF//mazG//oppC//norV//appY//exbD//argT//ygiA//hybA//isrC//metA//cysP//murQ//
Dan_pos	nupC//ugpB//nupG//tolC//
DcuR_pos	garR//bdm//yfdE//ecnB//ydeM//crp//astC//yeaG//cynT//
DeoR_neg	glcD//allD//creA//puuC//nrfG//sutR//
DhaR_neg	oppA//
