#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	gadE//glmY//
AcrR_neg	uxaB//yoeB//fucA//gspK//flgD//fabA//arsB//uxuR//purF//emrK//ydfW//
Ada_neg	yiaN//mntH//
Ada_pos	slyB//yidL//fhuE//mazE//
AdiY_pos	exbB//fepG//gspF//rbsA//glcD//ulaE//allS//phnM//
AgaR_neg	grcA//dcuB//patA//ubiX//murI//gadC//lgoR//rbsK//tomB//yciW//lacY//
AidB_neg	sgrS//
AlaS_neg	hokD//
AllR_neg	gutM//guaA//hcaD//hyfE//pgpC//yeiB//nrdH//sgrS//argE//
AllS_pos	zntA//astB//ung//
AlsR_neg	yeaH//lsrA//codB//insK//entC//emrB//
AppY_pos	ssuC//yhjX//nadB//bglJ//agaA//yjiY//ddlB//hypF//creA//pqiA//
AraC_neg	yeaE//mzrA//ttdA//frdC//betI//deoC//trpL//pstB//
AraC_pos	yoeB//purA//phnO//nupC//ybhR//yjbG//tpiA//yhhY//ddpC//tdcA//
ArgP_neg	xylG//
ArgP_pos	asnA//nrdE//gutM//prpE//dinJ//rseA//flhA//nagC//ccmF//nirC//hyaA//ynbB//yeaR//
ArgR_neg	yhbS//fdhF//cydA//paaC//purR//pgaC//rffC//ykiA//higA//fepG//paaK//fecI//zwf//yjhB//leuB//cadA//rffM//fruK//ulaB//hycE//ybfE//uxuR//garD//argP//acnB//nrfF//hha//pgaB//cysC//micF//araJ//ugpB//galT//
ArgR_pos	ccmH//aroF//rcnB//rpmI//xylF//
ArsR_neg	ryhB//entE//mdtF//
AscG_neg	exuT//rstA//pheT//phoE//argC//
AsnC_neg	fbaB//caiA//nikA//
AsnC_pos	ccmF//
AtoC_pos	gnd//prs//mnmG//pheS//
BaeR_pos	psd//hypB//wzzE//phnD//glpD//cas1//hisQ//dinB//
BasR_neg	lpxD//hha//
BasR_pos	hlyE//mdtA//gadF//yegH//gnd//fucU//prpB//talA//mglC//nanM//nuoH//
BetI_neg	ynfH//metB//ebgC//wrbA//
BirA_neg	entE//glgC//yqhG//tcyJ//lpd//
BluR_neg	ycgZ//hycF//ibaG//ecnB//
BolA_neg	tonB//cpxP//
