#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	narX//cusB//
AcrR_neg	galS//nikR//bamE//hybC//iclR//ynfH//leuL//molR_1//phoA//trpD//mhpE//
Ada_neg	nuoG//napA//
Ada_pos	uidC//napG//dnaG//yegR//
AdiY_pos	gabP//argO//fpr//tyrR//chbB//yeaG//nirC//motB//
AgaR_neg	entB//galS//crr//zinT//tomB//cynS//ddpC//mqsA//nimT//fadH//flgD//
AidB_neg	ynfF//
AlaS_neg	ecnB//
AllR_neg	glcE//hyfA//araD//hyi//yhjX//agaR//yiaM//fliH//cyoB//
AllS_pos	ppiA//cadB//dinB//
AlsR_neg	dgcZ//hcr//galP//yiaN//pflB//grxD//
AppY_pos	bglJ//tdcF//artQ//ompC//entB//trpR//rpsO//lsrD//purL//higB//
AraC_neg	phnE_1//ydfD//nrfC//creD//rseC//aroF//nemR//araD//
AraC_pos	sgrT//motA//malS//lsrR//bdm//ydcS//yidL//lsrB//yeaG//fliA//
ArgP_neg	murD//
ArgP_pos	rhaB//ugpB//cysW//yidQ//ydeP//fimB//ydiV//modA//cysM//fhuF//ychF//purK//aldA//
ArgR_neg	nanE//cynR//hisJ//sdhC//gnd//cydB//yafO//dsdC//rbfA//hycD//uidC//rtcB//zinT//qseB//gabT//zinT//sdhD//cusF//artI//fliZ//aceF//gadY//dinQ//ccmF//yhbE//cas1//yiaM//paaE//zraP//artP//carB//hemL//yafN//
ArgR_pos	ynbB//ybbW//hypB//rbsB//malM//
ArsR_neg	malE//psiE//argE//
AscG_neg	pdhR//rpmA//glpX//yncE//dnaG//
AsnC_neg	katE//nagC//rhaR//
AsnC_pos	waaY//
AtoC_pos	nuoK//polA//rffG//agaD//
BaeR_pos	yfdV//ppdB//appX//accC//rutE//fhuA//putP//borD//
BasR_neg	nlpA//yoeB//
BasR_pos	artI//sfsB//ilvY//glyA//moeA//mtlA//murE//fliM//csiD//malZ//glxK//
BetI_neg	rbfA//gyrA//icd//glgB//
BirA_neg	dmsB//creB//rutE//ruvB//dcuD//
BluR_neg	gabP//fadB//yfdV//glpF//
BolA_neg	inaA//glpF//
BolA_pos	oxyR//hipA//
CadC_pos	mltF//glpC//isrC//
CaiF_pos	glk//nuoK//dnaA//omrA//pyrC//eda//ompW//dhaL//fhuF//csgC//
Cbl_pos	bioD//gcvH//artJ//glmU//hyi//idnR//yeaR//nuoA//acnB//
CdaR_pos	lsrA//ccmD//stpA//yhjA//cyoD//malS//rffM//dsbA//csgD//zraP//
CecR_neg	rtcA//gltK//sgbE//entB//micF//
ChbR_neg	nrdI//fucR//phnM//ykiA//aceA//glgA//
ChbR_pos	lacA//flgH//ebgA//fumC//dmsA//ubiC//
ComR_neg	modA//
CpxR_neg	yjjZ//tcyJ//ddpD//allD//csgG//rpoH//epd//rpiR//mntP//puuD//pgaA//phnP//fliP//nuoI//recA//galE//dgcZ//dinQ//yhdX//ddpA//feoC//alkA//ccmB//ompF//
CpxR_pos	hha//fliS//fhuB//cusA//pyrC//nuoH//sufA//hyaE//dctA//metR//cusB//pqiB//insD//yccA//recB//gspG//alsC//nuoK//mgrB//tauD//gadB//leuC//thiQ//uidB//phoE//ynbD//recF//copA//trxC//insD//pqiB//manZ//ybhL//fliN//ihfA//oxyS//garD//hslJ//mgtA//mngA//insD//isrC//paaX//arsB//yjbH//omrB//
Cra_neg	purC//dtpA//fliT//crl//artJ//oppF//cyoA//idnR//nfsB//gntK//rbsR//fruA//gcvT//paaB//fadR//gloA//lsrC//nagE//paaI//ptrA//soxR//uvrD//yrbL//accC//malX//creB//nusA//ycjY//nadB//bamE//rstA//hybG//fliP//hisQ//adhE//yafN//pgaC//hybO//ydbD//trpD//nanA//manX//aroL//cysK//fbaA//xylG//ttdR//nemA//araD//ulaE//hokD//pgaA//phnG//trpL//uspA//fruB//gatY//tdcC//fixC//
Cra_pos	flgD//hisJ//hyfI//hcr//katE//rhaT//torD//nadA//folE//mazF//hyaE//treR//atoA//recA//mhpA//rtcB//puuA//codA//dhaL//ddpA//rclC//argO//ychF//
CreB_neg	bdcA//ptsH//hcaE//
CreB_pos	malQ//metJ//
CsgD_neg	fadI//lacY//purD//csgG//hybE//pspG//uof//gltJ//yiaK//pepD//pagP//hybB//cydA//nuoJ//gspL//
CsgD_pos	mgtA//mngR//ydeM//ybaS//tauD//hcaD//recX//citC//nrdG//murD//narH//sodA//paaK//
CsiR_neg	moaD//betI//pstC//glcA//aroH//
CspA_pos	ygbK//araH//
CueR_neg	ecnB//bioB//dinI//yafO//pstA//
CueR_pos	truB//nfuA//
CusR_pos	fliS//fadJ//chbB//xylF//entF//ompF//yjbF//garL//gabD//adiA//puuA//nohA//
CynR_neg	manX//
CynR_pos	srlE//ahpC//nfo//
CysB_neg	mscM//mscM//iraP//thrS//kbp//umpH//aroL//
CysB_pos	nanK//pdeL//oppB//ppdC//napA//ssuD//waaH//melA//dcuD//fbaB//lysR//glmY//frc//ecpA//ompF//fruA//fucR//fadE//flgK//trpC//hokD//hcr//hyfF//umuD//aroH//
CytR_neg	ybjG//malK//ssrS//mngR//entD//fucO//uvrC//degP//sufA//gdhA//yafQ//fixA//cas2//
Dan_pos	fiu//dgcN//flgN//ydeM//
DcuR_pos	ydcV//yiaL//chbB//dinI//yoaC//recB//csgF//galE//rpoH//
DeoR_neg	nupG//yegR//rhaR//yhdZ//metA//fepC//
DhaR_neg	hcaF//
DhaR_pos	dsbG//sroA//ddpB//
DicA_neg	frdB//mscM//aroP//tdcE//mhpD//hcaE//gcvP//lacZ//
DinJ-YafQ_neg	norV//gspI//dctR//
DnaA_neg	recF//paaH//nagB//gntX//napA//rtcB//accA//garR//fbaB//gyrA//recA//
