#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	wzxE//recB//
AcrR_neg	ftsA//xylF//ynfF//gcvP//gabT//pspB//gpmM//paaC//lacY//uvrA//nac//
Ada_neg	trpL//intQ//
Ada_pos	gltL//dcuS//lsrB//nagB//
AdiY_pos	iraM//narI//napD//modA//ygeA//argF//dnaN//hisM//
AgaR_neg	trpB//napC//acrD//hns//gabP//umpH//gspG//envC//cas2//rimK//fliO//
AidB_neg	ydfH//
AlaS_neg	cysB//
AllR_neg	dinG//gltI//dsbC//lsrC//fixA//ttdT//marR//ahpC//lamB//
AllS_pos	acrR//ppiA//lexA//
AlsR_neg	cyoC//ydjM//napB//gspC//ydeP//dhaR//
AppY_pos	wecB//narX//mhpE//glmU//purC//frdC//alsC//obgE//narG//higB//
AraC_neg	galR//ydhU//tyrB//agaC//ychF//ugpA//modC//ynbB//
AraC_pos	paaZ//isrC//aroM//tauC//pqiA//nrfA//fliQ//sodA//nagE//nuoE//
ArgP_neg	melR//
ArgP_pos	araH//grxA//hyaD//nuoN//phnK//tnaB//nikB//rclC//sufB//modA//paaZ//rutF//yeiL//
ArgR_neg	fimE//ynbC//sdhD//yciE//fes//ybaT//gadY//wza//nikD//tyrB//pstB//tdcD//pgaD//hycI//ybfN//pspD//ybaS//paaY//galP//nemR//sodB//fliF//dapB//uvrA//sufD//ssrS//casA//mngB//uidA//carA//exbD//osmY//ccmF//
ArgR_pos	nadB//yqjH//fucK//cadB//exbB//
ArsR_neg	speA//acnA//paaZ//
AscG_neg	ompT//uidA//fabI//ydfW//hycA//
AsnC_neg	ascF//gltJ//yrbL//
AsnC_pos	yhbE//
AtoC_pos	mazG//rpoD//mdtB//casC//
BaeR_pos	ftsW//betA//yeiL//yncE//gspO//alkB//lysP//phnE_1//
BasR_neg	bglF//mdtA//
BasR_pos	uxaB//pnp//emrY//mraZ//cirA//ulaA//flgA//yiaN//rffC//flgB//yeiB//
BetI_neg	fadD//ebgA//allA//artP//
BirA_neg	mraZ//dcuR//dnaN//chbR//flgA//
BluR_neg	gspK//lacA//fldB//argO//
BolA_neg	nuoH//rffT//
BolA_pos	allC//hcp//
CadC_pos	metA//eda//ydfE//
CaiF_pos	casB//chbA//ndh//fumB//ftsL//nanE//ftsW//fadD//ydbK//kbaZ//
Cbl_pos	sucA//ydcV//xylG//adiC//fadI//metK//umuC//trpE//umpH//
CdaR_pos	appB//yiaM//pheM//cecR//nanT//hyfB//citX//atoB//lsrF//aspA//
