#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	yfdE//lolA//
AcrR_neg	tsx//gor//phnE_1//ygiA//tnaB//srlR//ydfH//napB//tolC//appA//gadC//
Ada_neg	nikB//nusA//
Ada_pos	nikD//phoE//glcA//ddpB//
AdiY_pos	mlrA//iscR//sbcD//yoaC//entS//pepD//ygeH//tomB//
AgaR_neg	ugpQ//fucA//rpoS//astA//gltK//creC//ybfN//cytR//sdhC//pgaC//idnR//
AidB_neg	rffH//
AlaS_neg	pqiB//
AllR_neg	cspD//yjhB//dapD//hisQ//uhpT//argI//moeB//glcC//htpG//
AllS_pos	flhB//emrB//nfuA//
AlsR_neg	crp//hycF//dnaN//icd//rbsD//pstC//
AppY_pos	hcaR//lpxA//aslB//rseC//astE//glmS//pgm//rpoE//phnN//argA//
AraC_neg	eda//csgF//glnQ//ccmE//bluF//bdcA//ptsI//psiF//
AraC_pos	metE//cheW//ompT//phoR//hybO//trpD//ldtC//lpxC//lysP//tcyJ//
ArgP_neg	nuoH//
ArgP_pos	mazF//hemH//hipB//xylA//gntK//leuO//metR//murC//flgF//flgH//paaC//narI//infB//
ArgR_neg	nikD//ygbK//puuD//gatA//agaI//rutE//ebgA//gspD//rffG//tolC//gudP//dhaK//bglG//feoA//kdpA//lysA//fepG//cyoE//omrB//efeU_2//gutQ//aroH//puuE//alkA//argB//argO//uxaA//yiaM//crl//puuD//treB//mgrR//cra//
ArgR_pos	metE//ybdZ//rplT//glpQ//potH//
ArsR_neg	paaJ//modB//moaB//
AscG_neg	aslB//malZ//ppc//araG//dapD//
AsnC_neg	rnlA//chbR//entS//
AsnC_pos	fbaB//
AtoC_pos	yafN//argD//csgA//gntX//
BaeR_pos	murI//aidB//cueO//dhaK//ybdZ//malT//napH//yegH//
BasR_neg	leuD//gadA//
BasR_pos	glpK//sdhD//entD//ubiC//flgE//yagK//araD//ssrS//yccT//iscR//ykgM//
BetI_neg	ynfG//ppdB//marA//hyaC//
BirA_neg	tfaQ//uxuB//yjiY//adiA//nuoN//
BluR_neg	yrbL//deoB//frdA//malZ//
BolA_neg	purB//phnK//
BolA_pos	paaA//nrfA//
CadC_pos	cysM//yqhG//ahpF//
CaiF_pos	gspL//gspE//phnM//nikC//hycF//cynS//folA//potI//ulaG//carB//
Cbl_pos	trpD//malZ//mntP//phnK//wecE//yqjI//argD//malX//sgrR//
CdaR_pos	garP//yhdY//gabT//appY//acrR//idnR//srlR//tonB//hyfE//recD//
CecR_neg	phoE//insK//ung//argT//dhaM//
ChbR_neg	ynjI//oppD//ybfE//ecnB//fadE//sgrR//
ChbR_pos	rffM//lgoR//dinD//ampC//yhhY//nrdA//
ComR_neg	rutG//
CpxR_neg	wecC//dsbC//rpsO//glmY//leuA//nhaA//manY//gspC//yfiR//cas1//stpA//fecA//hyfE//cynT//argA//pgaA//hypC//norW//ygiA//hyfH//narX//alkB//fecR//fes//
CpxR_pos	alaS//sgbH//ndh//ulaE//fabH//pgaB//artQ//fpr//glmY//araG//paaC//ydfD//idnT//cusA//cysW//yccA//hybO//wecE//fadB//yefM//nanS//rybB//cheA//yidQ//gcvT//gabP//hypB//tdcC//soxS//yjjZ//gnd//gabP//leuL//glgC//ybdN//prpB//rob//purH//hyfI//fucP//nagB//paaF//aspC//rutB//yeaG//crp//
Cra_neg	ftsW//frdA//molR_1//galR//cdaR//asnB//gatB//ybbW//prs//glxR//uspA//dctA//paaE//ampC//csrC//chbB//pqiA//ssuE//iscA//ssuA//wcaB//argR//tdcG//phnC//ydfW//rplT//rcnA//glnA//fimB//hyfB//frdA//yhdW//nhaA//dinB//murD//nuoI//dgcN//sbcC//dpiA//putA//polA//nikB//fecA//hybE//cynR//fes//gatZ//gspL//sdhA//dgcC//wzzE//ftsZ//citE//dmsB//yfbR//nupC//oppA//metB//xapA//
Cra_pos	fumC//paaZ//bdm//rpoD//galK//flgH//mngA//gpmM//ymjD//yeiL//argH//puuP//hypD//yeiL//nrfA//creC//argC//lrp//narX//waaZ//mngA//yfdE//aroH//
CreB_neg	dinQ//rbsD//fucO//
CreB_pos	paaE//murI//
CsgD_neg	csiD//yfdV//glnB//yegH//yhhY//rbsR//mqsR//gadF//wzc//infC//rarA//ada//patD//hyaB//ytfE//
CsgD_pos	ppc//gltL//edd//glcE//aspC//fhuD//aslB//gspI//pdeR//prpC//sucA//phnP//nuoK//
CsiR_neg	puuA//chbA//wzyE//htpG//fes//
CspA_pos	lrhA//iscU//
CueR_neg	tcyJ//idnO//yiaM//gcvP//astB//
CueR_pos	hyfC//cysG//
CusR_pos	napH//dhaL//ynbD//nrdB//yjiY//metF//casE//fabH//flhC//prpE//rpoS//cysB//
CynR_neg	pheT//
CynR_pos	sroD//nuoA//tyrA//
CysB_neg	pdeL//fecC//idnO//skp//glpX//setA//yeaE//
CysB_pos	moeA//mgtL//ccmE//gnd//slyB//nimT//cbl//fixB//yciF//sra//fixA//exuT//yeaD//fabH//udp//ddpC//nfuA//ompN//amn//sdhA//yhjA//yciE//hyaC//betA//ndh//
CytR_neg	hyaD//ycjG//lysP//pnuC//idnR//yhhY//murD//slp//cysW//dsbG//lamB//sufA//hcaF//
Dan_pos	hypE//rcsA//tdcD//gltF//
DcuR_pos	paaI//dcuB//pdeR//acrZ//nagA//htpG//phnL//hcp//acnB//
DeoR_neg	uof//gspC//iscS//ynjI//wcaB//fruK//
DhaR_neg	sgrS//
DhaR_pos	carB//cvpA//chbB//
DicA_neg	murP//gspF//ydhW//argG//poxB//glcB//yqjH//ubiC//
DinJ-YafQ_neg	mhpC//argT//metJ//
DnaA_neg	patA//higB//fadE//bioB//hypF//pdhR//gatZ//sufA//focA//mqsA//phoU//
DnaA_pos	fucR//gnd//hyaA//manY//ebgA//metA//hyaD//
DpiA_neg	yafQ//
DpiA_pos	norV//appC//sbmC//dcuA//glk//glmS//hcaR//lldD//exuR//ccmB//
DsdC_neg	nrfD//
DsdC_pos	gcvA//sbmC//
EbgR_neg	gatA//waaY//
EnvR_neg	nrdB//aspC//
EnvY_pos	mdtC//evgA//
EvgA_pos	narJ//ybfN//rdoA//ydhX//ddpA//phoR//flhA//hisP//caiB//nikR//yecR//kbaY//fliM//glnH//nanC//nuoN//truB//mntS//frdC//
ExuR_neg	mnmG//uxaA//tyrB//bioA//icd//fadD//grxD//appA//galP//
FabR_neg	erpA//sucC//
FadR_neg	ebgA//yeaH//garL//nagB//galR//glpX//hybD//degP//glpC//pagP//dapD//
FadR_pos	uspD//cyaR//xylR//fecA//ycjG//ykgM//hyaA//glnP//oppC//arsB//flgG//cydB//
FeaR_pos	murC//nuoB//
FhlA_pos	hycB//emrB//fepD//rplU//hyaA//mntS//nhaA//spy//malZ//tnaB//crp//hyfA//gatZ//ptsG//narH//phnH//asnB//frdA//melA//yoeB//pheS//codA//pspG//yjbH//phnG//fixB//borD//fhuA//yiaK//cho//
FlhDC_neg	mazF//accA//fixB//ascF//
FlhDC_pos	caiT//nfsA//mgrB//marA//casC//exbB//manX//pncB//agaR//dsbG//ibaG//dmsA//srlD//bdcA//fadE//sdhB//cho//torA//ynfG//yiaN//argR//ydeI//glpB//ddpF//aslB//umuD//amtB//ccmG//pyrD//phoE//appB//ybjG//cysG//epd//fliP//chbR//rffC//fliR//hyfD//glnP//dhaR//yfaE//yiaK//pnp//gcl//yfiB//rpiB//glcA//srlA//nuoH//nfo//cho//nanK//ydiU//rtcB//wzc//ynfH//atoE//rbsR//ecpA//rdoA//fimE//ydfH//lldP//hycC//pspF//fabD//lpxC//mhpE//phnO//ryhB//ynfE//flgH//umpH//yeaH//ycjG//marA//leuO//
FliZ_neg	nuoM//nrdH//treB//fdnH//nuoH//sufD//agaA//gutQ//nrdI//nagB//poxB//dsdC//araG//ppiD//ppdA//mazF//mhpB//purM//ompF//infB//alkB//
FucR_pos	agaS//pgk//xapA//fecE//mntS//rffC//fabB//
Fur_neg	evgS//rclA//cusR//argH//pspF//rpoE//zraR//ccmF//norV//patD//metY//leuB//rclA//lldP//fecB//citX//nupG//yebG//hybG//ydjM//ptrA//hyfF//lsrB//sucA//alkA//fruA//yiaL//ybjG//gspO//phoU//ccmB//hybA//mazF//tdcA//hisP//ddpF//tauB//gadX//astB//ydfN//fliR//cynT//ftnA//sgbU//dapD//ubiX//narK//marA//dctA//sufC//galR//fecA//csgF//fdnG//lysR//araF//flgM//fdhF//yegR//dsdC//yafQ//lysC//ecpR//argC//gcl//flgD//gfcA//flhB//manZ//glnG//motA//cyoD//glcE//hybF//moaA//ybjG//ydfN//treB//chbB//srlD//agaV//gadF//entH//gyrA//lexA//fimB//epd//tisB//lrhA//glnD//yjbE//hycI//gadC//ydhV//rimP//ihfA//nuoL//arsB//dsbG//gltF//yoaG//iraM//ydcU//rhaS//acrA//iscU//marB//ftsI//focA//ulaB//fdhF//serA//pheS//ccmC//rimK//
Fur_pos	manX//cirA//ddpX//glnQ//fiu//hybO//relB//hycH//gntT//hdeB//argH//cydA//recC//yiaM//accB//metA//fliI//napF//artP//flgG//nirC//
GadE-RcsB_pos	nikA//cysD//kbp//cpxP//hemH//ssuE//artI//hyaD//ynfH//
GadE_pos	ccmB//nagE//gspJ//psiF//flgD//cysW//ubiC//aroF//sfsB//pdeR//agaC//ulaA//ytfE//dpiB//ybbW//glxK//prpC//nrdA//leuB//prs//stpA//caiC//fliE//casA//citD//tauA//galE//lldR//argO//
GadW_neg	ompT//betT//gspM//arsB//nanA//napF//mioC//xylB//mglB//yjbF//deoB//
GadW_pos	feoC//manZ//exuR//insK//hyfJ//glyA//moeB//yeaE//sbcD//fimB//higB//
GadX_neg	ugpB//uidB//ppdA//dacC//tnaC//yrbL//
GadX_pos	ydcT//crl//glnP//iscU//entC//infB//agaI//trpA//higB//nmpC//galE//murQ//murC//ygeH//murD//ynfE//yiaK//oppF//glnA//alsC//slyB//ygeA//pyrD//arsC//gspK//mipA//glgA//
GalR_neg	emrK//moaB//mtr//uxaA//paaZ//manZ//ygdB//dgkA//cirA//aroF//
GalR_pos	metB//bolA//artQ//fliA//
GalS_neg	cusC//accA//hcaD//xapA//gudP//dtpA//hdeA//sroC//tdcF//fabG//
GalS_pos	fecR//dcuB//cysJ//oxc//
GatR_neg	feaB//betB//ygaC//rutF//tomB//sbmC//
GcvA_neg	nupC//bglG//ddpD//omrA//
GcvA_pos	purK//prs//putP//pflB//
GlcC_neg	galT//
GlcC_pos	purB//oppA//dnaG//accA//yqhG//yeaE//
GlpR_neg	folA//fabD//sucD//cusA//leuA//lyxK//hybG//fabI//fliQ//
GlrR_pos	hypD//mdtF//fliN//phnH//fldB//
GntR_neg	nuoF//glxR//cheA//glnP//yiaL//gltB//ymiA//uxaA//sdhB//ygiZ//uvrD//baeR//
GutM_pos	purM//fbaB//yhdY//sbmA//higB//adhE//ytfE//
GutR_neg	fixA//nrdG//iscS//ycdZ//ulaF//csgG//cpxP//
HU_neg	mgrB//ydhW//csgF//uxuR//lysC//yfaE//dsbA//ada//
HU_pos	dtpA//
HcaR_neg	wzb//
HcaR_pos	inaA//eno//glpF//hypF//phnE_2//
HdfR_neg	frdD//isrC//
HdfR_pos	glgB//yiaL//zraP//
HigA_neg	yaiA//idnD//
HigB-HigA_neg	add//fucK//
HipAB_neg	lsrA//ulaA//gspM//gatC//pfkA//
HipB_neg	argO//nlpA//lgoR//mqsA//thrS//gabP//
