#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	gatC//umpH//
AcrR_neg	agaW//napB//csgA//ybbW//qseB//gor//tauB//hypD//lpxD//cysK//insD//
Ada_neg	caiC//phnF//
Ada_pos	uvrA//tauC//lldP//recF//
AdiY_pos	pgm//rimK//sbmA//dacC//nirB//dgcC//erpA//leuD//
AgaR_neg	deoA//focB//waaZ//fliH//cusB//wcaB//yncE//speB//hyfI//glyA//gntP//
AidB_neg	ydiU//
AlaS_neg	pgi//
AllR_neg	ydhW//bioD//katE//sbmC//uof//creD//galT//trpD//pspA//
AllS_pos	phnH//ygdB//cysM//
AlsR_neg	ttdR//mprA//allC//hydN//cysE//hycA//
AppY_pos	dtpA//pspF//tnaB//ulaD//leuD//rybB//nrdB//aroG//cra//bglG//
AraC_neg	yoaG//gltD//hyaA//metA//lolA//ssb//murQ//uvrY//
AraC_pos	gntX//entE//uxaC//gspF//citC//xylH//uhpT//phnM//metK//purF//
ArgP_neg	rsmH//
ArgP_pos	flgM//acrA//uxaB//mqsA//higB//sucC//nanS//fhuE//dinQ//fbaA//purR//ascF//glpT//
ArgR_neg	cysM//glcC//gadY//atoA//artQ//fabA//bglB//rnlB//hdeB//hcp//dinQ//idnK//crr//fucO//ssuA//wcaB//gatY//gutQ//fldB//leuD//chbR//recX//mglA//ddpX//ddpX//argE//tdcE//acrZ//ssuB//casB//soxR//torD//dmsC//
ArgR_pos	uxaB//wzzE//gcvP//glgB//argA//
ArsR_neg	wzxE//waaZ//ydfX//
AscG_neg	pspB//yoaG//glcD//mzrA//glpC//
AsnC_neg	borD//nemA//ybaT//
AsnC_pos	csgC//
AtoC_pos	fabB//xylH//nfsA//pykF//
BaeR_pos	phnJ//flgM//dinQ//gatZ//relA//aceA//ecnB//fabA//
BasR_neg	hha//rclA//
BasR_pos	chbG//hflD//argE//metB//yhjC//nupC//creB//xapA//aspC//fabG//tdcF//
BetI_neg	nagA//fhlA//nanE//rbsR//
BirA_neg	xylA//ydfX//metJ//paaH//yhbE//
BluR_neg	fbaB//appX//purF//fadA//
BolA_neg	tnaC//dpiA//
BolA_pos	gntK//moaA//
CadC_pos	nadB//micF//lpxC//
CaiF_pos	iscR//gltD//guaB//fliT//glnH//paaZ//gor//hdeA//uvrC//creB//
Cbl_pos	soxS//ymgC//purF//phnE_1//caiF//accC//ygbK//lpxC//ydhT//
CdaR_pos	mlrA//allD//gatZ//paaB//wzzE//malP//dicC//uvrC//chbC//lexA//
CecR_neg	ydeP//tisB//murG//rpoS//glpC//
ChbR_neg	bglG//aroL//purE//leuD//mlc//ygiC//
ChbR_pos	ssuA//eda//phoB//nuoE//lldP//yaiA//
ComR_neg	thrS//
CpxR_neg	ydhU//dinI//aceE//nrdF//mtlR//fucR//lsrD//fixB//xylG//lsrA//idnR//znuB//rutG//phnG//yhjA//mdtF//sbmC//soxS//tauD//ybjN//gspD//ycjG//fabB//rcnB//
CpxR_pos	yebG//sulA//thrS//mdh//higB//chbG//flgN//rclB//lysP//napG//gltL//ygeA//pyrC//argG//recD//yhhY//cpxP//iscU//puuP//lsrK//ldtC//ycjY//ydcV//allD//purD//nohA//paaE//mpl//fadI//alkA//trpC//yjhC//cysA//polA//mazF//oxyR//hyaF//appA//aroL//garR//yqjH//cyoB//hycC//acnA//wrbA//ddpB//
Cra_neg	moaE//polB//dsdC//garK//agaW//fliT//emrK//fliF//dinI//fliJ//moeA//nrdG//ybjN//purR//pheS//cynT//gltD//glnQ//mhpF//iscR//ydhT//phnP//mcbA//phoB//stpA//mcbA//aslB//dpiA//yegR//mglA//argG//pgpC//ydhT//zwf//grxA//ubiA//crr//malY//yncE//ybjN//potI//ppiD//artM//asr//epd//slyB//talA//gspC//dicC//murR//fruK//ftsI//idnO//fliN//oxyS//feaB//rbfA//tadA//mgrB//
Cra_pos	phnJ//melR//ampC//ccmH//nadA//gcvH//fhuB//hns//cheA//phnH//dhaR//norR//prs//tfaQ//fimE//marR//ppc//cysW//flgB//galR//obgE//yfdE//cheA//
CreB_neg	murR//gntU//paaZ//
CreB_pos	oppD//phnM//
CsgD_neg	tnaB//entA//dsbA//wza//sbmA//ybaT//fabA//truB//sulA//fadB//acnA//fur//pspF//ddpF//safA//
CsgD_pos	trpR//tauD//gntX//fadB//caiB//paaZ//fhuE//acrR//fepD//bglJ//sodA//rtcA//nohA//
CsiR_neg	uxuB//torR//patA//nrfD//ydbD//
CspA_pos	fliN//rimK//
CueR_neg	pqiA//grxD//lamB//hlyE//pspD//
CueR_pos	aspA//gatD//
