#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	sdhB//icd//
AcrR_neg	moaB//chbF//gltI//fliH//fepE//metH//manY//pflB//narI//mhpB//fldB//
Ada_neg	lsrF//galM//
Ada_pos	waaH//cspD//oxyR//dinG//
AdiY_pos	fliM//tbpA//cspI//ybhG//ugpQ//rimK//ulaC//entD//
AgaR_neg	malF//ppdC//tyrA//chbB//mprA//ssuA//alaC//csiD//metI//ppiD//dsbA//
AidB_neg	entB//
AlaS_neg	paaH//
AllR_neg	ykgM//betT//pgk//yidL//acrB//torA//fliN//yefM//mlrA//
AllS_pos	pfkA//recX//gnd//
AlsR_neg	ompC//ddpF//fadJ//dinQ//nikD//cpxA//
AppY_pos	sdhD//csgB//sufA//lhgO//napF//creC//gadX//recF//yfdV//folA//
AraC_neg	srlB//osmC//ccmC//xapB//mngR//yjjQ//fliH//ydiV//
AraC_pos	hyfB//feaR//gatY//csgF//zntA//cysK//citX//serA//napC//omrA//
ArgP_neg	baeR//
ArgP_pos	mqsA//bolA//putP//nagE//phoP//fimE//cspI//trpD//fecC//caiT//rbsR//nuoJ//yiaN//
ArgR_neg	hycE//yneM//asnC//hdeD//feoB//feoA//nirB//chbC//tisB//ubiX//ribA//atoD//ecpA//agaC//dsrA//ddpB//ydhY//ugpA//yefM//uxuA//yedX//hcp//citD//sbmC//flgF//metR//ydiV//tdcE//ebgA//nrfB//yqaE//malK//appY//
ArgR_pos	ldtB//yqjI//glpX//yafO//atoE//
ArsR_neg	idnO//dsbA//copA//
AscG_neg	cynR//pyrC//flgK//fixB//gcvT//
AsnC_neg	ascB//pspE//fhuB//
AsnC_pos	dcuS//
AtoC_pos	insK//speB//nirB//ftsI//
BaeR_pos	rhaB//ydfW//fau//recD//ilvC//pheS//tolC//nrfG//
BasR_neg	rffH//seqA//
BasR_pos	sbmC//dcuA//argO//ribA//mtlA//hcaD//paaI//oppB//cho//aslB//qseB//
BetI_neg	hyfD//gudX//ygaC//nuoC//
BirA_neg	fadR//nimT//agaW//fumC//cirA//
BluR_neg	moaD//chbC//mcbA//baeR//
BolA_neg	accC//sgbH//
BolA_pos	argT//ydfE//
CadC_pos	oxyR//fucO//waaY//
CaiF_pos	recB//dmsC//rpmA//phnN//yhbS//dsbC//ybjG//sufD//cdaR//lpxA//
Cbl_pos	rutE//luxS//rclB//chbB//idnT//speB//ydeO//cysD//relB//
CdaR_pos	omrB//cysJ//cusF//mlc//mraY//srlA//aceA//deoD//rtcA//nupC//
CecR_neg	spy//dcuS//malM//mdtE//aceE//
ChbR_neg	tdcG//ynbA//asnB//purK//phnD//nagC//
ChbR_pos	katG//narI//garR//ybfE//ddpA//zntA//
ComR_neg	ppiD//
CpxR_neg	deoD//oppD//dpiA//mqsR//yhiD//nemR//bacA//nrfC//emrY//cynS//wrbA//xylG//mhpC//exuT//flgB//artM//fabD//appC//acrZ//nac//cysI//rffM//ogt//wzzE//
CpxR_pos	hisJ//ompN//cyaR//hybO//truB//metJ//iscU//speA//btuB//hycH//cysD//tktB//malE//phoR//phnK//ddpX//ahpF//zwf//rtcA//glgC//marR//copA//ydcU//icd//entA//aspC//iscU//hcaF//aspC//infC//lpxC//osmC//ssuA//ung//lysO//pnp//glxK//ynfH//csgF//wzyE//hipB//purR//feoC//narJ//yedX//citF//
Cra_neg	ygbA//poxB//ybaS//cynS//yjbE//nimT//ssuE//kbaZ//argO//garR//ydiV//ynfH//norR//yccJ//fruB//moaC//fepB//fecR//ddpD//fliQ//ydhW//flu//dinB//nemR//zwf//bhsA//chbA//ccmG//wzc//focA//wza//murP//purR//pspD//mtlD//melB//sdhB//rob//yfaE//glpK//znuB//mhpB//hcaE//slyB//treC//ydjM//bioB//bglB//murI//wza//rarA//treR//gspJ//paaH//fliC//yhjX//gspM//aroG//hipA//
Cra_pos	tisB//dsdX//serA//gatZ//mngR//cueO//pgpC//sgbU//fau//agaR//csrC//araB//leuD//ldtD//kdpA//sutR//ftsI//hyfF//dinG//nuoL//tdcD//creB//dgcN//
CreB_neg	flgG//fadI//hipA//
CreB_pos	flgH//ynbC//
CsgD_neg	atoA//paaE//paaG//creD//paaB//phoE//yhhY//pgaB//nanK//uspD//aroM//malF//hyfH//rimK//wrbA//
CsgD_pos	gltJ//mntP//pstB//yccA//gspC//cysH//rhaS//ldtD//sgbU//flgG//ydhY//dpiA//skp//
CsiR_neg	dps//purC//lhgO//rseC//waaZ//
CspA_pos	puuD//sgrS//
CueR_neg	ycjY//rutD//mhpT//ubiC//uidA//
CueR_pos	csgB//napB//
CusR_pos	mzrA//ygiC//glnD//ybdN//fhuC//rbsB//malF//murE//pheS//nupC//fepG//ssuB//
CynR_neg	sodB//
CynR_pos	add//hokE//hyaB//
CysB_neg	slp//xylA//rutB//waaY//hyfE//melR//argB//
CysB_pos	yncE//gabP//allD//aroG//glnP//accC//ulaF//ssuA//mdtA//rstA//dmsA//nrfD//gatB//yafP//hisM//talA//treR//nhaR//purA//purF//folE//araE//hybB//fes//intQ//
CytR_neg	alkB//yccA//leuL//wrbA//tehB//nuoN//waaH//tyrA//yqhD//gabP//ppdC//nuoI//mhpA//
Dan_pos	fadL//fecC//yoaC//ygbA//
DcuR_pos	ychF//rdoA//fadR//melR//fadH//garK//appC//pflB//uidB//
DeoR_neg	purK//higA//purB//phnD//appA//entH//
DhaR_neg	polB//
DhaR_pos	casC//cheW//ftnA//
DicA_neg	ubiX//aceE//yjhC//gadF//prpC//hyfC//mtlA//astA//
DinJ-YafQ_neg	dctR//idnT//dhaM//
DnaA_neg	uxuR//zraS//ompN//gspD//gatC//patA//phnL//fhlA//yqhG//cpxP//csgA//
DnaA_pos	fliN//flhE//artM//fruB//paaI//xylA//acrZ//
DpiA_neg	ppdB//
DpiA_pos	entS//yfdX//ccmA//ftsA//purH//alaS//yiaO//ddpC//iscR//acrA//
DsdC_neg	rffC//
DsdC_pos	srlE//uxuB//
EbgR_neg	cbl//nuoB//
EnvR_neg	astB//acrB//
EnvY_pos	ddpX//dcuD//
EvgA_pos	norR//citD//caiT//rffH//fixC//nikE//yiaJ//phnN//fruK//glpD//ssb//nohA//agaS//mdtE//dnaN//cusC//dgcN//leuL//atoA//
ExuR_neg	pspB//manY//puuC//metQ//decR//cho//fhuA//rutA//ydfX//
FabR_neg	rstA//tadA//
FadR_neg	ycgR//xylR//malG//glnG//mgrB//aceF//ugpE//murF//nirD//aldA//ppdA//
FadR_pos	lsrG//gspH//speB//ynbB//rseC//treR//osmY//pgaB//glxR//cydC//fadA//citD//
FeaR_pos	uidC//pncB//
FhlA_pos	tnaA//marB//hybC//yciG//metC//bioF//fliQ//lamB//kdpA//ydeN//cspE//glcA//phnF//hybA//artJ//argE//fliN//sdhB//sufS//tyrR//uhpT//yhdW//speB//yidQ//ftsA//wzc//yegH//tynA//ccmD//pdeR//
FlhDC_neg	pheS//moaA//tbpA//ymiA//
FlhDC_pos	potH//fumB//yafN//pheM//torC//aceA//fecR//fadJ//paaX//ydfH//ppdC//betT//motB//yiaN//alsC//frdB//flgJ//pstA//tonB//aroF//glcF//astC//focA//oppA//fliS//hyfB//xylA//pncB//dpiB//hyaA//torA//hypA//uidB//paaC//yoeB//sufE//cusC//flgB//aceK//yneM//hycE//ynbB//chbA//yjhB//puuA//srlA//hemH//ymjD//ihfA//fdnG//tam//intQ//wza//sufE//patD//paaX//phoB//pgi//nirD//rpoH//gfcA//waaZ//lhgO//pstB//aceF//fadD//guaB//rutG//metJ//argO//ybiT//leuC//flgC//galT//marB//moaC//nupG//stpA//
FliZ_neg	psiF//ulaF//yhcH//iscR//astB//nadB//glmS//pyrD//idnD//hyaA//flhB//cheA//lamB//csgA//narI//cpxA//oppD//cyoC//tnaA//oppB//gatY//
FucR_pos	polB//cadB//nirC//manZ//lldD//wcaB//ulaE//
Fur_neg	safA//entA//caiD//bioC//ribA//phoE//ytfE//wzc//hipB//ynfF//rhaT//phoH//murF//hcr//pheS//fliI//aroP//ftnA//malG//mhpF//emrB//araJ//fliJ//yhdY//idnO//flhD//fepE//evgS//rtcA//pepD//ybfN//fliG//napB//argE//sbcD//psiF//emrY//cysH//paaJ//yhdY//yafN//uvrB//artI//gutQ//nupG//sodA//phnC//ndh//dsbA//metN//paaK//ymgA//mngB//erpA//hcp//flu//lysO//nikE//nusA//rutE//agaC//phnI//chbR//fadD//ydhY//putP//hokD//zinT//sucD//ydfX//citG//fnr//yeaG//metH//ynfF//ybhG//nemA//glcA//ybaT//malK//ftnB//chbR//yjbF//yfdX//agaC//rcnR//pyrC//nanA//cdd//flhC//lexA//iraM//puuA//nuoB//tyrA//efeU_1//cpxA//puuR//mazG//deoD//speB//glgP//glnQ//allB//mhpT//obgE//puuD//fliL//dicC//cusC//fliQ//fabB//dhaK//tcyP//atoD//
Fur_pos	idnO//phnG//xylA//aidB//hydN//zinT//bdm//rnlA//mipA//dsrA//yaiW//mprA//ynfG//ccmH//insK//mhpC//fliF//idnR//ymgA//yecT//citC//
GadE-RcsB_pos	pfkA//ecpR//yiaK//tolC//hyfB//ppdB//cynX//aldA//metB//
GadE_pos	galK//glpD//nanK//cheW//lrhA//galS//leuO//glnD//yjjZ//sutR//glcE//cysP//purB//yiiS//trpE//citG//pnuC//ugpC//ssuB//fliN//yeaG//uxaB//hypD//glnH//hokD//hypC//insD//yhjA//yidQ//
GadW_neg	pstB//ompT//ybbY//gspD//ymjD//fucO//dmsC//nrdE//fdnH//fhlA//dkgB//
GadW_pos	pgaC//fliP//csgB//hisQ//fepA//trpB//aceF//appX//ompW//acrD//rutE//
GadX_neg	tauC//fliN//hmp//ygiB//bacA//fliF//
GadX_pos	entH//tam//mpaA//pitB//cra//bamE//aceE//sucD//trpD//ompN//gntU//dinF//accA//glcF//purH//appY//pstC//manX//prpC//fecD//nemA//ecpA//fliO//ykgO//nupG//mpl//murF//
GalR_neg	lysP//phoR//accC//pdeR//rhaT//codB//rffT//ychF//glpC//dnaA//
GalR_pos	gcl//fhuD//yiaN//ymjD//
GalS_neg	paaZ//pgm//ydbK//prs//ptrA//lysC//mgrR//yafN//phnK//oxyR//
GalS_pos	dps//nuoL//oxc//idnO//
GatR_neg	lysR//lsrD//ugpA//argP//nanA//pgk//
