# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	paaG//nrfA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	nrfC//atoD//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	fumC//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	pyrC//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	rhaA//waaH//
AdiY_H-NS_IHF	tdcD//
AgaR_CRP	mhpE//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	hyaB//lpd//
AraC_CRP	pgaD//fabB//mhpF//lldD//betA//
AraC_CRP_XylR	glgP//folA//
AraC_NagC	
ArcA_BetI_Cra	astC//mazG//astD//
ArcA_CRP_CaiF_FNR_H-NS	rbsD//tauD//paaK//gatY//nanE//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	nrdA//hycD//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	paaC//pflB//nrfC//fabZ//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	serA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	gapA//katG//hycD//
ArcA_CRP_Cra_Fis	yiaK//
ArcA_CRP_Cra_IHF_IclR	entF//gntK//mpl//
ArcA_CRP_DcuR	glpD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	moaD//
ArcA_CRP_DnaA_FNR	tdcE//
ArcA_CRP_DpiA_FNR_NarL	aspA//ascB//sdhC//
ArcA_CRP_DpiA_FlhDC	gltA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	hyaA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	entC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	tdcG//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	puuB//paaJ//hyaA//recF//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	sdhA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	citE//
ArcA_CRP_FNR_IHF_NarL	katG//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	fes//
ArcA_CRP_FadR_HipB	lldD//
ArcA_CRP_FadR_OmpR_PhoP	argG//
ArcA_CRP_Fis_Mlc_SoxS	nirD//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	murQ//rhaD//fumC//
ArcA_CRP_GlpR	entF//
