# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	purH//fbaA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	astD//carB//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	malS//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	gatD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	mdh//nanM//
AdiY_H-NS_IHF	fadE//
AgaR_CRP	hemL//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	ahpC//glyA//
AraC_CRP	glcF//uxuB//ansB//zwf//mraY//
AraC_CRP_XylR	adiA//cyoE//
AraC_NagC	
ArcA_BetI_Cra	glnA//sodA//ulaG//
ArcA_CRP_CaiF_FNR_H-NS	aspC//fumA//tnaA//glcD//entE//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	puuB//nirD//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	napG//rnpB//astD//gadB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	murQ//
ArcA_CRP_Cra_FNR_NsrR_PdhR	carA//ftsI//fadB//
ArcA_CRP_Cra_Fis	hmp//
ArcA_CRP_Cra_IHF_IclR	hypF//galK//uidA//
ArcA_CRP_DcuR	melA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	murG//
ArcA_CRP_DnaA_FNR	metH//
ArcA_CRP_DpiA_FNR_NarL	accB//lpxC//glgA//
ArcA_CRP_DpiA_FlhDC	murQ//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	glpB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	ansB//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	napC//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	napG//pck//araD//nfsA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	paaH//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	mhpB//
ArcA_CRP_FNR_IHF_NarL	mpl//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	idnK//
ArcA_CRP_FadR_HipB	lsrF//
ArcA_CRP_FadR_OmpR_PhoP	lysA//
ArcA_CRP_Fis_Mlc_SoxS	lysA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	napA//yqjH//galM//
ArcA_CRP_GlpR	ssuD//
