# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	entC//glcD//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	hycC//sucD//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	mhpF//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	lsrF//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ulaE//aroL//
AdiY_H-NS_IHF	sgbE//
AgaR_CRP	moaE//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	glnA//glpB//
AraC_CRP	dsdA//sdhC//icd//edd//sodB//
AraC_CRP_XylR	moaE//nanE//
AraC_NagC	
ArcA_BetI_Cra	lsrG//fabB//gltB//
ArcA_CRP_CaiF_FNR_H-NS	ahpC//gltB//fabA//uxaB//caiC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	malY//garL//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	puuB//gloA//dmsB//fbaA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	gadA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	paaB//lpd//ulaD//
ArcA_CRP_Cra_Fis	ulaF//
ArcA_CRP_Cra_IHF_IclR	garK//ilvE//sucC//
ArcA_CRP_DcuR	idnO//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	purA//
ArcA_CRP_DnaA_FNR	ddlB//
ArcA_CRP_DpiA_FNR_NarL	fbaA//fadH//gatY//
ArcA_CRP_DpiA_FlhDC	napC//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	ascB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	fadH//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	dsdA//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	paaC//lldD//accB//lpxD//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	icd//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	garL//
ArcA_CRP_FNR_IHF_NarL	lacA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	sdhB//
ArcA_CRP_FadR_HipB	lacA//
ArcA_CRP_FadR_OmpR_PhoP	gatY//
ArcA_CRP_Fis_Mlc_SoxS	hycF//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	gutQ//rsmH//ynfE//
