# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	paaF//ulaE//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	glpB//accB//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	astA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	fumC//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	glcB//nrdB//
AdiY_H-NS_IHF	paaK//
AgaR_CRP	aldB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	gdhA//prpE//
AraC_CRP	hyaB//uidA//tdcD//lpxA//entA//
AraC_CRP_XylR	umpH//murQ//
AraC_NagC	
ArcA_BetI_Cra	entE//araB//hmp//
ArcA_CRP_CaiF_FNR_H-NS	zwf//glpQ//recF//lysA//bglB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	folA//recF//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	lhgO//edd//mraY//atoD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	pspE//
ArcA_CRP_Cra_FNR_NsrR_PdhR	ynfG//katG//fucA//
ArcA_CRP_Cra_Fis	entE//
ArcA_CRP_Cra_IHF_IclR	rutE//napH//chbG//
ArcA_CRP_DcuR	hycE//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	lldD//
ArcA_CRP_DnaA_FNR	lpxC//
ArcA_CRP_DpiA_FNR_NarL	acnB//uxaC//mhpF//
ArcA_CRP_DpiA_FlhDC	ddlB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	galM//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	pgk//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	gadA//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	argD//icd//glgA//gcd//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	hemA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	gloA//
ArcA_CRP_FNR_IHF_NarL	prmC//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	hycC//
ArcA_CRP_FadR_HipB	idnD//
ArcA_CRP_FadR_OmpR_PhoP	metE//
ArcA_CRP_Fis_Mlc_SoxS	hypF//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	pdeR//garK//aceB//
ArcA_CRP_GlpR	dgcZ//
