# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	garR//purD//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	sdhA//waaZ//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	sodB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ogt//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	entF//edd//
AdiY_H-NS_IHF	murD//
AgaR_CRP	dsdA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	gcvT//fau//
AraC_CRP	rhaB//pgaC//torC//metB//aceA//
AraC_CRP_XylR	fumB//rhaA//
AraC_NagC	
ArcA_BetI_Cra	gadB//mdh//gatZ//
ArcA_CRP_CaiF_FNR_H-NS	frdA//sdhA//glpX//ldtB//rhaA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	mazG//gabT//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	putA//astA//pncB//deoD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	aldA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	lpxD//waaY//paaJ//
ArcA_CRP_Cra_Fis	truB//
ArcA_CRP_Cra_IHF_IclR	hyaC//hyaC//xylA//
ArcA_CRP_DcuR	glpD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	lsrG//
ArcA_CRP_DnaA_FNR	entE//
ArcA_CRP_DpiA_FNR_NarL	citE//guaA//pdeL//
ArcA_CRP_DpiA_FlhDC	uidA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	tauD//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	fumC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	aldB//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	dusB//gatZ//paaC//adhE//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	fadA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	mnmG//
ArcA_CRP_FNR_IHF_NarL	puuD//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	paaK//
ArcA_CRP_FadR_HipB	umpH//
ArcA_CRP_FadR_OmpR_PhoP	narG//
ArcA_CRP_Fis_Mlc_SoxS	gltB//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	sgbU//deoD//astA//
ArcA_CRP_GlpR	narI//
