# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	metK//serA//
Ada	fabZ//astA//purB//rtcB//
AdiY	aroG//hcaC//glcE//frdB//
AgaR	dmsC//
AidB	pdeH//
AlaS-L-alanine	mhpE//
AllR-allantoin	paaK//ppc//recF//gpmA//glcD//aroH//
AllS-allantoin	pck//hcaB//accA//
AlsR	gpmM//nagB//argG//
AppY	wzb//dkgB//
AraC	ruvA//narH//rffC//
AraC-arabinose	glyA//yeaE//murD//betA//wecC//idnO//metK//acnB//
ArgP	ppiA//frc//dhaL//lpd//caiB//arsC//nagB//fadD//
ArgP-arginine	dhaL//
ArgR-L-arginine	glgB//puuC//sdhA//lyxK//glmU//idnD//ilvG_1//polB//ynfE//argI//nrdF//sdaA//frdB//purN//pepD//pgaC//citD//bglB//codA//nrdE//folA//glyA//idnO//
ArsR	puuB//hmp//
AscG	uvrC//argH//
AsnC	nrdF//fabH//
AtoC-Phosphorylated	purN//moeA//guaB//
BCCP	nrfC//
BaeR-Phosphorylated	leuA//narI//
BasR-Phosphorylated	sufS//fadI//paaA//
BetI	tdcG//ddlB//ilvE//
BirA-biotinyl-5-adenylate	purA//feaB//bacA//astE//pspE//
BluR	
BolA	eno//ydcS//
BtsR-Phosphorylated	ftsI//
CadC	mhpE//lsrK//dgcZ//
CaiF-L-carnitine	yqhD//allB//leuA//nadB//idnK//
Cbl	tyrA//amn//pnp//pfkA//ilvC//
CdaR	dsdA//ttdB//araD//paaI//dkgB//gcvH//aroF//hycB//glpD//
CecR	nirD//
ChbR	phnI//ynfG//fabG//
ChbR-N-monoacetylchitobiose-6-phosphate	srkA//paaG//trpA//
ComR	
CpxR-Phosphorylated	pheT//mhpD//fabI//glpK//torC//malZ//citD//garR//udp//frc//garL//ilvD//ynfH//aceF//cadA//purM//gloA//cysI//asnA//pdeH//nfsB//
Cra	ssuD//sdaA//ldtC//ubiA//malY//nrdB//polA//ruvA//ydcS//hyi//lpxA//ldtB//pheT//murG//purF//fabB//psd//puuE//glxR//prpC//fdhF//alkB//yedX//guaB//rffC//fadI//murC//glcD//sdaA//astA//purM//speA//pspE//rffH//pgk//cynS//moeA//wrbA//aceA//narG//entC//paaH//glcD//citG//nfsB//arsC//pck//caiB//gadA//yeaG//astA//nrfC//lpxC//aceB//acnA//purE//aroH//pykF//gor//
CreB-Phosphorylated	nirD//hemH//
CsgD	pdeL//paaF//pepD//hemH//puuB//
CsiR	aroH//glpA//cysH//sdaA//
CspA	sucC//
CueR-Cu	hypF//pheT//dmsC//luxS//ulaF//
CusR-Pasp	phnI//nrdD//serA//ubiX//
CynR	
CynR-cyanate	fadB//phnG//adhE//
CysB	purK//bioB//
CysB-O-acetyl-L-serine	citE//gpmA//paaY//phnJ//pepD//argE//bioF//aspA//purD//phnJ//pdeR//fadE//ilvI//bacA//phnJ//
CytR	glgX//deoA//puuC//fumB//pnp//hyaB//rffH//yqjH//mngB//dkgA//
Dan-L-tartrate	argA//araA//
