# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	cysC//aceF//
Ada	leuA//alaS//umuC//dhaM//
AdiY	ahpC//argI//hcp//tauD//
AgaR	ubiX//
AidB	wecE//
AlaS-L-alanine	asnA//
AllR-allantoin	lyxK//cysG//ybjG//argC//wzc//hcaB//
AllS-allantoin	nanM//icd//hyaA//
AlsR	mdh//pyrC//sdhD//
AppY	glyA//rffH//
AraC	ilvD//caiC//pgpC//
AraC-arabinose	pyrC//narI//moaC//citE//araD//ynfE//nadB//glpB//
ArgP	mpl//ruvB//fabH//nrfA//ldtC//rffT//glpD//astA//
ArgP-arginine	gcvH//
ArgR-L-arginine	treC//metK//dgcN//ttdA//gdhA//ldtC//metF//entE//mpl//entB//purB//sdhC//fes//pfkA//recB//lysA//leuC//ilvD//ynfH//hyaA//waaZ//fadI//gudD//
ArsR	citC//truB//
AscG	pheT//moaE//
AsnC	rffM//galK//
AtoC-Phosphorylated	glcF//tpiA//hyi//
BCCP	prpE//
BaeR-Phosphorylated	ugpQ//ahpF//
BasR-Phosphorylated	gloA//gatD//tam//
BetI	serC//sufS//entD//
BirA-biotinyl-5-adenylate	mngB//mhpF//napA//amn//chbG//
BluR	
BolA	pgaB//tyrB//
BtsR-Phosphorylated	lpxD//
CadC	yeaG//rsmH//waaZ//
CaiF-L-carnitine	sucA//iscS//sdhA//hycD//glpQ//
Cbl	hcp//pykF//pykF//nfsA//carA//
CdaR	adhE//pnp//glsA//acnA//pfkA//pnp//lldD//yqjH//cysD//
CecR	speA//
ChbR	ulaD//pgm//alaS//
ChbR-N-monoacetylchitobiose-6-phosphate	hcaF//pgaB//prpB//
ComR	
CpxR-Phosphorylated	gatZ//napB//garL//galK//idnK//torA//puuA//nfsB//tyrB//udp//chbG//ilvH//xapA//garK//iscS//pagP//fadA//argI//gor//fabH//pheT//
Cra	puuC//sdhC//atoA//sbcC//xapA//xapA//ada//polA//mhpD//ddlB//allA//entA//nrdB//moeA//fruK//cysC//citX//rffG//mraY//recD//bioB//metA//gor//citF//araB//ilvG_1//purL//sucB//polB//metK//entB//lpxD//cadA//nrdF//alaC//argD//pyrC//wecB//phnN//nagA//avtA//wecB//lacA//glpD//argA//relA//dacC//cynT//ubiC//gudD//idnD//hcaF//putA//tdcE//asnA//torA//nrdE//mpl//lacZ//
CreB-Phosphorylated	deoD//arsC//
CsgD	torA//glyA//kbaY//aldA//nanA//
CsiR	nanE//ccp//feaB//melA//
CspA	accD//
CueR-Cu	entD//aroG//epd//frdB//pgm//
CusR-Pasp	puuD//fadB//malP//murI//
CynR	
CynR-cyanate	ynfE//sucC//araA//
CysB	rutA//malY//
CysB-O-acetyl-L-serine	murI//rtcB//garL//puuC//lpxD//ilvH//cysE//murQ//gltD//poxB//pykF//sucC//rffH//cynT//hcaE//
CytR	pgm//bioA//yqhD//astC//gcvT//tdh//metK//nanE//thrS//waaY//
Dan-L-tartrate	phnI//glxK//
DcuR-Phosphorylated	puuB//folE//purE//rutE//
DeoR	glxK//glk//gabT//fes//nanE//paaJ//
DhaR	cysN//
DicA	
DinJ-YafQ	ubiC//
DnaA-ATP	pspE//rtcB//puuA//gpmM//hyi//wzb//
DpiA-Pasp	argF//glcE//xylA//murE//aroG//
DsdC-D-serine	pfkA//araA//
EbgR	
EnvR	recF//xapA//
EnvY	aceA//putA//
EvgA-Phosphorylated	folE//citC//malS//narG//glpX//puuE//
ExuR	bioD//ybjG//trpD//puuE//allB//chbG//
ExuR-alpha-D-galacturonate	
FabR	rbsD//sodA//phnN//
FadR	pdeL//thrS//murQ//tynA//murE//fadB//fabI//aroG//cueO//pagP//ppsA//napH//thrS//trpA//fabH//prpE//argF//adhE//ada//
FadR-acyl-CoA	
FeaR	arsC//fadA//
FhlA-formate	atoA//astB//napG//idnK//aroH//metE//rutB//katE//
FlhDC	pykF//feaB//trpE//hypB//katE//lsrG//fabI//araA//deoD//eda//ldtD//eda//glpK//aceA//
FliZ	adhE//umuD//galM//purM//ilvI//
FucR-L-fuculose-1-P	purC//ilvH//entE//deoC//srlD//alkA//
