# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	dadX//fes//
Ada	pheT//ubiA//fucK//nirD//
AdiY	mpl//puuE//asnA//napG//
AgaR	aceF//
AidB	dacC//
AlaS-L-alanine	purD//
AllR-allantoin	fabH//pheS//caiC//frdC//ahpF//gcvP//
AllS-allantoin	malS//pheT//citG//
AlsR	rutE//fadA//murI//
AppY	hycD//ruvB//
AraC	ulaG//hycF//glpQ//
AraC-arabinose	paaI//dgcZ//ogt//argA//recF//hcaD//purC//patA//
ArgP	rimK//cysJ//wecC//deoB//trpB//glmU//adiA//zwf//
ArgP-arginine	mhpC//
ArgR-L-arginine	fabA//phoA//phnN//ynfE//prpE//asnA//wzb//murF//gatY//glxK//sdhB//prpD//ilvD//entE//nadB//aceB//glcF//glgB//lyxK//mpl//lsrK//bacA//alaC//
ArsR	mdh//rffM//
AscG	ilvD//fucO//
AsnC	ribA//ahpF//
AtoC-Phosphorylated	astB//amn//ynfE//
BCCP	paaZ//
BaeR-Phosphorylated	lysA//murI//
BasR-Phosphorylated	folE//iscS//dkgB//
BetI	rffT//aceE//phnI//
BirA-biotinyl-5-adenylate	citG//paaZ//torC//ynfE//citC//
BluR	
BolA	fumC//frdB//
BtsR-Phosphorylated	edd//
CadC	fabA//ampC//asnA//
CaiF-L-carnitine	ssuE//gcvT//ahpC//mhpB//wecE//
Cbl	glcE//uvrB//adiA//aspA//araD//
CdaR	malS//ilvI//gcl//murE//truB//mhpF//allB//guaB//fabB//
CecR	pdeH//
ChbR	pncB//tdh//frc//
ChbR-N-monoacetylchitobiose-6-phosphate	ssuE//glcF//atoD//
ComR	
CpxR-Phosphorylated	ldtD//malQ//araD//pheS//yiaK//ynfG//argF//lhgO//paaH//malZ//dhaM//pgpC//tdcD//entE//entH//gabD//hcaB//putA//wrbA//uxaA//betB//
Cra	ampC//grxA//gltD//prpB//nanA//ttdA//pgk//cysK//gltD//avtA//moaE//phnG//deoB//leuA//narI//waaH//rffH//rbsK//fes//pgm//gudD//moaC//citX//astB//cysJ//astB//nanM//argI//bioF//garK//phnI//narH//ppsA//pgaB//ruvB//entF//fucI//waaZ//glpB//cyoE//gudD//metH//ada//nirD//asnA//paaJ//gltB//galT//frc//acnB//talA//purF//accA//nadB//dhaL//prpE//pgaB//entD//bglB//
CreB-Phosphorylated	tyrB//astE//
CsgD	nrdD//ahpC//tdcD//mhpA//psd//
CsiR	ogt//murE//gpmM//nrfD//
CspA	rffG//
CueR-Cu	purD//pncB//purM//pgm//malZ//
CusR-Pasp	ahpF//kbaY//ycjG//deoB//
CynR	
CynR-cyanate	pagP//tadA//wzc//
CysB	asnA//aroF//
CysB-O-acetyl-L-serine	purC//ulaE//waaZ//mhpD//pdeH//rffM//bioA//leuA//tktB//tam//mpl//metA//nanK//entH//wrbA//
CytR	guaB//ascB//ilvD//ppiA//argC//amn//mngB//narG//ycjG//entA//
Dan-L-tartrate	serA//appA//
DcuR-Phosphorylated	aspC//lysA//yeaE//fadE//
DeoR	rfe//gatD//lsrK//lyxK//idnK//ldtC//
DhaR	pnp//
DicA	
DinJ-YafQ	purD//
DnaA-ATP	paaG//allD//purK//dapB//lhgO//tdcB//
DpiA-Pasp	nagB//uxaC//waaZ//ugpQ//rsmH//
DsdC-D-serine	gltB//pnp//
EbgR	
EnvR	araB//ogt//
EnvY	nanA//ynfG//
EvgA-Phosphorylated	wecE//accD//pyrD//frdD//carB//waaY//
ExuR	mngB//tdh//nirD//xylA//lysA//aroH//
ExuR-alpha-D-galacturonate	
FabR	pdeL//wecC//kbl//
FadR	purK//pck//nrdD//zwf//astE//recF//hyaB//entH//fbaB//garD//argE//ccp//gpmM//frdB//ogt//sucB//atoD//pflB//uidA//
FadR-acyl-CoA	
FeaR	narI//malZ//
FhlA-formate	trpB//dapD//ugpQ//fes//murF//malS//murF//allD//
FlhDC	purE//yqhD//aldA//argG//glxK//caiD//mhpA//fabH//dhaL//serC//leuA//pflB//eno//moaE//
FliZ	serA//nrdF//pflB//glmU//nrfC//
FucR-L-fuculose-1-P	luxS//gabD//sdhA//cysC//purA//glpA//
Fur-Fe2	putA//nrdE//lpxC//murF//prs//fadA//fabI//hycC//glpX//epd//puuC//bacA//frc//adiA//bioB//grxA//glyA//xapA//cysI//caiC//gloA//garK//recD//purE//rffT//uvrA//gatZ//bglB//srkA//wecB//gabT//idnD//allC//fabA//tdh//tyrB//wecC//pspE//dkgA//sdhA//hcaE//pheT//fucA//glgB//aroL//entF//narG//nadB//fadA//napG//pgi//tadA//glmS//yfdE//uxaB//sbcD//lsrK//sucC//cysK//adiA//recB//cysC//
GadE	bioA//idnO//torC//murD//nrdD//dadX//icd//ddlB//astE//paaB//
GadE-RcsB	lpxA//tauD//sucD//speG//asnB//
GadW	dmsC//alkA//mhpA//paaI//
GadX	phoA//nanE//ilvG_1//sodA//fbaB//prpC//deoC//rpiB//garR//mngB//wecC//argI//moaA//glpB//
GalR	paaK//gloA//rimK//eda//entA//carA//
