# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	fruK//dacC//
Ada_neg	kbaZ//aceB//
Ada_pos	aceE//pagP//appA//galE//
AdiY_pos	aroG//araD//galE//tynA//
AgaR_neg	purL//
AidB_neg	talA//
AlaS-L-alanine_neg	ldtB//
AllR-allantoin_neg	pheS//dgcC//carB//fadI//galT//guaB//
AllS-allantoin_pos	appA//pdeH//lysA//
AlsR_neg	wrbA//malS//malY//
AppY_pos	fadI//glcF//
AraC-arabinose_neg	cysN//mnmG//paaH//gutQ//rhaA//
AraC-arabinose_pos	glcF//udp//cysC//aspA//argD//ilvC//
AraC_neg	phnM//ttdA//aroL//
AraC_pos	garK//fabI//pck//
ArgP-arginine_neg	
ArgP-arginine_pos	dacC//
ArgP_pos	fabA//pagP//tdcB//guaB//luxS//phnI//aceA//metB//
ArgR-L-arginine_neg	fadD//murI//frdD//moaE//fadA//garK//gatZ//malY//adiA//ppsA//alaC//ubiX//purK//uxaA//waaZ//gcvH//purB//purM//
ArgR-L-arginine_pos	sgbU//nanA//paaC//ribA//hypF//
ArsR_neg	umuD//nrdD//
AscG_neg	puuA//kbaZ//
AsnC_neg	malP//
AsnC_pos	glcB//
AtoC-Phosphorylated_pos	rffM//mhpD//moaA//
BCCP_neg	cysG//
BaeR-Phosphorylated_pos	mraY//argD//
BasR-Phosphorylated_neg	ftsI//
BasR-Phosphorylated_pos	lpd//lpxC//
BetI_neg	pncB//lacZ//atoA//
BirA-biotinyl-5-adenylate_neg	gcvH//dapB//gudD//nadB//umpH//
BluR_neg	
BolA_neg	entA//lpxC//
BolA_pos	hyi//accD//
BtsR-Phosphorylated_pos	gor//
CadC_pos	bacA//bioB//metB//
CaiF-L-carnitine_pos	nrfC//aroG//xylA//entF//rtcB//
Cbl_pos	fucK//napG//rffG//leuA//uxaC//
CdaR_pos	rfe//fucO//uxaC//fadB//polB//treC//adhE//thrS//ygeA//
CecR_neg	nanE//
ChbR-N-monoacetylchitobiose6-phosphate_neg	pgpC//fabZ//gor//
ChbR-N-monoacetylchitobiose6-phosphate_pos	ruvB//allD//fucO//
ChbR_neg	epd//hycG//paaK//
ChbR_pos	tdcG//prpC//hypF//
ComR_neg	
CpxR-Phosphorylated_neg	argH//purN//fabI//
CpxR-Phosphorylated_pos	ychF//hcaE//recB//narG//dgcC//iscS//bioD//acnB//nanE//bioF//rtcA//tdcB//fadI//glgA//murF//tktB//pfkA//cyoE//
Cra_neg	katE//glpC//cyoE//puuE//acnB//prpD//ampC//tyrB//kbaY//bioA//ubiA//galE//garL//acnA//ldtB//fau//mpl//argF//fadI//glyA//edd//trpA//moeB//rbsK//lldD//galM//hycF//pgaB//gor//allA//bioB//rtcA//tktB//adiA//waaH//cdd//sodA//lsrF//dinB//tehB//tynA//fabA//ulaE//mhpB//paaY//
Cra_pos	tadA//torA//mhpD//napG//phnI//fucU//recB//sucD//ahpF//metA//ndh//ubiC//caiD//narI//paaA//pgaB//feaB//
CreB-Phosphorylated_neg	fruK//
CreB-Phosphorylated_pos	citE//
CsgD_neg	nirB//hcaD//
CsgD_pos	tdcG//glpK//chbG//
CsiR_neg	cueO//araA//caiC//moeA//
CspA_pos	fes//
CueR-Cu_neg	cysC//alaS//moeB//
CueR-Cu_pos	alkB//sdhC//
CusR-Pasp_pos	sucD//hemL//metH//rtcA//
CynR-cyanate_pos	ldtC//idnK//eno//
CynR_neg	
CysB-O-acetyl-L-serine_neg	fumC//pheS//pyrC//
CysB-O-acetyl-L-serine_pos	yiaK//idnD//galM//uvrB//metK//ychF//ldtC//srkA//wecE//pdeH//rhaB//uxuB//
CysB_neg	
CysB_pos	pdeR//gloA//
