# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	argI//grxA//
Ada_neg	glgX//paaY//
Ada_pos	frdB//glxR//pfkA//ccp//
AdiY_pos	citG//lpxC//gntK//rbsK//
AgaR_neg	glpD//
AidB_neg	prpB//
AlaS-L-alanine_neg	caiA//
AllR-allantoin_neg	accD//ppc//hycD//rsmH//fucK//ddlB//
AllS-allantoin_pos	napH//murF//alkB//
AlsR_neg	nemA//gadB//murE//
AppY_pos	speG//purE//
AraC-arabinose_neg	cadA//pyrC//fabG//napB//nrfA//
AraC-arabinose_pos	gltD//phr//uvrB//cysD//umuC//yeaG//
AraC_neg	gutQ//napA//phnH//
AraC_pos	idnK//uvrC//purD//
ArgP-arginine_neg	
ArgP-arginine_pos	malP//
ArgP_pos	recF//hypB//fabD//citF//ychF//lyxK//lacZ//garD//
ArgR-L-arginine_neg	pgpC//dhaK//allD//sgbH//bioF//gcvH//leuB//frdD//pgi//phoA//frdB//rnpB//argG//rutD//wzc//bioB//paaE//fumC//
ArgR-L-arginine_pos	dgcN//serA//galM//lldD//frdA//
ArsR_neg	alkB//mpaA//
AscG_neg	frdA//umuC//
AsnC_neg	murI//
AsnC_pos	nirB//
AtoC-Phosphorylated_pos	glmS//grxA//xylA//
BCCP_neg	purL//
BaeR-Phosphorylated_pos	gltB//tktB//
BasR-Phosphorylated_neg	murI//
BasR-Phosphorylated_pos	moaE//glpB//
BetI_neg	fau//yqhD//trpE//
BirA-biotinyl-5-adenylate_neg	gutQ//napA//frc//rfe//ygeA//
BluR_neg	
BolA_neg	aroG//epd//
BolA_pos	ampC//tdcE//
BtsR-Phosphorylated_pos	ilvC//
CadC_pos	glgB//tehB//rtcA//
CaiF-L-carnitine_pos	pykF//udp//tdcE//gor//malS//
Cbl_pos	metC//glgB//rtcA//accA//ubiX//
CdaR_pos	prpD//ugpQ//hycF//frc//lsrG//pepD//fabI//betB//metL//
CecR_neg	ampC//
ChbR-N-monoacetylchitobiose6-phosphate_neg	malQ//phr//ychF//
ChbR-N-monoacetylchitobiose6-phosphate_pos	poxB//purM//hcaE//
ChbR_neg	sbcD//ahpC//araB//
ChbR_pos	cysH//xylA//prpE//
ComR_neg	
CpxR-Phosphorylated_neg	atoA//rffH//accA//
