# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	galE//moaC//
Ada_neg	prpB//gor//
Ada_pos	mpl//iscS//aspA//gadA//
AdiY_pos	cysG//tehB//rutD//citG//
AgaR_neg	gpmA//
AidB_neg	pheT//
AlaS-L-alanine_neg	ahpF//
AllR-allantoin_neg	araA//uvrB//ybjG//udp//fadB//serA//
AllS-allantoin_pos	araD//pepD//glpA//
AlsR_neg	entB//murI//prpE//
AppY_pos	metC//purL//
AraC-arabinose_neg	ribA//sucA//hcaD//nirB//glcB//
AraC-arabinose_pos	sodA//fadH//ugpQ//rffT//nemA//xylA//
AraC_neg	yfdE//cysD//dinB//
AraC_pos	metB//fabG//gabT//
ArgP-arginine_neg	
ArgP-arginine_pos	purA//
ArgP_pos	prpE//gpmM//sucD//wecB//speB//polB//aroL//nemA//
ArgR-L-arginine_neg	hemL//pgpC//eno//hcaD//ahpC//srkA//paaF//sdhB//fruK//yqjH//gntK//argD//cadA//deoC//citE//pyrC//pdeR//glpX//
ArgR-L-arginine_pos	idnD//speA//lysC//cysG//lpd//
ArsR_neg	xylB//rimK//
AscG_neg	paaK//chbG//
AsnC_neg	nagA//
AsnC_pos	malQ//
AtoC-Phosphorylated_pos	recD//puuB//hycD//
BCCP_neg	uvrA//
BaeR-Phosphorylated_pos	uxuB//citC//
BasR-Phosphorylated_neg	gabT//
BasR-Phosphorylated_pos	glgX//rhaD//
BetI_neg	ssuD//rutE//dmsB//
BirA-biotinyl-5-adenylate_neg	glsA//sgbU//fucI//sucD//aroG//
BluR_neg	
BolA_neg	lacA//astB//
BolA_pos	metA//moeB//
BtsR-Phosphorylated_pos	tadA//
CadC_pos	wecC//rfe//lpd//
CaiF-L-carnitine_pos	sodB//waaH//garK//frdA//srlD//
Cbl_pos	nrfA//allB//citD//tyrA//rutE//
