# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	gltD//folA//
Ada_neg	gadA//waaY//
Ada_pos	napA//allB//rutC//hcp//
AdiY_pos	fdhF//ybjG//deoC//ldtC//
AgaR_neg	mpaA//
AidB_neg	hcaF//
AlaS-L-alanine_neg	caiD//
AllR-allantoin_neg	mhpE//frdB//entE//gor//nrdF//nanA//
AllS-allantoin_pos	ubiA//araD//dapB//
AlsR_neg	napB//frdC//caiD//
AppY_pos	frdC//ddlB//
AraC-arabinose_neg	dinB//wrbA//ttdB//metF//sbcD//
AraC-arabinose_pos	metC//astC//ssuD//astA//deoA//poxB//
AraC_neg	gcvP//mnmG//tam//
AraC_pos	metF//ftsI//rhaB//
ArgP-arginine_neg	
ArgP-arginine_pos	epd//
ArgP_pos	hemL//ogt//rhaD//dacC//rffT//cysK//purA//nirD//
ArgR-L-arginine_neg	pdeH//lacZ//gudD//murG//pgaD//tnaA//glcB//hycF//ynfE//lpxD//lpxD//gadB//dinB//pgaC//citX//nagA//hycG//bioC//
ArgR-L-arginine_pos	umuD//fadM//aceB//ssuD//glcB//
ArsR_neg	ada//aroL//
AscG_neg	mltF//iscS//
AsnC_neg	phnL//
AsnC_pos	tdcE//
AtoC-Phosphorylated_pos	pdeL//rffM//citE//
BCCP_neg	gapA//
BaeR-Phosphorylated_pos	aceF//speB//
BasR-Phosphorylated_neg	gloA//
BasR-Phosphorylated_pos	araD//fadA//
BetI_neg	pdeL//frc//cysG//
BirA-biotinyl-5-adenylate_neg	frdC//tauD//nemA//glsA//aceF//
BluR_neg	
BolA_neg	sgbH//tktB//
BolA_pos	astB//lpxD//
BtsR-Phosphorylated_pos	cynT//
CadC_pos	kbaZ//gor//glcE//
CaiF-L-carnitine_pos	slt//tyrA//purF//puuD//alaC//
Cbl_pos	hcaE//pdeL//mraY//paaA//fabA//
CdaR_pos	sdhD//murI//phnN//nemA//dapB//kbaZ//dapD//glgA//pykF//
CecR_neg	cysH//
ChbR-N-monoacetylchitobiose6-phosphate_neg	fau//leuD//puuD//
ChbR-N-monoacetylchitobiose6-phosphate_pos	talA//glpX//ynfH//
ChbR_neg	iscS//paaY//argG//
ChbR_pos	cysH//paaK//malP//
ComR_neg	
CpxR-Phosphorylated_neg	lysC//fadJ//hycF//
CpxR-Phosphorylated_pos	caiB//fumB//codA//fabA//phnJ//atoD//hyaA//ahpF//pheS//purM//moeA//leuA//ubiX//ppiA//mtlD//uxuA//slt//pck//
Cra_neg	araB//slt//astE//entC//purM//bioF//purN//lsrF//gatZ//gapA//tyrB//atoD//glgC//srkA//rpiB//paaA//recB//lpd//pdeL//sodA//tynA//lpxC//aroH//hyi//pyrD//bioA//astB//sdhB//entA//galE//trpC//moaE//pncB//accD//kbaY//fabZ//fucO//rffH//speG//fabD//trpC//prpB//purA//gcvH//araB//
Cra_pos	paaC//ssuE//leuD//astB//rsmH//glpX//rffH//gapA//arsC//nfsB//caiC//cynT//glgX//pagP//rutA//fadD//slt//
CreB-Phosphorylated_neg	fucI//
CreB-Phosphorylated_pos	rutC//
CsgD_neg	cysD//rffG//
CsgD_pos	fucO//gatZ//pepD//
CsiR_neg	paaI//poxB//pgaD//gapA//
CspA_pos	entB//
CueR-Cu_neg	wzc//glpQ//feaB//
CueR-Cu_pos	nagB//relA//
CusR-Pasp_pos	gcvH//epd//rutC//wzb//
CynR-cyanate_pos	caiC//pgaD//acnB//
CynR_neg	
CysB-O-acetyl-L-serine_neg	glcF//hcaE//metF//
CysB-O-acetyl-L-serine_pos	fadM//glk//fabA//lsrG//kbaY//frdB//rhaB//phnJ//phnJ//hyaB//tdcB//pdeH//
CysB_neg	
CysB_pos	paaG//tauD//
CytR_neg	lacZ//pgm//cysJ//ftnA//fes//lpd//gloA//ldtC//accD//wzb//
Dan-L-tartrate_pos	nrdB//pspE//
DcuR-Phosphorylated_pos	guaB//dacC//pdeR//hyi//
DeoR_neg	phnP//sucD//pdeL//guaB//mtlD//tnaA//
DhaR_neg	
DhaR_pos	deoD//
DicA_neg	
DinJ-YafQ_neg	ogt//
DnaA-ATP_neg	puuB//trpB//pspE//paaJ//cynS//
DnaA-ATP_pos	cynS//gcvP//hycC//
DpiA-Pasp_neg	
DpiA-Pasp_pos	malQ//sucA//nfsA//dmsB//paaA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	udp//lpxC//
EbgR_neg	
EnvR_neg	nfsA//dinB//
EnvY_pos	paaE//fabB//
EvgA-Phosphorylated_pos	prs//dkgB//caiC//gntK//dkgB//fucO//
