# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	fabI//dsdA//
Ada_neg	pgi//narI//
Ada_pos	astD//gutQ//caiA//paaA//
AdiY_pos	fabI//fadB//argG//rtcA//
AgaR_neg	glpD//
AidB_neg	rfe//
AlaS-L-alanine_neg	nanE//
AllR-allantoin_neg	trpE//ycjG//leuB//nrdE//araA//lpxD//
AllS-allantoin_pos	argC//ychF//waaY//
AlsR_neg	napH//hycE//astC//
AppY_pos	pdeH//fadM//
AraC-arabinose_neg	recF//pgaC//ldtC//cysH//feaB//
AraC-arabinose_pos	eda//nanM//dmsC//hycE//xapA//dgkA//
AraC_neg	trpD//mngB//accD//
AraC_pos	nagA//pgaC//nrfC//
ArgP-arginine_neg	
ArgP-arginine_pos	metA//
ArgP_pos	dhaK//ychF//lpxD//nemA//recF//sdhC//napH//rutE//
ArgR-L-arginine_neg	astA//frdA//fabH//rutD//cynT//yedX//glgP//frdB//cueO//purC//gadA//glpA//ulaF//sdhC//gabD//yedX//yeaG//umuC//
ArgR-L-arginine_pos	gcvH//murE//astA//ubiX//rfe//
ArsR_neg	alaC//gudD//
AscG_neg	treC//metK//
AsnC_neg	puuD//
AsnC_pos	pdeL//
AtoC-Phosphorylated_pos	sucB//dhaL//dhaK//
BCCP_neg	purM//
BaeR-Phosphorylated_pos	paaY//lsrG//
BasR-Phosphorylated_neg	umuD//
BasR-Phosphorylated_pos	thrS//lysA//
BetI_neg	glgA//murC//nrfC//
BirA-biotinyl-5-adenylate_neg	allD//narI//narH//torC//bacA//
BluR_neg	
BolA_neg	metC//rutD//
BolA_pos	rffT//astE//
BtsR-Phosphorylated_pos	treC//
CadC_pos	glcB//paaC//malQ//
CaiF-L-carnitine_pos	yiaK//leuC//gudD//ugpQ//ugpQ//
Cbl_pos	citG//argD//fbaA//tyrB//argE//
