# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	glcE//amn//
Ada_neg	hcaB//pncB//
Ada_pos	uxuB//napA//trpA//glpC//
AdiY_pos	yqhD//mltF//allB//astB//
AgaR_neg	aceE//
AidB_neg	metK//
AlaS-L-alanine_neg	wecC//
AllR-allantoin_neg	speG//rutA//ldtD//bioC//putA//lpxD//
AllS-allantoin_pos	nagB//uxaA//idnO//
AlsR_neg	pgpC//hypB//fucU//
AppY_pos	waaY//mhpB//
AraC-arabinose_neg	ubiC//lpxD//metK//moeB//phnG//
AraC-arabinose_pos	mtlD//yqhD//ung//lldD//ldtC//ubiA//
AraC_neg	gapA//tauD//appA//
AraC_pos	allA//nrdF//idnD//
ArgP-arginine_neg	
ArgP-arginine_pos	bioF//
ArgP_pos	phnI//katE//hyaC//mhpB//fbaB//cynT//betB//aceE//
ArgR-L-arginine_neg	pncB//lldD//purA//acnA//caiA//putA//purB//murQ//hcaB//nrdE//garD//idnO//sodA//paaF//mdh//nrdA//deoA//gcvP//
ArgR-L-arginine_pos	wecE//cueO//hycF//pdeH//puuD//
ArsR_neg	glcD//pgaD//
AscG_neg	gloA//ulaE//
AsnC_neg	patA//
AsnC_pos	pnp//
AtoC-Phosphorylated_pos	asnB//gudD//nrdB//
BCCP_neg	cysH//
BaeR-Phosphorylated_pos	cysJ//glnA//
BasR-Phosphorylated_neg	patD//
BasR-Phosphorylated_pos	uxuB//glpX//
BetI_neg	narG//pgk//ftsI//
BirA-biotinyl-5-adenylate_neg	mraY//ahpC//fadJ//mtlD//rffM//
BluR_neg	
BolA_neg	puuE//dacC//
BolA_pos	cadA//gudD//
BtsR-Phosphorylated_pos	paaK//
CadC_pos	prpE//pgpC//pgm//
CaiF-L-carnitine_pos	ubiA//pgaD//rffH//nrfA//garK//
Cbl_pos	trpD//mhpB//gadB//leuC//cysE//
CdaR_pos	xapA//ttdA//nanK//fbaB//fbaB//rutE//rffG//dacC//dhaL//
CecR_neg	paaF//
ChbR-N-monoacetylchitobiose6-phosphate_neg	nrfD//hcaF//allD//
ChbR-N-monoacetylchitobiose6-phosphate_pos	mhpA//ampC//phnG//
ChbR_neg	sbcC//malZ//aceB//
ChbR_pos	rutB//fadM//murF//
ComR_neg	
CpxR-Phosphorylated_neg	argD//kbaZ//fadJ//
CpxR-Phosphorylated_pos	gpmA//aroG//ubiC//ynfE//argF//bglB//mpaA//waaH//ahpC//gadA//astC//allA//dhaM//astA//glxR//narI//alsE//wecB//
Cra_neg	metF//napA//malS//adhE//gatZ//metH//aceE//purD//tktB//pdeH//fadE//yfdE//phnI//hcaB//glsA//acnB//glgA//glgC//glmU//mpl//glcD//chbG//purD//rfe//purC//garR//fabZ//paaB//galK//nirB//ilvC//leuA//dkgB//dmsA//uvrA//alaS//dacC//ybjG//ynfF//ogt//glxK//puuB//eda//fes//rutD//
Cra_pos	lhgO//fruK//rbsK//entA//folE//feaB//frdD//trpA//speG//glgX//mhpA//rffC//frdD//atoA//fumB//lsrF//dacC//
CreB-Phosphorylated_neg	glyA//
CreB-Phosphorylated_pos	hcaF//
CsgD_neg	glgC//paaH//
CsgD_pos	bioC//mhpD//chbF//
CsiR_neg	mdh//dgcZ//leuA//gutQ//
CspA_pos	sufS//
CueR-Cu_neg	luxS//patA//puuC//
CueR-Cu_pos	waaH//metC//
CusR-Pasp_pos	phnH//ruvA//slt//pfkA//
CynR-cyanate_pos	mtlD//gatZ//ftnA//
CynR_neg	
CysB-O-acetyl-L-serine_neg	yedX//putA//dmsC//
CysB-O-acetyl-L-serine_pos	fucI//dapB//cynS//nanA//aroL//phnO//rtcA//thrS//carB//nagB//arsC//gntK//
CysB_neg	
CysB_pos	alaS//citE//
CytR_neg	gutQ//metF//caiD//metH//aceF//uvrA//aspA//moaC//nrfA//tdcE//
Dan-L-tartrate_pos	acnB//purB//
DcuR-Phosphorylated_pos	napG//prpB//pheS//argB//
DeoR_neg	hmp//hyaB//ygeA//rpiB//sgbH//phoA//
DhaR_neg	
DhaR_pos	garD//
DicA_neg	
DinJ-YafQ_neg	yeaE//
DnaA-ATP_neg	uvrC//wecB//entD//dapB//treC//
DnaA-ATP_pos	mdh//truB//udp//
DpiA-Pasp_neg	
DpiA-Pasp_pos	ahpF//mpaA//aceE//patA//fadE//
DsdC-D-serine_neg	
DsdC-D-serine_pos	nagA//allA//
EbgR_neg	
EnvR_neg	hycD//ruvA//
EnvY_pos	mnmG//alkB//
EvgA-Phosphorylated_pos	purC//truB//tynA//araA//torC//thrS//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	sgbH//frdA//dsdA//torC//accA//fadJ//
FabR_neg	cysD//folE//prs//
FadR-acyl-CoA_pos	
FadR_neg	sufS//recD//malQ//mdh//aroL//ssuE//accD//aroH//gcvH//
FadR_pos	cueO//poxB//mnmG//srkA//ppiA//trpB//icd//idnO//glpX//rhaD//
FeaR_pos	fadB//dgkA//
FhlA-formate_pos	arsC//lysA//nrdD//aroL//tehB//zwf//argI//glmU//
FlhDC_neg	sdhD//sbcC//
FlhDC_pos	pspE//glpB//rutC//citD//hypB//galM//metK//fadI//ydcS//epd//ybjG//pfkA//
FliZ_neg	caiB//patD//cysM//moaA//napH//
