# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	katE//cysH//
Ada_neg	phnG//poxB//
Ada_pos	paaY//trpE//polA//gatZ//
AdiY_pos	ldtD//mngB//pdeL//cueO//
AgaR_neg	lpxD//
AidB_neg	alkA//
AlaS-L-alanine_neg	hcaE//
AllR-allantoin_neg	sbcD//lsrF//sbcD//ftnA//nfsB//glnA//
AllS-allantoin_pos	relA//tadA//umpH//
AlsR_neg	rffC//carA//allE//
AppY_pos	wzb//adhE//
AraC-arabinose_neg	mtlD//recB//ada//mngB//carB//
AraC-arabinose_pos	argB//dgkA//kbaY//paaZ//tadA//sdhC//
AraC_neg	sdhA//uvrC//leuC//
AraC_pos	gnd//fruK//astA//
ArgP-arginine_neg	
ArgP-arginine_pos	aceB//
ArgP_pos	fucK//narH//acnB//ubiX//torC//garK//patD//frdD//
ArgR-L-arginine_neg	gpmM//torA//nfsA//pgpC//gdhA//pck//gltD//srkA//betA//nirB//nagA//frdA//astB//ybjG//phnP//purF//rnpB//aceB//
ArgR-L-arginine_pos	fadJ//astC//argA//glpD//mazG//
ArsR_neg	pgaD//glpC//
AscG_neg	hemH//lyxK//
AsnC_neg	ppiA//
AsnC_pos	prpE//
AtoC-Phosphorylated_pos	recB//mngB//prpB//
BCCP_neg	purD//
BaeR-Phosphorylated_pos	torA//psd//
BasR-Phosphorylated_neg	astE//
BasR-Phosphorylated_pos	fumB//gutQ//
BetI_neg	fucU//pheS//hyaB//
BirA-biotinyl-5-adenylate_neg	puuC//ulaF//argG//rutA//moeB//
BluR_neg	
BolA_neg	nrdA//moaC//
BolA_pos	cueO//cysE//
BtsR-Phosphorylated_pos	lpd//
CadC_pos	ogt//purE//hyaA//
CaiF-L-carnitine_pos	entE//citG//rhaB//murE//pgaB//
Cbl_pos	gutQ//uxaC//glpK//hycG//ydcS//
CdaR_pos	rfe//cysE//fabZ//gcl//caiD//paaC//lpd//paaZ//hemL//
CecR_neg	pspE//
ChbR-N-monoacetylchitobiose6-phosphate_neg	nanE//mdh//rpiB//
ChbR-N-monoacetylchitobiose6-phosphate_pos	ssuE//glgB//murG//
ChbR_neg	wzc//argH//mraY//
ChbR_pos	oxc//speG//hyaC//
ComR_neg	
CpxR-Phosphorylated_neg	nanA//fadJ//hycB//
CpxR-Phosphorylated_pos	mltF//leuD//patA//sdhA//entF//wecC//atoA//mhpB//allD//aldA//asnB//fruK//ftnA//trpC//hypB//gcvP//cynS//mdh//
Cra_neg	sgbE//wrbA//lpxA//aroL//tpiA//pfkA//iscS//citF//hypF//astD//atoA//wecE//murI//glcB//iscS//moeB//bioC//lysA//ruvA//hycF//pgm//deoD//folE//gabD//accD//accD//codA//cyoE//purE//lyxK//phnM//citD//alkB//rffG//nirB//entF//purL//ftsI//uxaB//puuD//dgcC//argI//fau//uxuB//moaA//
Cra_pos	alaC//rutE//aroH//nrfD//allB//ahpC//citX//garD//phnJ//glk//guaB//bglB//dmsB//pgk//fucI//eno//fbaB//
CreB-Phosphorylated_neg	accA//
CreB-Phosphorylated_pos	dhaL//
CsgD_neg	pheS//ulaD//
CsgD_pos	aceB//trpC//glpK//
CsiR_neg	thrS//patD//pykF//dapD//
CspA_pos	caiD//
CueR-Cu_neg	idnD//ldtC//mpl//
CueR-Cu_pos	frdA//ybjG//
CusR-Pasp_pos	ppsA//sucA//hcaE//treC//
CynR-cyanate_pos	paaA//argE//puuD//
CynR_neg	
CysB-O-acetyl-L-serine_neg	tauD//paaE//pgaB//
CysB-O-acetyl-L-serine_pos	uxaC//ynfF//chbG//phnI//fucA//hcaE//hycE//rtcB//hycE//dapD//entH//acnA//
CysB_neg	
CysB_pos	leuC//gpmA//
CytR_neg	waaY//astA//pdeL//mnmG//murQ//ygeA//torC//ftnA//argD//sdhC//
Dan-L-tartrate_pos	hcaE//torC//
DcuR-Phosphorylated_pos	glxR//glpA//tdcD//glpD//
DeoR_neg	uxaB//prpD//napG//leuD//oxc//frdC//
DhaR_neg	
DhaR_pos	narG//
DicA_neg	
DinJ-YafQ_neg	hycD//
