# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ynfF//purN//
Ada_neg	allA//glcD//
Ada_pos	purL//puuE//fabI//betB//
AdiY_pos	chbF//paaJ//recF//bioA//
AgaR_neg	lhgO//
AidB_neg	ruvB//
AlaS-L-alanine_neg	ascB//
AllR-allantoin_neg	pnp//araD//nadB//lldD//caiD//ttdB//
AllS-allantoin_pos	aceE//putA//carA//
AlsR_neg	citX//accA//ssuD//
AppY_pos	citF//argE//
AraC-arabinose_neg	metK//sbcC//dkgB//leuA//fbaA//
AraC-arabinose_pos	ychF//chbF//aroF//speG//recB//dmsA//
AraC_neg	gpmA//cysM//argH//
AraC_pos	sdhA//gcvP//araD//
ArgP-arginine_neg	
ArgP-arginine_pos	hypB//
ArgP_pos	fucI//glsA//yeaG//argD//tynA//paaB//nanM//relA//
ArgR-L-arginine_neg	glgX//garD//sgbU//yedX//nadA//folE//paaH//ppiA//leuD//galK//astE//fadA//metL//edd//caiB//dkgA//guaB//lpxA//
ArgR-L-arginine_pos	nrfC//prs//leuC//aspA//ugpQ//
ArsR_neg	nirB//speA//
AscG_neg	wzc//cysK//
AsnC_neg	fucA//
AsnC_pos	recF//
AtoC-Phosphorylated_pos	gadA//fadA//polA//
BCCP_neg	rutD//
BaeR-Phosphorylated_pos	paaK//aroH//
BasR-Phosphorylated_neg	lldD//
BasR-Phosphorylated_pos	wzb//dgkA//
BetI_neg	ychF//mtlD//argB//
BirA-biotinyl-5-adenylate_neg	pspE//galM//pdeL//prpC//sbcD//
BluR_neg	
BolA_neg	uxaC//cynT//
BolA_pos	aceA//glpX//
BtsR-Phosphorylated_pos	pgaD//
CadC_pos	prpD//wrbA//dhaM//
CaiF-L-carnitine_pos	dgcC//mhpD//leuB//udp//sbcD//
Cbl_pos	srlD//oxc//pgi//garD//puuE//
CdaR_pos	paaK//sucA//rpiB//murD//puuD//edd//gcvH//nrdE//araD//
CecR_neg	purN//
ChbR-N-monoacetylchitobiose6-phosphate_neg	ynfG//astE//dkgA//
ChbR-N-monoacetylchitobiose6-phosphate_pos	gcvP//nanM//gcvP//
ChbR_neg	fadH//paaJ//fabZ//
ChbR_pos	pykF//fadH//relA//
ComR_neg	
CpxR-Phosphorylated_neg	caiD//alaS//accD//
CpxR-Phosphorylated_pos	relA//ppc//phnH//lacA//malS//rffT//murF//ulaE//kbaZ//fabA//yedX//pflB//gltD//bioA//murF//guaA//atoA//dsdA//
Cra_neg	ychF//ogt//hcaF//entA//malQ//cysJ//pgaC//hcaC//aceB//aroH//purE//glpD//citC//idnO//sodB//murF//dkgB//allA//purD//fes//accC//glpD//gloA//eno//trpA//puuC//malP//cysM//allA//purK//mazG//tdcB//metB//ulaD//murG//kbaZ//nrdA//fruK//moeA//paaI//yqhD//wzb//citG//fruK//pgaD//
Cra_pos	caiC//ddlB//cueO//tdcD//wecE//tadA//citF//rutC//mdh//glcE//gltB//hycD//ubiA//torA//idnO//asnA//dkgB//
CreB-Phosphorylated_neg	trpB//
