# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	mhpC//glpX//
Ada	entD//rffH//pgi//cyoE//
AdiY	uvrB//kbaZ//lpxA//entH//
AgaR	yiaK//
AidB	mhpB//
AlaS	edd//
AllR	glcF//ycjG//deoB//nadB//sgbH//paaK//
AllS	nadB//uxuA//rffT//
AlsR	paaI//aspA//malY//
AppY	glgP//paaB//
AraC	argA//rtcA//tyrA//fruK//murF//citD//araB//prpE//
ArgP	astC//hemH//deoB//glxR//torC//pspE//metL//citX//rutB//
ArgR	mhpB//rbsD//pdeR//ung//puuD//fbaB//caiB//murF//hyi//sdhA//idnO//tam//purE//purD//pgi//garL//umuD//purF//ynfF//glcD//pck//moeA//sdaA//
ArsR	alkB//accA//
AscG	waaZ//ulaE//
AsnC	aldA//deoC//
AtoC	fadM//hemH//allD//
BCCP	glgB//
BaeR	adhE//purE//
BasR	galE//malS//paaK//
BetI	ampC//pgpC//fabD//
BirA	trpC//gabT//amn//nrfC//alaA//
BluR	
BolA	frc//frdC//
BtsR	gcl//
CadC	purK//gloA//patD//
CaiF	purK//mraY//ldtB//napA//idnO//
Cbl	tynA//fadM//paaJ//gor//nanA//
CdaR	alsE//hyaA//hyi//dapB//mraY//dinB//nirD//tdcB//tpiA//
CecR	nrfC//
ChbR	aceB//cynS//glpC//
ComR	
CpxR	tyrB//purH//uvrC//sgbE//glyA//lldD//ubiC//alaC//glpD//murD//fabA//kbaZ//fadI//sufS//mdh//rimK//entD//srlD//rffG//narI//ppiA//
Cra	udp//speB//cynS//idnD//pflB//cysJ//ccp//ygeA//purK//purK//lhgO//aldA//lpxD//purK//caiA//ruvA//dmsC//cynS//phnI//talA//wecE//pgm//paaB//citC//paaI//murE//udp//slt//gabD//torC//ribA//prpE//fucI//gudD//glpK//tdcB//srkA//phnH//truB//phnJ//argD//pncB//lacA//trpC//pyrC//fes//hycC//torC//bioD//dkgA//ogt//rsmH//purD//murI//hcaB//ada//glgA//glcE//accD//
CreB	dkgB//pheT//
CsgD	fadD//rbsD//deoC//pgpC//ccp//
CsiR	uxaC//dmsC//astC//talA//
CspA	moaA//
CueR	nrfD//nrdD//pgm//tpiA//lhgO//
CusR	dsdA//nanE//hycD//umuC//
CynR	gor//cadA//moaA//
CysB	speB//malY//malZ//hyaC//hypF//murI//ppiA//hcaC//gutQ//acnB//entD//gntK//lpxD//ftnA//allE//citG//pgpC//
CytR	kbaZ//ynfH//alkB//napA//umpH//sbcC//rsmH//sbcD//kbaY//sgbH//
DcuR	relA//ybjG//pdeR//galK//
DeoR	acnA//metK//atoB//dgcZ//edd//hcaC//
DhaR	add//
DicA	
DinJ-YafQ	sdhA//
DnaA	glxK//astC//ahpC//gcvT//dadX//argI//
DpiA	ulaG//ilvE//fabB//ilvM//sdhD//
DsdC	glcF//mhpC//
EbgR	
EnvR	hemL//ilvD//
EnvY	aceE//ldtC//
EvgA	frdB//purF//allA//glpB//dgcC//aldA//
ExuR	tyrB//argF//acnB//lpxD//araB//sucB//
FabR	tktB//accA//araD//
FadR	nadB//uxaC//sucD//entF//deoA//purD//moeB//sucB//ldtD//nagA//paaA//lysA//glk//glpB//allC//pgaB//malP//fumC//ilvA//
FeaR	gabT//fadA//
FhlA	cysC//caiC//ilvH//uxaB//aspC//prpC//fucO//betB//
FlhDC	ldtD//sdhA//folE//sgbH//paaJ//mraY//speA//malQ//pgaD//ilvI//pgk//argE//hycG//nrfD//
FliZ	gutQ//speA//rffG//uvrA//gcl//
FucR	nfsA//hycD//hypB//yedX//aroG//rimK//
