# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	srkA//pyrD//
Ada	nirB//betB//entH//bglB//
AdiY	appA//atoD//ldtB//betB//
AgaR	ampC//
AidB	glpQ//
AlaS	xylA//
AllR	argD//dgcN//dsdA//betB//phnI//hyi//
AllS	nirD//yqhD//puuA//
AlsR	gltD//atoD//allB//
AppY	narI//ddlB//
AraC	narH//tpiA//fadB//prpD//amn//purM//astB//uxaA//
ArgP	adiA//narH//purC//waaY//murG//fadA//mhpD//pgaC//argG//
ArgR	purM//moaC//entD//rhaA//murI//phnH//pgaB//lysU//lysC//sgbH//cysK//ilvM//yqhD//guaA//gapA//allC//uxuB//hmp//tnaA//napA//trpC//atoA//nanM//
ArsR	phnM//tam//
AscG	xapA//argD//
AsnC	ldtD//mhpF//
AtoC	treC//aldA//gloA//
BCCP	alkB//
BaeR	pheT//nanM//
BasR	eno//fabG//nanE//
BetI	dmsB//eno//dhaK//
BirA	dkgB//grxA//nanK//fadA//puuC//
BluR	
BolA	murC//ldtD//
BtsR	murE//
CadC	lpd//nagA//wrbA//
CaiF	pspE//thrS//fabG//lysU//hypF//
Cbl	fabD//bacA//napB//hycC//wrbA//
CdaR	idnD//fes//malS//eno//prpD//puuB//hemL//eno//nrdF//
CecR	ydcS//
ChbR	purA//entF//rpiB//
ComR	
CpxR	recB//leuC//purA//glxR//ynfF//sodB//tktB//glgC//hcp//ahpF//tynA//uidA//astD//alsE//mltF//glgA//umuC//fucA//rbsK//sgbE//torA//
Cra	gatZ//sdhD//pgaD//umuC//pgi//hyaB//ccp//ndh//aceF//add//rsmH//ilvD//glmS//fumB//dmsB//alsE//aroH//fadH//citF//betB//leuD//leuB//nrdB//polA//rpiB//atoD//hcp//entA//dgcZ//dacC//mtlD//gcvT//yeaE//fabH//pgi//rutA//aceF//rffC//citF//glpK//ppiA//moaA//paaG//sucC//tyrB//fadD//purB//aroG//sdhB//tehB//prpB//cadA//metB//rsmH//nrdB//psd//nrdF//citF//ilvH//
CreB	puuC//metL//
CsgD	ycjG//lldD//betB//nirD//nemA//
CsiR	rffM//mhpB//hycF//wecC//
CspA	ilvC//
CueR	napB//ribA//fbaA//sgbE//murC//
CusR	murC//torC//sodB//deoB//
CynR	fes//puuB//bioB//
CysB	argH//cysI//recD//phnJ//metH//leuB//yeaG//entF//pagP//argH//phoA//paaE//gloA//wecE//galK//tdh//metE//
CytR	ldtD//rffG//garK//icd//leuD//argD//phr//aroA//moeA//tam//
DcuR	metH//aroL//folA//caiA//
DeoR	recF//fabZ//zwf//hyi//sdhB//luxS//
DhaR	dadA//
DicA	
DinJ-YafQ	citE//
DnaA	allE//fdhF//uvrA//pykF//prpD//nfsA//
DpiA	galE//entB//murI//ascB//patD//
DsdC	gapA//murC//
EbgR	
EnvR	argI//alaA//
EnvY	cysK//fruK//
EvgA	lysA//rhaB//fucO//leuA//tyrA//alaS//
ExuR	ubiX//glgP//metC//ynfG//trpD//idnD//
FabR	ychF//idnD//phnM//
FadR	allE//rimK//sucA//deoC//pepD//aceE//citE//umpH//alaC//prpD//prs//lpd//astA//deoB//ilvC//bioB//citX//idnK//argH//
FeaR	adiA//betB//
FhlA	gadA//uvrA//murQ//nanM//hycE//astA//pheT//rbsK//
FlhDC	astA//paaF//aspA//ahpC//caiB//fabG//nrdA//bioF//glcD//epd//dadA//nrdF//kbl//wzb//
FliZ	fes//ubiX//phnH//aceF//entA//
FucR	araB//ldtC//gor//fucA//nfsA//nagA//
Fur	amn//betA//treC//entB//umuD//uxuA//glgA//ahpC//lpxC//tdh//glmU//dgcN//bioD//guaA//ribA//relA//moeA//sgbE//nadA//bioF//rffT//pgi//paaG//narH//paaB//pgi//prpB//phnL//truB//trpB//umpH//rffG//sodB//recF//purB//aceE//fadJ//atoD//moeA//frdA//hycD//metE//cynT//oxc//trpA//pgpC//glgC//codA//galE//relA//ilvA//purD//astD//hcp//citD//uidA//nadA//moaD//fabD//chbF//malS//pgpC//
GadE	glyA//pgaD//sbcD//purF//napA//hemL//glcE//cynS//add//purN//
GadE-RcsB	deoA//sdhD//glgC//patA//tdcG//
GadW	entF//speA//cysC//gcvH//
