# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	uvrC//galM//
Ada	aceB//rffC//udp//moeA//
AdiY	adhE//mnmG//fdhF//uxaC//
AgaR	argE//
AidB	phnG//
AlaS	argA//
AllR	dkgA//sdhA//fbaB//udp//nfsA//mraY//
AllS	glcD//idnD//tdcE//
AlsR	ldtB//aroA//accA//
AppY	dhaL//gloA//
AraC	atoB//glmU//tyrA//aroF//nfsA//mpaA//rutB//ulaG//
ArgP	uvrB//amn//atoB//alsE//thrS//sgbU//aroH//nirB//lsrK//
ArgR	glsA//acnB//rutC//pnp//sufS//idnK//caiA//feaB//malY//gutQ//fucA//sdhC//fbaA//allC//uxaB//lpxD//recD//garK//argG//phnP//tadA//phnO//guaA//
ArsR	lpxA//glgA//
AscG	ampC//idnO//
AsnC	glpC//treC//
AtoC	paaE//adhE//tauD//
BCCP	entC//
BaeR	wrbA//tauD//
BasR	accA//fucA//fadJ//
BetI	napH//fadH//paaA//
BirA	dgcC//entH//ung//arsC//rtcB//
BluR	
BolA	uidA//frdC//
BtsR	alsE//
CadC	gadA//gatD//sodB//
CaiF	murI//deoC//lysC//cysM//hemH//
Cbl	hycC//waaZ//betA//garL//relA//
CdaR	cynS//murF//mhpD//ssuE//argF//sucA//alaS//polB//purD//
CecR	rhaD//
ChbR	fadB//phnL//alkA//
ComR	
CpxR	tam//glcF//tyrA//waaH//paaJ//alkB//edd//metE//citF//katG//cdd//ldtD//hcaC//katE//araA//prs//fadA//metL//hcaF//alkB//fadB//
Cra	pagP//ssuE//truB//recD//argG//gltB//sgbU//dhaL//caiA//dapB//fabZ//uvrC//allB//ilvC//astC//dhaK//lpd//fucI//waaH//truB//citD//chbG//malS//murQ//alaA//frdA//atoD//aspC//mraY//cysJ//cynT//alaC//fucK//ndh//frdB//ssuD//fau//allB//dgcZ//ulaD//fabI//astA//paaE//aspC//fabH//pgaD//glcE//frdD//wzb//ssuD//katE//bioC//aldA//paaC//poxB//lysA//ulaE//glnA//pgpC//
CreB	dhaK//pheT//
CsgD	nrdE//cyoE//kbaZ//bioA//deoA//
CsiR	purE//cysC//moeB//speA//
CspA	mhpE//
CueR	kbl//sdhD//melA//wecE//speA//
CusR	rffM//fabA//ynfF//metH//
CynR	deoC//ygeA//gcvT//
CysB	entC//metE//ogt//yfdE//glxR//gltB//aceE//tdcG//nanA//lldD//fbaA//psd//paaY//avtA//idnO//tam//bioF//
CytR	moaA//caiA//glcB//phnI//ubiC//metA//cysG//aldA//purE//recF//
DcuR	dadX//hycG//trpC//caiC//
DeoR	gabT//uxuA//lpxD//tktB//citX//yeaG//
DhaR	ychF//
DicA	
DinJ-YafQ	tdcD//
DnaA	metA//mnmG//rutE//ilvM//pflB//waaH//
DpiA	wecC//mpaA//tdcD//fdhF//gabD//
DsdC	rhaD//tehB//
EbgR	
EnvR	uxuB//ogt//
EnvY	serC//caiA//
EvgA	mhpF//acnB//glpK//cadA//napA//uxaC//
ExuR	rbsD//aroA//katE//lldD//dgcZ//tynA//
FabR	purC//mltF//argC//
FadR	chbG//kbaZ//tnaA//phnN//frdD//fadM//sucA//leuD//wecC//murD//hcaC//glsA//lhgO//fabH//deoD//tauD//pgi//gcvP//xylB//
FeaR	fabA//ldtB//
FhlA	gatD//adiA//nagB//trpE//uidA//glpD//paaH//alkB//
FlhDC	fbaB//ulaE//carA//ssuD//gcl//cysM//hycE//leuD//ccp//cysG//aroH//murD//lsrK//gatY//
FliZ	hmp//rhaB//dsdA//napB//rtcB//
FucR	ychF//umuC//pgpC//ftnA//leuD//rhaD//
Fur	sufS//glgA//ung//rhaB//paaJ//uxaA//glk//tktB//avtA//hcaC//cysI//fumB//murF//atoA//folE//pgi//malZ//purD//prpE//psd//glsA//betA//umpH//sdhA//fabZ//glcE//fucA//nanK//atoD//tdcE//purA//nrfD//hemL//rhaD//astC//deoB//mnmG//rutC//relA//garL//trpE//pfkA//phoA//cysM//paaB//paaC//nadB//nrfC//mpl//luxS//cysH//ldtB//glgX//wecB//idnD//phnJ//paaK//dhaM//nrdF//pdeL//aceF//pgaB//
GadE	ttdA//gatY//cysE//betA//caiC//hypB//puuC//argG//dmsC//cynS//
GadE-RcsB	wzb//trpA//kbl//mhpE//fruK//
GadW	dkgA//cadA//epd//recF//
GadX	leuB//folE//rffH//entD//uidA//idnD//mhpA//pdeH//phnG//gabT//lsrG//glxK//deoC//
GalR	dinB//astC//wrbA//pgm//arsC//gatZ//
GalS	tpiA//idnK//sgbU//purB//uxaA//rutC//
GatR	frdA//paaH//pgaB//
GcvA	citX//glmU//nrfC//
GlcC	rtcA//trpB//oxc//
GlpR	ilvE//fucI//purA//metE//gabT//pdeH//fucA//
GlrR	
GntR	nemA//yqhD//puuC//hcaC//fbaB//nadA//murQ//phnG//galE//
GutM	ynfG//napA//grxA//
HU	paaB//narI//hcaB//accA//aldA//glpB//pagP//
HcaR	talA//recF//
HdfR	
HigA	aceA//
HigB-HigA	pflB//
HipAB	tynA//yiaK//
HipB	murG//pgaB//uvrA//
HprR	aceF//ilvD//hycC//folA//
HyfR	yqjH//
HypT	argI//astA//rnpB//idnK//waaZ//hycD//metC//
IclR	ynfE//folE//glpC//
IdnR	idnK//argA//talA//pykF//umuD//trpD//
IlvY	frdD//
IscR	glk//epd//nrdF//gadA//pdeR//epd//umpH//ulaD//
KdgR	aroA//gcvH//
KdpE	astD//
LacI	lyxK//dapD//pgaB//
LeuO	moeA//argB//tauD//ugpQ//pheS//putA//
