# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	ruvA//gcvP//
Ada	glmS//hyaB//pspE//allC//
AdiY	talA//pgaD//caiA//fumC//
AgaR	cueO//
AidB	entE//
AlaS	sgbH//
AllR	hyaC//dsdA//purM//nanM//aceB//bioF//
AllS	patD//bioC//umpH//
AlsR	rnpB//gudD//dkgB//
AppY	fbaB//ftsI//
AraC	mngB//citG//torA//aroA//bioA//ubiA//nrfA//glpX//
ArgP	rutD//aceF//argF//rhaD//pheT//cynS//araA//fabA//trpC//
ArgR	galK//cysM//pyrC//nfsB//lysC//serA//yeaE//pspE//yiaK//pagP//nadA//paaI//moaC//fucO//betB//caiD//uidA//ugpQ//epd//rutC//ugpQ//xapA//argE//
ArsR	pgk//dadX//
AscG	murQ//carB//
AsnC	aroG//pagP//
AtoC	talA//prs//ahpF//
BCCP	atoD//
BaeR	hycF//allD//
BasR	gabD//cueO//uxaB//
BetI	ahpF//pyrC//ldtB//
BirA	purM//purK//argG//glcD//nrdD//
BluR	
BolA	hcaE//napB//
BtsR	glpK//
CadC	nrdE//sucC//moaC//
CaiF	mltF//argA//phnM//metB//tktB//
Cbl	dadA//melA//ynfF//ppiA//mnmG//
CdaR	rffM//argE//melA//sodA//garR//gloA//allD//allE//ahpC//
CecR	gpmM//
ChbR	paaE//frdD//lysU//
ComR	
CpxR	ubiA//dmsA//fadA//dgkA//puuD//narG//cysM//argH//rffH//torA//rfe//mtlD//yiaK//nrdE//moaC//fumC//wrbA//fau//araA//ttdA//alkA//
Cra	icd//speA//argA//puuA//sgbH//sdaA//garR//ada//chbF//hypF//glsA//entF//gatY//fdhF//tdcG//galK//purK//nanA//fabB//acnB//alsE//wzc//entE//pheT//murD//paaY//guaB//torC//purD//ynfF//eda//lpxD//phr//fumC//amn//glxK//xylA//amn//trpB//dgkA//lpxC//malZ//gpmM//narG//pgaD//rsmH//tauD//metK//garL//purD//ttdB//deoB//katE//metE//garR//ynfE//dgcC//paaA//paaE//
CreB	araA//ogt//
CsgD	gcl//feaB//mngB//ulaE//aceF//
CsiR	fucO//rffC//fabI//accC//
CspA	yedX//
CueR	moeA//leuB//appA//argA//accA//
CusR	puuB//ttdB//dadX//acnB//
CynR	ahpF//tyrA//fabA//
