# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	ppiA//argE//
Ada	lsrF//gcvH//oxc//fumC//
AdiY	cueO//pagP//rffG//dhaL//
AgaR	prpD//
AidB	aroG//
AlaS	phoA//
AllR	paaZ//cyoE//pgaC//patD//hypB//lsrK//
AllS	rutB//astE//argD//
AlsR	tyrA//uvrB//alkB//
AppY	narI//gcvT//
AraC	ydcS//polB//gcvP//napG//glgA//purB//mhpF//allA//
ArgP	hycG//kbl//dgcC//tyrA//gcl//gor//hcaB//pepD//frdD//
ArgR	alkA//rnpB//treC//gltD//lsrG//napG//mhpA//pck//nrdF//speB//waaH//guaA//paaE//ubiX//ilvG_1//bglB//gcvT//tadA//narI//lsrF//ygeA//deoD//sbcC//
ArsR	sbcC//rffM//
AscG	moeB//frc//
AsnC	gdhA//sdhA//
AtoC	gltB//tdcD//folE//
BCCP	hypF//
BaeR	fes//yfdE//
BasR	umpH//phnG//pykF//
BetI	hcaF//murG//nrdE//
BirA	uxaC//rutA//phnI//lpxC//malS//
BluR	
BolA	uxaA//rffT//
BtsR	ldtC//
CadC	glmS//nadA//mpaA//
CaiF	fadB//glmU//mazG//ulaG//rutB//
Cbl	cysK//dinB//citC//gadA//bioD//
CdaR	eda//glpC//citE//cysK//aldA//garK//ubiC//polA//glgA//
CecR	argD//
ChbR	atoD//rffT//gpmA//
ComR	
CpxR	wzc//puuA//mltF//purF//argB//frdA//sodB//rhaA//glpA//glmS//ascB//argG//ampC//ugpQ//ydcS//lpd//argD//bacA//glgA//uxaB//galM//
Cra	ampC//dkgA//fabB//aceA//torC//lpxA//alaA//fadH//rhaD//bioD//fumB//pyrD//garL//pepD//lsrF//metL//nrdB//bioF//ldtD//citC//hcaB//yfdE//fabB//napB//metB//fabG//sdhB//argG//glsA//rnpB//prpB//mdh//katE//patD//phnI//narH//gutQ//atoB//cysE//purM//narI//araA//sdaA//bioF//cadA//gatY//melA//ldtC//aceE//paaJ//murD//lpxD//allA//trpD//gpmM//wrbA//prs//hypB//truB//
CreB	pgaD//pgpC//
CsgD	purE//sodB//rpiB//umpH//rpiB//
CsiR	hemL//prpB//glxR//glxK//
CspA	dgcZ//
CueR	puuA//tehB//glnA//prpC//cysD//
CusR	metL//aceA//recF//ulaE//
CynR	mhpE//ilvE//glcD//
CysB	edd//aspC//phnI//wecE//astA//carA//nadB//gapA//purE//pfkA//hyi//pnp//bioF//trpB//nadA//sbcD//add//
CytR	caiB//ulaE//dapD//fucU//ilvG_1//nfsA//ilvC//dgcN//allA//alaA//
DcuR	xylB//ilvD//fadH//sdhB//
DeoR	hypF//fau//puuD//aceA//rtcB//acnA//
DhaR	dhaM//
DicA	
DinJ-YafQ	araB//
DnaA	hyaB//mhpF//cysG//astB//cdd//phnM//
DpiA	slt//pepD//aspA//lldD//uidA//
DsdC	fau//dkgB//
EbgR	
EnvR	yfdE//iscS//
EnvY	wzb//argA//
EvgA	sgbH//yfdE//prpC//argC//bioB//dhaK//
ExuR	eno//paaG//citF//mhpB//hycF//ilvH//
FabR	aceB//leuA//bioA//
FadR	glmS//nfsB//ugpQ//lpxC//pdeR//fes//nagB//pgaC//uvrB//mdh//nirD//ccp//narH//dgkA//hycC//alsE//rutC//ynfF//alaS//
FeaR	glmS//cyoE//
FhlA	hyaA//ilvD//mhpE//galM//ynfH//paaK//mdh//ampC//
FlhDC	hyaC//accC//rbsK//zwf//fau//lhgO//garL//dgkA//metB//metH//cysI//gcl//sdhC//phnH//
FliZ	ygeA//paaG//cyoE//pheT//trpC//
FucR	murQ//hemH//serA//chbG//ilvM//aspC//
Fur	astD//astA//cynS//malS//nanK//ribA//tdh//sodB//uxuA//mpl//nrdB//tdh//asnA//purB//hmp//dhaM//paaA//lyxK//leuC//asnA//hyi//caiA//pgaB//adhE//lsrG//pdeL//ilvG_1//fadM//ftsI//hycF//cysG//bglB//alkA//dgcN//yeaE//truB//tehB//lpd//paaY//dkgB//ftsI//metC//uidA//yiaK//moeA//codA//aspA//fumC//yeaG//hmp//deoB//paaG//cysG//argC//deoD//hyi//glpC//prpB//fruK//grxA//yfdE//fabI//
GadE	grxA//truB//pepD//uxuA//garD//glgA//alkA//pyrD//puuD//allE//
GadE-RcsB	grxA//ruvA//hyaC//ydcS//fadJ//
GadW	ulaG//dapB//sdhD//idnK//
GadX	kbl//waaZ//fucU//glcD//sodB//deoB//nrdA//guaB//sgbU//tdh//lpxA//sodA//aspA//
GalR	alaC//paaZ//astB//glgP//ttdA//argC//
GalS	rimK//ribA//puuD//aceE//prpD//glpA//
GatR	ychF//rfe//fabA//
GcvA	pheS//moaE//torC//
GlcC	hyaA//nrfD//bioA//
GlpR	rtcA//gutQ//astB//lpxC//pck//purH//dacC//
GlrR	
GntR	sbcC//sgbU//malS//dkgB//leuB//gatD//mltF//bglB//mpaA//
GutM	cysN//eno//murI//
HU	puuC//nfsA//narI//kbaY//puuB//fadJ//aceA//
HcaR	ynfH//allE//
HdfR	
HigA	entE//
HigB-HigA	waaZ//
HipAB	metB//glnA//
HipB	gapA//sgbU//fabB//
HprR	torC//sucC//betB//phnO//
HyfR	citF//
HypT	prs//sgbH//fabG//aroG//uxuB//cysD//amn//
IclR	serA//betA//fadH//
IdnR	ahpF//entA//mhpC//xapA//rutB//hmp//
IlvY	paaK//
IscR	putA//hyaC//chbF//talA//speB//aroA//metK//sgbU//
KdgR	tdcB//malY//
KdpE	rimK//
LacI	dgcZ//ubiA//pck//
LeuO	ynfE//napH//galK//yiaK//gadB//ulaF//
LexA	aspA//ttdB//rhaD//glxK//pnp//ygeA//citG//glpA//ruvB//bioB//ftnA//allA//moaD//mtlD//sdhA//idnO//mpl//gatD//argC//asnA//dadX//udp//xylB//
LldR	polA//adiA//
LrhA	
