# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	bioD//puuE//
Ada	murF//paaJ//aspA//argC//
AdiY	glpA//dgcC//purF//metF//
AgaR	pfkA//
AidB	hcaC//
AlaS	relA//
AllR	eno//ppsA//relA//nirB//ruvB//phnN//
AraC	rimK//alkB//astD//hycG//glcF//galT//
ArgP	mhpE//fabB//mdh//lysC//fumB//frc//hyaB//argE//aceE//
ArgR	paaJ//astE//fadJ//deoB//purD//paaH//cysK//fumC//fabA//galT//alkA//gltD//ttdA//ftnA//hypB//phnI//argG//phnN//nrdA//phnI//pyrC//glpQ//trpD//
ArsR	purD//relA//
AscG	tyrB//aroH//
AtoC	hcaC//caiD//fabI//
BaeR	uxuB//entC//
BasR	aceF//paaG//ssuD//
BirA	argI//ssuE//entF//uvrB//ddlB//
BluR	
BtsR	ppsA//
CadC	paaY//glcD//rutE//
CaiF	accA//argE//purD//icd//dkgA//
Cbl	alkB//aroH//aroF//argG//argG//
CecR	ulaG//
ChbR	puuE//ycjG//oxc//
ComR	
CpxR	udp//galE//lpd//sufS//argA//glxR//moaD//phoA//ssuD//patD//fabB//allB//fadJ//ilvC//aceE//
Cra	hyaB//atoA//hycF//bioA//nrdA//paaE//rnpB//pgaB//phnG//trpD//accA//malP//murG//uxuB//citX//trpB//mhpC//bglB//gltB//phnJ//napH//epd//araD//trpD//tdcB//argC//
CreB	
CsgD	xylB//gdhA//ulaD//citG//
CspA	
CueR	phnM//ppiA//
CusR	aceE//nrdA//
CynR	nanE//accA//glnA//
CysB	ttdB//fabB//ogt//uxuA//deoB//nanE//uxuB//frdA//hycB//
CytR	ulaE//chbG//fabH//ruvB//puuD//fabB//hcaE//araD//pgaC//
DcuR	trpE//uxuB//ada//hcaF//
DeoR	yfdE//adhE//mraY//moaA//
DicA	
DinJ-YafQ	lldD//
DnaA	aceE//recB//tnaA//fumC//rimK//entD//
DpiA	yedX//alkB//aldA//lpxC//garR//
EnvR	narG//ynfF//
EvgA	ynfG//ssuD//murQ//hcaF//entC//
ExuR	
FabR	rutE//hyaA//waaZ//
FadR	metF//phnP//entA//lysA//patD//hycB//katG//ugpQ//sufS//ilvC//ndh//entD//lacA//paaH//murF//
FeaR	pdeR//rhaD//
FhlA	entA//yqjH//yqhD//paaH//astC//hcaB//accD//
FlhDC	grxA//bioB//
FliZ	paaC//metF//hypF//mhpA//ydcS//
Fur	citG//atoA//moaE//aspA//araA//rhaB//ruvB//narH//hcp//gltB//murE//murI//ttdA//carB//polA//recD//hyaC//frc//glyA//garL//lpxC//argC//nirD//allB//ynfH//mraY//puuC//fadJ//mpaA//argC//dmsC//
GadE	ogt//glcD//mhpE//
GadE-RcsB	kbaY//recB//paaI//wzc//fbaA//
GadW	galE//purB//nanA//
GadX	narH//ung//moaC//nanE//galE//
GalR	cysG//tauD//napA//uxuB//umpH//
GalS	chbF//napH//paaH//nagA//frdD//
GcvA	paaG//tynA//ulaF//
GlcC	pflB//hcaF//glpQ//
GlpR	hcaC//citG//puuC//alaC//gcl//deoC//chbG//
GlrR	
GntR	pgaD//argD//nrdA//cadA//ychF//
HU	gdhA//rutC//gltD//poxB//
HcaR	phnN//accC//
HdfR	
HigA	nrdE//
HigB-HigA	oxc//
HipAB	ppsA//glpQ//
HipB	citF//hcaD//mdh//
HprR	ygeA//paaK//
HypT	pnp//carA//
IclR	murG//ftnA//entH//
IlvY	glxK//
IscR	uvrB//fumC//yfdE//paaF//glpB//araA//guaA//
KdgR	ppiA//
KdpE	mhpF//
LacI	polA//ulaG//hycG//
LeuO	bglB//ulaG//astC//
LexA	ynfG//paaK//glnA//nrfD//patD//aspA//pgk//chbF//alaS//
LldR	glyA//caiC//
LrhA	
LsrR	lsrF//cysM//caiC//ribA//ulaD//
MalI	frdA//recB//
MalT	xylB//pyrC//ulaF//mhpC//
MarA	mraY//pgk//phnP//glyA//allA//aldA//feaB//truB//moaD//paaB//dmsB//astC//
MarR	
MatA	recF//
MazE	glmU//
MazE-MazF	ulaE//
McbR	
MelR	galE//torC//
MetJ	fbaA//purA//aroG//trpA//cynT//
MetR	metC//tdcD//tdcB//
MhpR	pgaB//udp//ada//putA//ascB//wrbA//
Mlc	citF//glpD//malY//
MlrA	hycE//
MngR	hyi//cdd//
MntR	rutD//
ModE	glmU//fadE//glpX//mhpA//mazG//paaK//cynT//fdhF//phnJ//glcD//hcaC//argB//ttdB//nanK//fes//
MprA	lpd//
MqsA	alkB//sodA//
MraZ	lsrG//frc//hemL//fabH//allB//napH//nrfC//cysG//paaK//pdeR//
MurR	argB//astD//umuC//
Nac	frdB//bioD//glcB//adhE//
NadR	nfsA//
NagC	rutB//lysA//umpH//astC//cysG//cynT//ynfF//ycjG//citE//ulaF//ccp//ftsI//hycG//dapD//
NanR	galE//citG//adhE//deoD//hycD//epd//
NarL	tyrA//nfsB//tdcD//dgcC//ydcS//waaZ//nrfC//grxA//malP//astE//hcaB//cynT//nrfA//tnaA//fabH//allB//rutC//cynT//glcB//srkA//gcl//bioD//phoA//eno//
NarP	tdcB//astC//pdeR//rutE//hyaA//glcF//codA//deoB//mpaA//
NemR	argE//rimK//
NhaR	paaC//gcvP//mdh//lpxC//paaG//
NikR	cueO//
NimR	nirD//
NorR	ribA//
NrdR	fumC//gadA//paaZ//nadB//
NsrR	gapA//poxB//nanM//malP//ynfF//nrdB//
NtrC	aroF//accA//fumC//tnaA//napG//folA//napH//treC//
OmpR	glpC//tyrB//yedX//dgcZ//metE//narH//alkA//glcB//
OxyR	rhaB//ccp//cysK//allA//argI//tdcD//astD//poxB//wzc//ada//paaE//cynS//phnM//
PaaX	glmU//nrfA//ygeA//paaI//entF//sbcC//paaJ//pgaB//garL//
PdeL	entE//
PdhR	nanK//ldtC//phnN//lacZ//moaE//ygeA//hemL//aceB//atoA//mpaA//fadH//pgaB//ccp//atoA//nadB//glpX//waaY//nanA//nrdB//arsC//truB//aroL//
PepA	recF//srkA//
PgrR	folE//citX//
PhoB	feaB//add//lpd//codA//nemA//cysG//aceA//paaB//paaA//ttdB//hyi//bioF//alkA//garK//ahpC//
PhoP	caiC//rutB//rutD//
PspF	metE//
PurR	arsC//nrdD//carA//rutA//cynT//deoB//fes//fumC//hcaC//napG//ldtD//murG//
PutA	iscS//treC//
PuuR	iscS//caiA//allB//malY//metA//murD//
QseB	
RbsR	polB//phnL//nfsB//galM//ahpC//malQ//
RcdA	ahpF//
RclR	
RcnR	rhaB//
RcsAB	paaH//gadA//
RcsB	gcvP//hycC//
RcsB-BglJ	appA//pnp//
RelB	cynT//
RelB-RelE	nrfA//
RhaR	
RhaS	phnM//hypF//tdcB//phoA//
Rob	ppiA//glpK//pgaC//gpmA//
RstA	atoB//
RutR	glpC//tdcD//napH//phnM//cysG//torA//poxB//hyi//nanA//nirD//
SdiA	
SgrR	pgaD//gcl//napH//
SlyA	hyaA//xylA//epd//phnM//torC//xylA//lysC//araD//citG//
SoxR	ugpQ//
SoxS	hycD//pgaB//paaK//puuC//kbaZ//tdcE//accC//hycF//phnG//glmU//purH//hcaC//napA//caiA//citF//narI//
StpA	puuC//
SutR	add//pgaD//
TdcA	nadB//lpd//pgaC//paaE//puuE//
TdcR	nanE//fabI//dmsB//fau//pspE//
TorR	gadB//mazG//aldA//caiD//
TreR	paaK//hycE//
TrpR	ynfF//udp//fes//waaY//lsrG//folE//pgaB//argD//cysG//
TtdR	glpC//argD//
TyrR	nanK//trpD//nanM//glcE//fadI//alaC//ppsA//glpQ//hemL//
UhpA	aroL//
UlaR	hypB//patD//caiA//sbcD//phnI//
UvrY	glyA//edd//
UxuR	ynfG//bioC//nagA//
XylR	chbF//pfkA//mhpF//
YdeO	poxB//fadH//glxK//
YefM	aceF//
YefM-YoeB	astA//
YhaJ	
YjjQ	
YpdB	
YqhC	waaZ//mhpD//
YqjI	murE//
ZntR	argD//
ZraR	
Zur	hypF//
