# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	purC//lysC//
Ada	mhpE//aceF//pgk//arsC//
AdiY	dkgA//frdD//puuE//pflB//
AgaR	ruvB//
AidB	ygeA//
AlaS	slt//
AllR	alkA//nirB//carA//astB//fumB//murC//
AraC	narH//moaC//hcaE//adhE//gadA//purC//
ArgP	nanE//metF//malY//fes//phnP//patD//glxK//fes//tdcB//
ArgR	ubiX//entH//pyrC//entC//ppsA//paaE//codA//nanE//folE//atoD//nirD//katG//ugpQ//eda//gcvH//grxA//ccp//puuE//ftnA//nfsB//nadB//ssuD//recB//
ArsR	phnN//pdeL//
AscG	mhpB//araA//
AtoC	nemA//galT//lldD//
BaeR	ftnA//narG//
BasR	fumC//trpB//poxB//
BirA	chbG//mhpD//moaE//ycjG//argD//
BluR	
BtsR	recB//
CadC	napB//moaC//ynfE//
CaiF	alkB//fdhF//arsC//sufS//trpA//
Cbl	argI//lysC//gcvT//aroL//recD//
CecR	mtlD//
ChbR	purB//relA//gloA//
ComR	
CpxR	glpQ//purF//dgcZ//astB//mazG//uxuB//deoD//ftsI//bglB//ynfE//tdcD//fadE//hemL//acnA//gapA//
Cra	gloA//folE//argB//caiA//icd//narG//phnJ//argE//nagB//caiB//wrbA//zwf//icd//argB//nfsB//ahpC//ldtD//phnP//glcD//caiD//dapB//recB//waaZ//sodA//gntK//lsrG//
CreB	
CsgD	metA//paaZ//hyaA//carB//
CspA	
CueR	xylB//dapB//
CusR	phoA//bioB//
CynR	hcaB//murE//alaS//
CysB	pdeL//fabB//astE//moaC//purA//aroF//gltD//alkB//narH//
CytR	pfkA//pnp//napB//hycD//entE//purA//nagB//ygeA//folE//
DcuR	guaA//folE//deoC//aroH//
DeoR	katG//rutD//argA//phnG//
DicA	
DinJ-YafQ	murD//
DnaA	ftsI//tauD//caiD//folE//umpH//paaE//
DpiA	deoA//glpK//cueO//rsmH//paaB//
EnvR	hycE//mhpF//
EvgA	wrbA//trpA//gcvP//deoA//ulaD//
ExuR	
FabR	napH//recF//fumC//
FadR	hycG//purD//citC//ascB//caiC//purB//moaE//murD//xylA//fadH//yqjH//gntK//poxB//moaD//aroG//
FeaR	garK//entB//
FhlA	cysE//ruvA//purH//pnp//hemL//mhpE//phnL//
FlhDC	poxB//astA//
FliZ	sbcC//nemA//rutD//accA//paaY//
Fur	araA//fes//murG//pgk//gadA//dgcC//hycC//pck//oxc//treC//napG//phoA//fabD//gcvP//gcvH//entD//argG//uxuB//nanM//nrdA//appA//dgcC//rutE//aldA//ydcS//frdC//gadB//bioF//aceF//caiD//cysK//
GadE	ftnA//frdB//rutB//
GadE-RcsB	purA//pgaB//bioB//tnaA//puuC//
GadW	hycG//dmsB//ilvC//
GadX	tyrB//purM//fumC//glpQ//napB//
GalR	mhpC//aroF//alkB//gcvH//ynfE//
GalS	moaA//purN//acnA//adhE//caiC//
GcvA	eda//hycG//glpK//
GlcC	rhaA//aceF//argH//
GlpR	feaB//accD//uvrB//galK//umuD//glpX//slt//
GlrR	
GntR	adhE//garR//bioD//paaJ//dapD//
HU	caiC//wzc//bioA//adhE//
HcaR	bioF//cadA//
HdfR	
HigA	gntK//
HigB-HigA	feaB//
HipAB	argI//gadA//
HipB	gdhA//phnI//garK//
HprR	glpX//ulaF//
HypT	dgcZ//citX//
