# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	rutE//waaZ//
Ada	lacZ//bglB//moaC//phnP//
AdiY	waaZ//nanM//murQ//hcaD//
AgaR	araB//
AidB	paaA//
AlaS	tyrA//
AllR	phnP//astC//add//bioA//murG//glpQ//
AraC	gadB//sbcD//aroH//astE//moaE//dmsA//
ArgP	ulaG//gcvT//argB//glxK//pfkA//frc//bglB//paaF//hycG//
ArgR	murQ//polB//narI//ynfF//fabG//fabH//rbsK//ulaE//frdB//aceE//napG//iscS//phnH//wzb//nanM//paaI//yedX//argG//codA//napH//folE//glpK//bglB//
ArsR	rutC//fumB//
AscG	aceE//lacZ//
AtoC	murQ//ppiA//ubiX//
BaeR	purB//pgaB//
BasR	paaF//nagB//araD//
BirA	ftnA//cysK//purM//torC//metF//
BluR	
BtsR	rutD//
CadC	mpaA//glnA//ahpF//
CaiF	entH//murE//mngB//ttdB//ynfH//
Cbl	fabH//gdhA//rhaD//fabB//hycB//
CecR	fau//
ChbR	paaJ//narG//tnaA//
ComR	
CpxR	ogt//glpC//tauD//rbsK//cynS//astE//pfkA//moaA//acnA//argA//ldtD//uxuA//mhpF//luxS//lpd//
Cra	gpmA//melA//phnI//srkA//dgcZ//aldA//lsrG//gadA//appA//wrbA//gadB//hycB//pck//edd//paaA//aceE//tdcG//nrdF//nrdA//ynfF//lpxC//pnp//aceE//pck//pnp//hyaA//
CreB	
CsgD	nadB//glpB//tdcB//fdhF//
CspA	
CueR	rimK//fadH//
CusR	metF//cyoE//
CynR	malQ//mhpB//glpC//
CysB	dmsB//purM//ppiA//dgkA//rutD//rutD//putA//paaA//alaS//
CytR	aroG//ulaD//pfkA//glpX//entH//recF//napH//pgaC//acnA//
DcuR	adiA//lacA//yqhD//zwf//
DeoR	glxR//puuA//lacZ//purN//
DicA	
DinJ-YafQ	gltB//
DnaA	eda//trpA//moaE//nrdE//sbcD//mraY//
DpiA	trpE//paaH//aldA//citE//carA//
EnvR	hycF//galK//
EvgA	rutA//araD//glyA//ynfE//argB//
ExuR	
FabR	paaG//paaI//mpaA//
FadR	rhaD//napB//patD//phoA//ruvA//mazG//mhpF//ung//adhE//rhaD//cysM//paaB//hyi//mazG//dgcC//
FeaR	gapA//narI//
FhlA	glyA//cynS//ynfF//glcF//ulaG//hycF//bioA//
FlhDC	eno//lacZ//
FliZ	waaY//xylB//folE//nrdE//malQ//
Fur	hcp//waaZ//ribA//astE//hcaF//dapD//gdhA//rutB//bioB//rhaA//feaB//argH//galT//rbsK//puuA//slt//rhaD//recB//ogt//paaJ//tam//puuA//hycD//hyi//paaC//fabH//fadJ//cyoE//fbaA//ynfE//phnN//
GadE	hcaF//add//fadD//
GadE-RcsB	tauD//epd//ulaF//uvrB//glyA//
GadW	putA//citE//nagB//
GadX	moaC//eno//citG//malY//alaS//
GalR	aldA//ugpQ//paaC//allB//ppsA//
GalS	hyi//accD//aroF//araB//fabD//
GcvA	nagA//lysA//aceF//
GlcC	nfsA//chbF//wrbA//
GlpR	malQ//pgk//rutC//alkB//mngB//nrdD//rhaB//
GlrR	
GntR	paaK//mraY//torC//glpA//argA//
HU	gcl//codA//glcD//argD//
HcaR	araD//lsrG//
HdfR	
HigA	fadE//
HigB-HigA	glxK//
HipAB	astD//frdC//
HipB	ulaG//srkA//uxuB//
HprR	galM//pgaC//
HypT	lsrF//citD//
IclR	gadA//nemA//frdB//
IlvY	purB//
IscR	deoB//nrdB//glpC//alkB//fbaA//deoC//metF//
KdgR	araB//
KdpE	ndh//
LacI	trpD//caiC//rbsK//
LeuO	rsmH//ccp//mpaA//
LexA	paaY//fabB//lysA//caiC//araD//pgaD//xylB//nanK//phnJ//
LldR	rbsD//moaC//
LrhA	
LsrR	umpH//nemA//carA//lldD//codA//
MalI	kbaY//paaA//
MalT	sbcC//puuE//purB//hcaF//
MarA	fabG//deoB//accC//edd//rimK//dmsB//nrfD//pgaB//narG//chbF//tdcE//accD//
MarR	
MatA	garL//
MazE	fumC//
MazE-MazF	nanK//
McbR	
MelR	glcB//putA//
MetJ	citE//hcaD//hycB//guaA//tyrA//
MetR	entE//dmsA//dapB//
MhpR	eno//ynfE//adiA//tauD//arsC//frdD//
Mlc	phoA//sufS//bioA//
MlrA	trpA//
MngR	folE//hycD//
MntR	melA//
ModE	tdcD//waaZ//paaI//gcvT//araB//lpxC//chbG//sodA//purN//glmS//aspA//paaC//glmS//puuC//argG//
MprA	hyi//
MqsA	folE//accA//
MraZ	lsrG//argA//entE//hyaB//umuC//deoA//astE//phnM//puuC//glmS//
MurR	aldA//yqhD//ynfG//
Nac	fadI//torA//tyrB//ubiX//
NadR	dgcC//
NagC	atoB//rhaB//lsrF//hycG//nfsB//kbaZ//feaB//cysK//puuB//icd//aldA//fbaA//nirB//murG//
NanR	nagA//oxc//glnA//deoB//glpC//entD//
NarL	phnG//glyA//entE//phnL//accC//pflB//phnN//astC//glcF//gltD//hcaE//aceF//hemL//glxK//moaD//sbcC//paaG//ribA//purN//ychF//bglB//tam//recB//hcaF//
NarP	phnL//aceB//nanE//slt//fadJ//ruvB//ascB//gltD//glpA//
NemR	gadA//paaZ//
NhaR	astD//pspE//ssuE//phnO//nfsA//
NikR	luxS//
NimR	araA//
NorR	lsrG//
NrdR	zwf//glpC//pgk//dapB//
NsrR	ydcS//mdh//purA//entC//fadI//rutD//
NtrC	pgaC//rsmH//pykF//garL//bioB//frdA//rsmH//glpQ//
OmpR	metA//dmsA//trpA//dkgA//uvrB//hycB//hyaB//dgcZ//
OxyR	adiA//add//caiC//arsC//tauD//purN//glyA//ilvC//deoC//nrdF//paaH//nrfD//patD//
PaaX	purM//zwf//pspE//puuD//hycG//lsrG//purM//mngB//argD//
PdeL	murE//
PdhR	citC//paaY//kbaY//deoD//lsrK//rutA//galE//citX//mhpE//sodA//glpA//entD//metE//murF//folA//appA//paaF//tyrB//cynS//astC//oxc//astE//
PepA	nfsA//ruvB//
PgrR	alkA//rutD//
PhoB	fabG//astD//nagA//nrdA//fadJ//rhaA//paaH//dgcC//lsrF//puuE//hycB//ruvB//mraY//galE//nagA//
PhoP	astE//paaE//gcvH//
PspF	fadJ//
PurR	luxS//napG//entB//gntK//ftsI//mngB//paaH//frc//astE//lpd//aroH//phnO//
PutA	astA//citF//
PuuR	nrfA//hcaC//glmU//argD//gadB//accD//
QseB	
RbsR	eno//rhaB//mngB//ppsA//lldD//ulaE//
RcdA	torA//
RclR	
RcnR	patD//
RcsAB	citF//pgaC//
RcsB	gcvH//murD//
RcsB-BglJ	hcp//pdeR//
RelB	ruvA//
RelB-RelE	dmsC//
RhaR	
RhaS	bioD//dmsC//nagB//mhpB//
Rob	puuC//argH//ung//phnM//
RstA	chbF//
