# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	fadJ//ubiX//
Ada	kbaZ//hypF//murE//rimK//
AdiY	aceB//murE//rhaD//glpC//
AgaR	entC//
AidB	nanE//
AlaS	tnaA//
AllR	pgaB//uvrB//garL//gpmA//aceB//gcvP//
AraC	bioB//ascB//glpC//entA//puuE//metA//
ArgP	dmsA//glpC//glpX//hycB//aldA//cysE//mngB//phoA//rutC//
ArgR	fadD//mraY//puuE//rhaB//gcvH//nrfA//hyaB//tdcG//fabA//astE//argA//ldtD//guaA//ppiA//atoA//pgaD//fes//hyaC//fabB//ulaG//waaZ//uvrB//folE//
ArsR	oxc//icd//
AscG	rutA//tdcG//
AtoC	phnI//lysC//glpC//
BaeR	fadE//purC//
BasR	paaH//entA//entE//
BirA	hcp//dapB//cadA//ruvA//hycG//
BluR	
BtsR	hycC//
CadC	murC//katG//metC//
CaiF	rbsK//gloA//moaD//glmS//argB//
Cbl	puuB//ynfE//fadJ//fadI//carA//
CecR	entE//
ChbR	melA//paaC//umuD//
ComR	
CpxR	ubiX//ldtC//atoA//fabB//torC//glpQ//ruvA//paaH//araA//frdC//caiA//caiD//malY//ugpQ//astB//
Cra	lysC//pck//umpH//glpQ//metF//iscS//bglB//puuA//cysM//nagB//aldA//ilvC//trpD//metE//narG//srkA//hypB//narI//galT//citX//guaA//carA//ssuD//puuD//codA//carA//
CreB	
CsgD	argG//hyi//codA//atoD//
CspA	
CueR	nrfD//galM//
CusR	hypF//argH//
CynR	sodA//recF//frdA//
CysB	murC//nirD//trpB//paaY//aceE//mraY//ruvB//paaC//fumC//
CytR	add//cynT//icd//accD//cyoE//murD//hycC//bioF//pnp//
DcuR	pykF//cysG//gcvP//entA//
DeoR	kbaZ//rimK//accC//yqhD//
DicA	
DinJ-YafQ	mpaA//
DnaA	ccp//ygeA//polB//mhpB//entE//murF//
DpiA	caiB//argA//ppiA//uxuA//phnH//
EnvR	malQ//umpH//
EvgA	uvrB//dgkA//hcaB//ulaG//rhaA//
ExuR	
FabR	araA//pgk//cysK//
FadR	hypF//ynfG//hyi//citG//zwf//gloA//rsmH//recD//hyi//gltB//paaZ//sbcD//nrdD//allA//purH//
FeaR	paaG//argH//
FhlA	citG//torA//citF//argF//paaA//paaC//fadJ//
FlhDC	aroG//iscS//
FliZ	yqjH//phnO//fau//xylB//phnG//
Fur	wzc//paaI//hcaE//tdcG//caiB//narG//sbcD//cysK//gntK//araD//murQ//udp//add//galE//murC//argD//phnO//phnJ//murD//cysE//lsrG//fabA//murE//alaC//gadA//ruvA//narI//paaZ//lldD//patD//nrdB//
GadE	sbcD//tdcD//aspA//
GadE-RcsB	glpK//hcp//murI//waaZ//umuD//
GadW	phnL//hycG//ahpF//
GadX	hemL//frdC//ppsA//fdhF//argG//
GalR	aldA//murI//hyaC//dgcC//garL//
GalS	waaZ//ulaD//phnM//purH//cysM//
GcvA	rutE//yqhD//nrdA//
GlcC	mhpD//argC//glpC//
GlpR	truB//paaH//pgk//adhE//dapD//dmsC//aroL//
GlrR	
GntR	cadA//paaZ//fumB//galE//entB//
HU	nanM//alkA//hycD//purN//
HcaR	wzc//araA//
HdfR	
HigA	pck//
HigB-HigA	phnN//
HipAB	dgcZ//rbsK//
HipB	puuA//murE//sufS//
HprR	fadE//nrdF//
HypT	hcaB//purF//
IclR	trpB//puuD//pgaD//
IlvY	rutA//
IscR	mhpB//fadJ//bglB//mazG//rutB//rutD//pspE//
KdgR	pspE//
KdpE	hyaA//
LacI	gcvH//narG//metC//
LeuO	aspA//glmU//mpaA//
LexA	citG//ycjG//mhpE//argE//ugpQ//citD//purF//ppiA//ssuD//
LldR	phnG//glxK//
LrhA	
LsrR	metC//phnI//wrbA//polA//cynS//
MalI	lysA//nrdF//
MalT	luxS//ynfH//rutA//ung//
MarA	allB//hemL//entD//deoB//glpK//adiA//hyaC//guaA//fes//atoB//garL//bioC//
MarR	
MatA	caiA//
MazE	hycC//
MazE-MazF	fadH//
McbR	
MelR	ruvA//relA//
MetJ	citE//epd//citD//astC//lsrF//
MetR	ccp//bglB//bioF//
MhpR	entB//hcaC//rutC//lysC//deoB//guaB//
Mlc	fabD//garR//bioF//
MlrA	pfkA//
MngR	hyaA//treC//
MntR	recF//
ModE	puuE//lpxC//paaK//ygeA//astA//lldD//iscS//hmp//aceE//tynA//murI//paaJ//luxS//pgaC//mdh//
MprA	fadI//
MqsA	hemL//glpC//
MraZ	tnaA//nrdE//pgaC//malQ//citX//atoD//gcvH//fbaA//hcaC//paaA//
MurR	nemA//umuC//allA//
Nac	zwf//tdcB//astB//lysA//
NadR	frdA//
NagC	galK//argF//aroG//dgkA//oxc//ldtD//feaB//purD//fbaA//glyA//tnaA//purC//cdd//rutE//
NanR	caiA//tauD//lpd//trpA//yqhD//add//
NarL	rhaB//aroF//lysA//cynS//aceF//trpB//murQ//sbcD//citG//icd//allA//hmp//trpE//phnI//rimK//iscS//guaB//fadD//galE//waaZ//aroG//ynfH//gltB//hcp//
NarP	glxK//dgcZ//hcp//purN//deoB//pyrC//udp//ribA//entB//
NemR	hycD//fadJ//
NhaR	mhpA//pdeL//napA//citF//ygeA//
NikR	pflB//
NimR	tdcG//
NorR	rsmH//
NrdR	slt//cueO//argC//zwf//
NsrR	polA//xylA//mhpB//gltB//entE//fadJ//
NtrC	metA//phnM//feaB//ftnA//glpC//nagB//astB//fes//
OmpR	frc//galM//katG//xylA//fumC//hcaC//gcl//narH//
OxyR	purN//phnM//moaE//accC//paaE//deoB//paaJ//fabA//caiA//dgkA//frdB//phnN//gcvH//
PaaX	paaF//hyi//nagA//patD//ruvB//adhE//murC//metC//tauD//
PdeL	bioF//
PdhR	aroL//paaK//dmsC//accD//aceA//mhpF//ruvA//hcaB//gltD//lysC//trpC//paaY//hyaB//cdd//phnM//paaJ//murI//lysC//phnP//glcF//narI//fes//
PepA	hyaC//malQ//
PgrR	putA//rutC//
PhoB	paaJ//deoD//narG//glcE//glcB//glmU//ssuD//caiC//eno//argA//paaF//metF//lpxC//fumB//citE//
PhoP	carB//narG//glpQ//
PspF	moaC//
PurR	sbcC//glcE//mazG//purA//trpC//eda//ascB//bglB//aspA//nfsB//entA//glcD//
PutA	glpD//cysM//
PuuR	atoD//paaZ//chbF//purH//metE//eno//
QseB	
RbsR	zwf//ulaE//gcl//glxK//cueO//nfsA//
RcdA	trpB//
RclR	
RcnR	lldD//
RcsAB	citX//astC//
RcsB	hcaF//glpC//
RcsB-BglJ	fumB//nrdD//
RelB	rsmH//
RelB-RelE	iscS//
RhaR	
RhaS	moaC//hyaA//ada//ychF//
Rob	nrdE//tyrA//hyaA//pyrC//
RstA	glpA//
RutR	ftnA//ycjG//nrfA//lacA//ynfE//edd//rnpB//citE//phnO//gltB//
SdiA	
SgrR	entB//acnA//phnI//
SlyA	codA//purD//pck//lacZ//gloA//wzc//nrdD//accA//tauD//
SoxR	torA//
SoxS	katG//fadJ//pdeR//rbsK//ldtD//glxK//gcvP//dgkA//treC//gntK//paaC//fabI//umuD//aspA//ahpF//puuC//
StpA	mhpB//
SutR	alkA//atoA//
TdcA	nemA//tdcB//paaI//adhE//entC//
TdcR	polA//ahpC//bioF//dmsA//accA//
TorR	puuE//trpD//fadE//torA//
TreR	nfsB//ulaE//
TrpR	nirD//araA//astC//deoC//gcvH//icd//caiB//ruvB//mdh//
TtdR	phnG//dmsA//
