# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	glnA//hycG//
Ada	umuD//katG//pnp//accA//
AdiY	nagB//napA//hemH//galM//
AgaR	nanM//
AidB	cynT//
AlaS	hypB//
AllR	malQ//gltD//caiC//hcaB//alkB//bioF//
AraC	caiC//kbaZ//fadH//narI//fdhF//fabG//
ArgP	entB//murD//nrdE//atoB//gloA//fumB//caiD//ung//malY//
ArgR	waaY//mngB//murG//gcvT//fadI//mhpC//hcaD//metF//moaD//araD//purH//ppiA//fadH//mhpF//rsmH//entH//ynfG//cynS//mngB//moaC//yqjH//hcaB//phnN//
ArsR	sbcD//phnL//
AscG	adhE//alaS//
AtoC	malY//yfdE//tdcE//
BaeR	alkB//puuA//
BasR	accD//caiD//phnO//
BirA	lsrF//rbsK//bioC//astD//hypF//
BluR	
BtsR	hypB//
CadC	rutA//gcvP//hcaD//
CaiF	pgk//moaC//frdD//fabA//garR//
Cbl	appA//fbaA//purD//alaC//frdD//
CecR	mhpA//
ChbR	glcE//fabH//argD//
ComR	
CpxR	nfsA//glpA//uxuB//cysK//hyaC//aroH//cueO//tauD//glpA//murQ//truB//ogt//ahpC//cdd//ldtC//
Cra	wzc//glmU//ulaE//cysM//atoB//recF//lacA//lpd//pflB//gadB//yqhD//ubiX//paaH//dgkA//ubiX//purH//fau//astD//yedX//pgaD//hyaA//icd//nirB//murI//hcaD//citF//
CreB	
CsgD	tyrA//entF//gloA//ldtD//
CspA	
CueR	dmsC//umpH//
CusR	rsmH//argG//
CynR	caiB//caiD//murF//
CysB	astA//icd//cynT//galK//nfsB//fabH//nanA//gadB//glmU//
CytR	araA//mhpF//ddlB//paaF//ccp//rhaB//mhpC//murC//citX//
DcuR	hcaC//lpd//yqhD//hyaC//
DeoR	rutA//hycB//caiB//glpA//
DicA	
DinJ-YafQ	pykF//
DnaA	srkA//moaA//torA//ulaD//frc//nagA//
DpiA	glcB//frc//tauD//alkA//cysK//
EnvR	dgkA//nrfC//
EvgA	purN//waaZ//aceF//argE//caiA//
ExuR	
FabR	galK//epd//frdB//
FadR	ldtC//gntK//pspE//kbaY//galK//mraY//cueO//pflB//sbcD//argA//gcvT//gntK//torC//feaB//wzb//
FeaR	chbG//murG//
FhlA	bioC//cadA//metE//hcaB//pfkA//polA//galK//
FlhDC	hyaC//argH//
FliZ	yqjH//puuC//glxK//fdhF//malP//
Fur	relA//argC//ugpQ//ogt//cysE//fumB//entA//metE//slt//citC//sodA//garL//fabG//lldD//ppsA//cadA//allB//sufS//ynfG//pgaB//katG//cysM//torA//hycD//garR//ttdB//rutA//feaB//ilvC//mhpD//pyrC//
GadE	garL//entD//pgaB//
GadE-RcsB	aroG//astA//phnI//entC//murF//
GadW	lpd//hcaD//fabB//
GadX	entA//metC//malP//acnA//hcaD//
GalR	malQ//pdeL//astC//pgk//paaE//
GalS	nirB//cynS//ubiX//pgaB//trpE//
GcvA	paaK//hemL//aroL//
GlcC	citE//aroG//phnM//
GlpR	gltB//ugpQ//bioC//phnO//phnG//atoA//puuE//
GlrR	
GntR	paaC//ttdB//citE//aceF//ubiX//
HU	nanM//pgaB//nanE//allA//
HcaR	paaJ//pyrC//
HdfR	
HigA	udp//
HigB-HigA	phnP//
HipAB	gpmA//ahpC//
HipB	frdA//paaI//puuB//
HprR	napA//aceB//
HypT	rbsD//napG//
IclR	garR//rnpB//lpxC//
IlvY	relA//
IscR	torC//rutA//ynfG//allB//eda//ppsA//alaS//
KdgR	polB//
KdpE	grxA//
LacI	argA//mazG//nfsB//
