# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	lacZ//waaZ//
Ada	fabI//pgaC//pykF//fumC//
AdiY	lacZ//aceA//ychF//moaC//
AgaR	glpD//
AidB	hcaD//
AlaS	ppsA//
AllR	eno//rutD//hypB//nanK//puuA//paaG//
AraC	codA//hycF//glcB//argG//nrfA//arsC//
ArgP	tam//alkB//ascB//cynS//narG//malY//hycG//dapB//fadH//
ArgR	lsrK//moaC//glpK//nrfC//fabD//bioA//tdcE//dgcC//malY//napB//nfsA//metE//alaS//bioD//nfsB//puuC//add//entH//citD//hmp//argG//kbaY//tdcE//
ArsR	iscS//yfdE//
AscG	torA//edd//
AtoC	paaB//argH//nirB//
BaeR	sbcC//mhpC//
BasR	fadE//paaB//mdh//
BirA	fadI//phnI//paaG//caiC//uvrB//
BluR	
BtsR	ogt//
CadC	pgaB//trpE//ftnA//
CaiF	fau//carB//phoA//pck//metE//
Cbl	purB//ddlB//ftsI//truB//zwf//
CecR	dapD//
ChbR	codA//fau//feaB//
ComR	
CpxR	malP//trpC//hcaC//lsrK//ttdA//gcvP//ychF//fabG//ynfG//glxK//fabI//ndh//entD//cyoE//xylA//
Cra	adhE//dgcZ//astE//mdh//trpE//uxuA//lldD//ynfG//nirD//accC//paaA//aceB//galK//lsrK//gapA//narG//phnP//fumB//ahpF//alkA//entD//hcaC//nirD//kbaZ//ldtD//dmsB//
CreB	
CsgD	alkB//add//hyi//glpQ//
CspA	
CueR	rnpB//nrdD//
CusR	nrdD//hcaB//
CynR	paaH//malP//ulaE//
CysB	hycC//deoB//dgcC//nadB//glcB//trpD//araD//rimK//malQ//
CytR	fumB//moaA//hyaC//oxc//eda//cysM//paaB//lpd//folE//
DcuR	mngB//zwf//dapD//phnM//
DeoR	hypB//ulaG//gcvT//gadA//
DicA	
DinJ-YafQ	hyaC//
DnaA	lacZ//pgaD//ldtC//ycjG//ruvA//cysG//
DpiA	glpD//citF//purA//feaB//araD//
EnvR	arsC//putA//
EvgA	gcl//fabB//nrdD//ruvB//bglB//
ExuR	
FabR	citG//cueO//hyaB//
FadR	appA//nadB//napB//glpD//cynT//gapA//araB//sbcD//grxA//pgaC//hycF//moaA//cysE//glmU//araA//
FeaR	narG//ttdA//
FhlA	puuA//hypF//gcvT//fbaA//mhpB//uvrB//waaY//
FlhDC	paaK//bioD//
FliZ	slt//aroL//aspA//nirD//nanE//
Fur	napA//murI//iscS//ilvC//mhpB//rutC//dgcC//hycC//aceB//murC//napA//lldD//puuA//ruvB//paaB//udp//aroG//glmS//deoD//aceE//aldA//lpd//nanK//frdA//glmS//hmp//dgcC//luxS//tauD//paaK//araB//
GadE	caiD//deoD//bioF//
GadE-RcsB	bglB//bioD//pck//ftnA//dapB//
GadW	mhpD//ruvA//hcaC//
GadX	entD//rimK//ahpF//ulaF//recB//
GalR	astB//ahpC//narH//entF//fabH//
GalS	purH//bioC//dgcC//araD//tnaA//
GcvA	folA//chbF//ygeA//
