# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	rffC//ssuD//
Ada_neg	nadA//sdaA//
Ada_pos	ugpQ//argG//alaA//atoB//
AdiY_pos	yiaK//astC//dhaL//sucA//
AgaR_neg	murD//
AidB_neg	puuB//
AlaS_neg	ilvD//
AllR_neg	zwf//leuD//talA//citE//mazG//leuC//
AllS_pos	aroG//metE//chbF//
AlsR_neg	rutA//yqjH//gabT//
AppY_pos	sdhC//nanK//
AraC_neg	pflB//betB//acnA//fumA//sdhC//
AraC_pos	pdeH//xdhB//fabH//bioF//puuB//argF//
ArcA_neg	argD//alkA//carB//ubiC//hcaC//aceF//truB//purF//nadB//sdhB//xdhA//rhaA//pgaC//tauD//mngB//gadA//lacZ//xdhB//waaZ//eno//dhaK//waaZ//moaD//fau//ybjG//sucC//cysM//citE//sdaA//malQ//napB//yiaK//yedX//argA//paaZ//gatD//metA//ulaE//pyrC//gpmM//ldtB//mngB//cyoE//nrdA//glpA//nanK//glpQ//nrfD//pdeF//moaA//ilvA//gltD//fabZ//phnP//gpsA//ansB//lsrF//gpmA//aroH//fumC//bacA//napB//fadB//dmsA//glmS//rffG//yqhD//ilvD//aroL//
ArcA_pos	metL//tam//metK//fadA//relA//prpB//rhaB//metF//dadX//caiA//tdcE//hycF//mraY//nagB//gabT//yqjH//cueO//murC//phnJ//fruK//ilvD//cysI//frdC//frdB//ravA//ssuE//aroF//ppc//aroH//hemF//luxS//
ArgP_neg	
ArgP_pos	tauD//tadA//xylB//torA//rimK//pnp//napH//ahpF//glmU//
ArgR_neg	prpD//sdhA//tadA//fabG//prpC//wzc//napA//araB//cysJ//serA//tdcD//folA//argA//rffT//speA//add//bioF//purF//
ArgR_pos	aceA//guaA//ilvB//fes//purK//
ArsR_neg	ppc//atoA//
AscG_neg	malY//fadI//
AsnC_neg	fumC//
AsnC_pos	puuA//
AtoC_pos	murD//astC//accA//
BCCP_neg	nirD//
BaeR_pos	pyrC//nirD//
BasR_neg	paaF//
BasR_pos	psd//gudD//
BetI_neg	moeB//glcF//glgP//
BirA_neg	lpxD//dacC//idnO//sucD//fabD//
BluR_neg	
BolA_neg	glgC//pgaC//
BolA_pos	pagP//ssuD//
BtsR_pos	pfkA//
CRP_neg	asnA//dhaK//uxaB//puuD//allC//metK//ychF//paaA//ygeA//ravA//ilvE//gudD//putA//phnH//cynS//paaE//caiD//hycE//iscS//mtlD//deoB//leuC//galM//waaH//uxuB//metB//lysA//leuC//phnJ//trpD//frdA//oxc//nanM//cdd//gpmA//frdD//tyrB//ppsA//astE//hpt//agp//dhaL//hycC//cyoE//fadH//puuB//add//argC//dapB//pgm//metL//hypF//allD//agp//paaI//ilvI//ubiA//metL//fadB//sdhD//gltB//yqjH//umpH//paaJ//glmU//lyxK//bioD//mhpE//gltD//ccp//purF//
CRP_pos	murC//phnI//sgbE//betB//lpxA//carA//gapA//ascB//rpiB//tehB//wzb//garD//malY//agp//garK//garK//galE//glpX//fucA//lacA//lsrF//bcsZ//asnB//adhE//accD//tauD//glgX//gadA//tam//ilvG_1//umpH//wrbA//eno//adiA//puuD//glmU//purE//dmsA//alkA//wecC//hpt//glpC//metC//tynA//ribA//hcp//hyaC//hcaE//yeaE//trpB//sucA//rfe//fbaA//nadA//gor//deoA//hflX//gnd//chbF//appA//rpiB//gutQ//betA//ppsA//nrfA//asnB//recB//murF//ycjG//entC//fabA//moaD//mazG//dinB//pyrC//ada//ilvB//lysC//pgi//paaB//alaC//rhaD//gutQ//hypF//deoC//gcvP//iscS//tdcG//entE//atoB//hyaB//fadJ//idnO//chbF//paaC//nadB//purH//pgk//dgkA//adhE//purA//rsmH//gltB//upp//epd//rnpB//torA//ftnA//puuB//argG//pheS//paaJ//dkgA//ampD//nrdE//ychF//glpX//wecC//eda//preA//phnM//bglB//speC//sucC//dgcZ//dadA//alsE//sdhB//hypF//phnM//pspE//puuA//frdD//gntK//ugpQ//katE//hmp//arsC//aceE//gpmM//psd//pdeR//polA//nirD//nfsA//fadM//preT//narH//phnP//hyi//rffC//gcl//tyrB//cysK//hcaE//nrdA//kbaZ//kbaZ//lpxD//hycB//entE//hycG//astA//argG//xdhC//agp//glcF//pheS//ftnA//frdA//fabD//waaZ//lsrG//rimK//cmoM//citE//sdhC//trpD//uvrB//prpC//cysE//aceF//srlD//hycE//glpA//adiA//purH//lpd//tyrB//ilvB//glpK//ubiC//trpB//paaY//betB//ubiX//ychF//ynfE//bioD//srkA//thrS//glmU//zwf//gapA//xdhB//paaJ//preA//rimK//hyaC//rpiB//cheB//glcF//fumB//hyaB//yedX//guaA//ahpC//leuA//moaE//hycE//napH//dgcC//allB//moaE//araB//mltF//murE//dgcZ//rhaA//leuC//malP//uvrA//gcvT//guaA//narG//narH//dgcZ//wzb//ldtC//glpD//paaF//leuD//rfe//codA//entB//rffM//umuC//hflX//ahpF//
CadC_pos	ygeA//purE//malS//
CaiF_pos	cysI//caiD//rffH//atoD//pagP//
Cbl_pos	gpmM//fadA//tdcB//aspA//frdC//
CdaR_pos	cysD//metA//hcaF//mngB//paaY//citC//purN//gabT//glpK//
CecR_neg	prpD//
ChbR_neg	betA//cysG//ftsI//
ChbR_pos	glgP//dgcC//aroL//
ComR_neg	
CpxR_neg	wrbA//bioA//speA//
CpxR_pos	epd//murC//hycC//dinB//dhaM//bioC//tnaA//puuB//cadA//pgk//glnA//upp//ubiX//pgm//rbsD//zwf//paaC//nagB//
Cra_neg	glpA//entE//bioD//metE//fabA//cysC//gcvT//kbl//glgC//psd//dinB//sucD//ilvB//nrdE//rutC//uvrC//srkA//deoB//gpmM//umpH//wecC//moaE//aceB//pspE//lldD//ldtB//mltF//ulaF//waaH//garR//ilvC//lysU//ftnA//ppc//astA//pagP//deoC//paaI//idnO//yfdE//caiA//fadB//araD//fabI//rhaD//
Cra_pos	paaZ//grxA//idnO//mhpD//uxuA//hemL//dgcZ//asnA//aroG//chbF//moaE//dapD//sucB//nirB//napA//tdcB//pheT//
CreB_neg	phnG//
CreB_pos	mhpB//
CsgD_neg	tdcG//gltX//
CsgD_pos	purA//paaG//aroL//
CsiR_neg	dkgB//hypB//uxaA//nrfD//
CspA_pos	xdhB//
CueR_neg	rutD//sdhA//argG//
CueR_pos	bioD//fumA//
CusR_pos	glpX//lsrG//alaC//phnH//
CynR_neg	
CynR_pos	ansB//betB//galM//
CysB_neg	betB//fumB//ilvD//
CysB_pos	dmsB//bioD//rutA//fabZ//luxS//glmU//wrbA//rhaB//cysN//nrfC//ilvC//prpB//pepD//xapA//
CytR_neg	nrfC//hemA//cysM//phoA//nrdD//aroA//aceA//metC//rtcB//recF//
DcuR_pos	patZ//rimK//lysC//rhaD//
DeoR_neg	ackA//aldA//frdB//cysK//gadB//glcD//
DhaR_neg	
DhaR_pos	trpE//
DicA_neg	
DinJ-YafQ_neg	paaZ//
DnaA_neg	rbsD//trmA//amiA//metL//hemA//
DnaA_pos	lsrF//garL//serC//
DpiA_neg	
DpiA_pos	ampC//ravA//katG//phnJ//ygeA//
DsdC_neg	
DsdC_pos	citC//ftnA//
EbgR_neg	
EnvR_neg	amn//sodA//
EnvY_pos	carA//eda//
EvgA_pos	aroF//dkgA//puuA//talA//cueO//ahpC//
ExuR_neg	ulaD//trpD//phr//mdh//phnN//argE//
FNR_neg	adhE//nemA//purN//appA//luxS//acnA//aroA//fucK//murD//cyaA//acs//leuB//leuD//hycC//narG//hcaD//yedX//pepD//pgi//purF//cheB//pgi//patD//rutC//grxA//paaH//glyA//pflB//iscS//tpiA//slt//moaC//yedX//katE//entE//ahpF//sgbE//frdD//rutE//ygeA//fadA//pflB//alkB//entC//
FNR_pos	purD//rsmH//metF//citD//puuE//purC//fau//citC//nrfA//gdhA//icd//puuC//ydcS//betB//aceB//nanE//ccp//alsE//glpD//astB//glpD//atoB//pncB//aldA//hycF//waaY//mpaA//cpdB//ubiC//fadE//rffT//napA//rtcA//xdhB//hemF//dgcN//lysA//accD//nirB//puuE//cysI//lacZ//ttdA//uxaC//rnpB//glpQ//murG//paaA//rffM//murF//rbsK//galM//thrS//pnp//metA//asnB//folA//glpK//ilvG_1//pheT//lpxA//sucD//garD//paaA//nfsB//phnG//nagA//fadM//rutE//allB//fucA//phnI//cynS//nrfC//xylA//entC//glxK//leuD//trpD//metB//ilvD//hyaC//ilvG_1//aroF//pagP//pdeR//yeaG//fabI//leuD//dmsC//mhpC//phnJ//ilvD//hypF//xapA//sucB//
FabR_neg	gloA//wzb//phnO//
FadR_neg	umuC//astC//fbaA//patZ//glpD//eno//gabD//sucB//nanK//
FadR_pos	asnB//adiA//lpxA//uvrB//patD//argI//pflB//galT//purH//dapD//
FeaR_pos	pfkA//leuA//
FhlA_pos	hflX//paaI//prpD//pdeR//uxaC//tnaA//paaA//mhpE//
Fis_neg	rutA//tadA//ppc//hycE//purF//rsmA//rhaA//argD//purC//ubiC//wecC//fabH//malQ//ulaF//mraY//umuD//bacA//avtA//pgaB//argH//pnp//epd//uxaC//chbG//glgP//alkA//nadC//glcE//ftnA//nemA//patA//ascB//ldtB//pheS//wzb//puuA//hycB//bioD//uxaB//mazG//edd//mpl//rutD//ssuD//mpl//ung//
Fis_pos	pdeL//katE//glsA//gltA//pdeF//yqjH//glcF//paaK//metB//srlD//hcp//prpD//ampD//fadE//lysU//argE//fumA//lysC//sbcC//malP//nrfA//aroH//yfdE//metH//lacZ//citC//fadI//thrS//yqhD//ilvB//tam//metC//fadI//preT//yfdE//mtlD//nanE//
FlhDC_neg	sgbU//mraY//
FlhDC_pos	caiA//relA//astB//rbsD//allD//ubiG//uvrC//dgcN//malY//metC//cynT//srlD//
FliZ_neg	amn//trmD//metL//nrdE//srlD//
FucR_pos	cynS//alkB//pgaD//ogt//dacC//tnaA//
Fur_neg	argF//ftnA//hyaC//deoB//paaE//cysE//cysI//malQ//metH//codA//pgaD//paaH//paaF//citG//hemA//ahpF//pyrC//gutQ//wzb//trpE//gpsA//astE//rhaD//aceF//glpC//dsdA//moaD//nagB//dmsB//cyoE//phnG//purM//acnB//alsE//ppc//uvrA//allC//ldtC//lpxA//paaE//kbaZ//agp//cysH//allD//yedX//nrdE//uidA//argA//cpdB//araB//bioC//aspC//pagP//
Fur_pos	metH//nadC//waaH//glpQ//sdhB//srkA//codA//mngB//gloA//ndh//hypB//cysG//uvrA//codA//astC//iscS//
GadE-RcsB_pos	aceE//gnd//rffG//ldtC//fadE//
GadE_pos	nfsA//wzb//hypF//galT//speC//speA//hypB//pspE//fucO//prmC//
GadW_neg	allE//pagP//gcvP//
GadW_pos	fabG//mpaA//pfkA//sodB//
GadX_neg	psd//gpmA//
GadX_pos	lldD//ddlB//garK//allC//dgkA//rsmA//feaB//lysC//preA//recB//dgkA//
GalR_neg	allC//cysK//paaJ//trmA//cysD//srlD//
GalR_pos	mpaA//phnJ//ampD//puuE//
GalS_neg	hyaC//deoD//napA//metA//mhpD//nagB//
GalS_pos	rtcB//udp//lyxK//fadM//
GatR_neg	purH//lacA//mpaA//
GcvA_neg	chiA//rfe//fadB//
GcvA_pos	tktB//paaF//nfsB//
GlcC_neg	
GlcC_pos	purF//alaC//poxB//
GlpR_neg	chbF//uvrC//pgaD//fabB//rutD//agp//kbaY//
GlrR_pos	
GntR_neg	glpD//kbl//nirB//yeaG//dusB//mnmG//yeaG//frdC//lacA//
GutM_pos	mhpF//pgaC//metC//
H-NS_neg	frdA//kbaZ//hcp//ascB//araB//caiA//nagA//pheT//glpD//recD//deoB//metC//dadX//aceF//mltF//pfkA//deoC//glpK//bioB//ssuD//nagB//fucA//gudD//ulaG//mpl//ubiX//slt//glpB//hemA//sucC//waaZ//paaJ//metB//patA//purN//pheT//fucA//lysA//rffT//fucI//nemA//citX//aceE//epd//paaB//feaB//malQ//upp//preA//ulaG//adhE//
H-NS_pos	malY//kbl//wecC//ilvG_1//lsrK//napA//rnpB//hyaC//cysN//epd//hycD//gltB//phnL//leuA//allC//
HU_neg	pdeH//puuA//paaC//glpA//polB//murG//cysH//
HU_pos	
HcaR_neg	
HcaR_pos	pdeH//tdcG//
HdfR_neg	
HdfR_pos	
HigA_neg	frdC//
HigB-HigA_neg	prs//
HipAB_neg	purE//sgbH//
HipB_neg	entD//mpl//recD//
HprR_neg	purD//ssuE//
HprR_pos	gpsA//dmsB//
HyfR_pos	ilvM//
HypT_neg	lysC//hcaD//
HypT_pos	luxS//ssuE//nrdD//thrS//allC//
