# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	lysA//fabI//
Ada_neg	sodB//puuC//
Ada_pos	rtcA//aroG//dapD//ssuE//
AdiY_pos	deoB//edd//astB//bcsZ//
AgaR_neg	cynT//
AidB_neg	araD//
AlaS_neg	sdhA//
AllR_neg	cysK//aroL//glpD//yfdE//ssuD//nemA//
AllS_pos	pgaD//ubiG//ilvN//
AlsR_neg	nrdE//hcaE//paaK//
AppY_pos	entF//trpB//
AraC_neg	cysN//sucC//adeD//nemA//katE//
AraC_pos	narI//cysM//mazG//gltA//aspC//pykF//
ArcA_neg	preT//cynT//puuC//gpsA//glmS//apaH//srlD//gor//frc//glxR//mdh//fabI//pspE//hmp//wecE//chbG//nadC//ulaD//narI//tdcE//kbaZ//guaB//moaA//xdhB//ygeA//hmp//lysA//tdcB//hycG//purB//aspA//ynfF//dapB//ada//adhE//narI//cadA//galE//allA//argB//purL//ccp//wrbA//araD//gcvP//gudD//sdhB//sucD//phnN//trpC//ppiA//fbaA//phnL//dgcC//wzc//pagP//sucA//betA//malP//icd//xapA//pfkA//argA//purH//pdeL//mltF//ravA//cheR//hyaC//
ArcA_pos	dgkA//hchA//idnD//nrdE//waaY//galT//araB//sdhD//metA//polB//pyrD//gdhA//alaA//aceE//asnA//sbcC//lldD//pnp//pdeF//mpaA//phnP//frdC//xdhC//fumB//gltX//rutC//pgaB//wecB//dmsB//carB//deoC//
ArgP_neg	
ArgP_pos	waaZ//glxR//eda//dmsA//rsmH//nrdE//paaA//xdhA//serA//
