# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	waaH//sdaA//
Ada_neg	purE//uvrB//
Ada_pos	glgA//sbcD//argI//zwf//
AdiY_pos	tyrA//aroA//paaC//ilvI//
AgaR_neg	glxK//
AidB_neg	dsdA//
AlaS_neg	cysE//
AllR_neg	ubiC//ampD//paaY//bioA//nanA//yeaE//
AllS_pos	bacA//garD//araD//
AlsR_neg	aroL//tnaA//lacZ//
AppY_pos	tam//glnA//
AraC_neg	cysE//serA//glcF//hemL//edd//
AraC_pos	fadI//fumC//gltB//uxaC//cysI//carA//
ArcA_neg	nrdB//malP//paaG//ldtD//atoB//slt//srkA//add//citD//lsrK//ttdA//ttdB//alaA//avtA//caiD//yedX//nanK//ynfG//gcvH//ndh//gcvH//wecC//yfdE//amn//dgcN//mhpF//uxuA//ilvN//allC//dmsA//mnmG//hypF//phnN//phnO//gcvT//argH//rsmH//astC//pgpC//nrfD//murE//nadC//fau//trpE//lpd//ttdA//uidA//paaG//malZ//ldtD//purF//argF//deoA//glgA//umuD//pgaC//aceE//nrdA//ampC//malQ//upp//dhaK//dmsB//nagA//phnJ//ubiG//aceF//folE//betB//
ArcA_pos	rtcB//glmS//gltA//preA//hcaB//prpC//narG//fabH//idnO//paaC//rbsD//hycE//fruK//dmsB//speA//accA//phnI//ccp//ilvH//alkA//rutD//araB//astD//bacA//glgP//folA//paaI//umuD//mdh//recF//ubiC//
ArgP_neg	
ArgP_pos	dgkA//paaG//phnM//cdd//bioA//mhpD//paaK//lhgO//zwf//
ArgR_neg	ravA//guaB//astE//hmp//dkgA//leuB//gnd//grxA//gor//nanM//ahpF//malZ//purM//fbaB//fucU//astB//speC//ada//
ArgR_pos	napG//rutA//uxaB//gltD//trpE//
ArsR_neg	appA//cheR//
AscG_neg	dhaK//ilvE//
AsnC_neg	glcB//
AsnC_pos	citC//
AtoC_pos	lsrF//ynfH//gpmM//
BCCP_neg	aroG//
BaeR_pos	ftsI//nanM//
BasR_neg	trpA//
BasR_pos	ansB//ycjG//
BetI_neg	caiA//mazG//narI//
BirA_neg	mraY//tam//dkgB//nrfD//rutB//
BluR_neg	
BolA_neg	lldD//bioA//
BolA_pos	relA//pgaC//
BtsR_pos	lacZ//
CRP_neg	glcD//putA//tynA//gltB//asnB//cueO//hpt//ssuD//cysE//ahpF//frc//bioC//murC//slt//argI//wzb//dkgB//frdD//yeaE//ahpC//ubiX//mhpF//pheT//rutB//gpmA//sbcD//preT//glcB//narH//fadI//acnB//argF//atoB//tynA//pagP//mltF//cysK//garK//alaC//purN//ilvA//glcF//rnpB//ascB//hcaE//cheB//cynT//aroF//gabD//moaD//dmsA//rimK//fabG//phnH//cynT//moaE//ynfH//purE//recF//fadD//pgpC//fadA//gpsA//preA//atoA//mhpE//phnG//uvrC//fadI//metC//gabD//
CRP_pos	fdhF//paaY//trpA//sgbH//atoD//metE//cadA//purK//hyaA//cysJ//melA//aceF//rsmA//xylB//umpH//fadD//nrfA//xdhC//ydcS//tdcD//pdeR//sgbH//acnA//hemA//rffT//lsrK//pgm//glmU//uvrA//cysN//dkgB//yedX//ravA//cmoM//mtlD//feaB//fabH//hchA//lsrK//aroA//tauD//glmU//srkA//glmU//lsrK//gcvP//xylA//gadB//ilvM//nanE//citG//glgA//mpaA//araA//gadB//ilvM//srlD//phnI//fruK//gntK//atoA//mpl//fdhF//xdhA//glpQ//pyrC//glgA//ilvD//rtcB//phnH//ybjG//lpd//hpt//rhaB//mhpF//nanA//xylB//galK//fucI//glpK//cmoM//tadA//murC//patZ//poxB//garL//arsC//hmp//narI//mraY//metB//puuC//ynfH//aroH//citC//sdhD//prpB//paaA//caiC//accA//agp//ycjG//rbsK//waaY//polB//phnO//entC//rffH//puuD//rtcA//fadM//pgm//gpmA//adhE//pgpC//kbaZ//recF//rutA//galM//mhpC//caiC//fucI//glgC//acnA//trpC//ampC//nfsB//xdhC//srlD//ynfE//leuA//glcF//paaK//glgB//purD//katE//umuD//citX//allC//tehB//patZ//pgpC//yiaK//mhpE//trmA//puuD//polA//cyoE//bcsZ//ygeA//luxS//wzc//luxS//napB//alaS//tynA//phnG//purK//ruvA//lyxK//torC//ilvA//metK//lhgO//phr//glgB//malZ//argB//moaE//ilvN//argC//accD//purA//mhpA//narI//pdeH//nanM//lsrG//ilvH//ttdB//garD//pck//ahpF//rutD//fucO//gpmA//idnD//paaH//hcaE//mhpD//epd//folA//ascB//ydcS//sbcD//ugpQ//aroH//tdh//rtcA//narG//cysK//narI//citD//serC//paaA//hcaF//mhpD//sucC//tdh//fabZ//lysA//sdhD//sucA//appA//leuA//rutB//trpE//glpK//mhpE//rutA//pnp//folE//rfe//ugpQ//guaA//tehB//hemH//bcsB//wrbA//fadI//fabB//trmA//alkA//amn//argE//aroA//pflB//glsA//yqjH//gpmM//ppsA//rfe//ppsA//ssuD//cueO//iscS//nanM//fbaB//dacC//
CadC_pos	phnL//aspA//citE//
CaiF_pos	paaE//rutB//entF//nagA//ppc//
Cbl_pos	moaD//mpl//lysA//phnN//entF//
CdaR_pos	cueO//glmS//moeA//nemA//leuC//hyaC//hycB//dinB//aroL//
CecR_neg	tauD//
ChbR_neg	pspE//glxR//betA//
ChbR_pos	moeA//gcvP//mhpF//
ComR_neg	
CpxR_neg	prmC//leuC//fbaA//
CpxR_pos	paaF//uvrA//gatD//bglB//idnO//ppc//nirB//trpE//metL//dmsB//cpdB//tdcD//chiA//glgC//mngB//trpE//lpd//dapD//
Cra_neg	purC//glpA//lysU//hpt//appA//atoA//hyi//allD//citD//purL//rfe//sdhD//glpK//phnN//nanK//pyrC//ruvA//tdh//mraY//hcaE//pspE//lacZ//ynfH//grxA//argE//ccp//pck//puuB//cpdB//wecC//ybjG//pykF//rnpB//metC//acs//cadA//guaB//ilvG_1//alaA//lsrK//fumA//ulaF//fabH//alkA//paaB//
Cra_pos	pgaC//astD//entF//astB//rpiB//eno//glgB//eda//nadB//fumA//uxuB//lpxC//appA//uxaC//yiaK//ssuE//sucC//
CreB_neg	phnJ//
CreB_pos	nrdA//
CsgD_neg	murQ//ravA//
CsgD_pos	glpA//glpD//sgbH//
CsiR_neg	paaA//gdhA//prs//umuD//
CspA_pos	yfdE//
CueR_neg	uvrB//alaC//ygeA//
CueR_pos	aroG//ftnA//
CusR_pos	metA//aroF//napH//lysC//
CynR_neg	
CynR_pos	ygeA//glpB//nadA//
CysB_neg	ahpF//caiC//caiA//
CysB_pos	katE//gadB//hcaD//carB//pdeR//psd//purC//xdhB//preT//araA//trpA//aspC//hcaE//glxK//
CytR_neg	ynfF//prpC//alkA//nirD//fucU//ribA//phr//leuA//mnmG//puuA//
DcuR_pos	amiA//glgA//iscS//pdeF//
DeoR_neg	sucD//alaS//carB//paaY//dusB//phnI//
DhaR_neg	
DhaR_pos	relA//
DicA_neg	
DinJ-YafQ_neg	glpK//
DnaA_neg	pdeL//lpxC//slt//mpl//cheR//
DnaA_pos	cynT//garD//pdeF//
DpiA_neg	
