# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	malP//trmA//
Ada_neg	purC//fadI//
Ada_pos	ubiG//uxaA//tdcG//wecC//
AdiY_pos	sodA//rhaD//fadM//hmp//
AgaR_neg	sdhB//
AidB_neg	araB//
AlaS_neg	purN//
AllR_neg	moaC//phnP//nfsA//glgB//pncB//deoB//
AllS_pos	purN//astE//aceE//
AlsR_neg	allB//garR//chbG//
AppY_pos	hcp//adiA//
AraC_neg	lpd//adhE//cysI//glcB//nadA//
AraC_pos	serC//polA//fdhF//hypF//napH//hemL//
ArcA_neg	xylA//prmC//ilvE//rhaB//nirD//glpD//allE//cysM//mltF//upp//cyaA//arsC//purM//fadE//glpX//paaE//uidA//dhaM//atoD//bglB//umpH//dkgB//cpdB//gatZ//pagP//rhaA//katE//phnP//pyrD//tdcB//metH//tyrB//hflX//rutE//hmp//ilvA//pspE//uidA//fucK//entC//icd//mltF//sdhC//ssuE//ldtC//pgm//talA//lpxD//ubiC//fbaB//leuA//nadB//puuE//carB//fabH//ynfE//dhaL//waaY//rutC//alaC//wecB//leuC//gpmM//agp//rhaB//glpQ//upp//dmsC//napB//
ArcA_pos	hflX//waaY//mdh//cheR//aroF//ilvH//xylB//allD//nanM//aceA//yqhD//ackA//narH//astC//ampC//gcvP//metB//pgpC//gpmM//tyrB//ttdA//nirB//fadJ//hycE//phnH//paaZ//malS//ravA//fucI//ydcS//entC//
ArgP_neg	
ArgP_pos	poxB//alkA//ynfE//ndh//paaB//dapD//gapA//purL//hycG//
ArgR_neg	galK//gltB//aldA//aceB//pyrD//fabH//rutC//pgaD//rsmA//aroF//fumA//lhgO//ndh//rutE//sucA//rffH//acnA//glpB//
ArgR_pos	gudD//entA//sucB//fabI//glk//
ArsR_neg	nrdF//caiA//
AscG_neg	patA//ldtD//
AsnC_neg	sdhD//
AsnC_pos	phnH//
AtoC_pos	citC//uvrA//rffG//
BCCP_neg	treC//
BaeR_pos	lhgO//sdhA//
BasR_neg	glpE//
BasR_pos	ubiA//cysI//
BetI_neg	treC//pdeF//srkA//
BirA_neg	frc//fabZ//napA//aspC//deoA//
BluR_neg	
BolA_neg	accA//fucU//
BolA_pos	sdhB//sbcC//
BtsR_pos	cysH//
