# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	rffT//uidA//
Ada_neg	ppiA//alsE//
Ada_pos	glgX//metB//entF//dmsB//
AdiY_pos	ascB//amn//purC//deoC//
AgaR_neg	uxaB//
AidB_neg	araD//
AlaS_neg	lysU//
AllR_neg	wecE//pgaD//idnO//rhaA//paaF//serC//
AllS_pos	ygeA//purM//hycD//
AlsR_neg	sgbU//gudD//nadA//
AppY_pos	ruvB//glk//
AraC_neg	sgbU//murF//wecE//moaC//rfe//
AraC_pos	gntK//ilvA//ribA//asnB//glcF//fadM//
ArcA_neg	ulaF//mngB//rnpB//pdeF//cueO//alaA//eno//lpxC//garL//fucO//yedX//tdcB//pflB//amiA//nanA//glpA//ynfH//dapD//mdh//wzc//putA//dgcC//alkA//gltD//cysI//ahpC//pepD//patD//rutB//pykF//dgcZ//yedX//mraY//citE//gdhA//hycC//atoA//narI//sbcC//rpiB//pheT//garD//tauD//cysD//sdhB//paaH//sodB//ilvB//nrfC//nadB//cysG//gltA//nfsA//dkgA//astC//dapD//grxA//fucK//fau//napA//argF//metL//pgpC//wecC//argC//glgB//pgaD//hemA//serC//
ArcA_pos	nagB//nadA//pfkA//lhgO//lpxA//polB//nfsB//ppc//gadA//lhgO//nrdE//ldtD//murQ//cyoE//gltX//cyoE//gpsA//aldA//umuD//galE//glgX//gltD//idnD//paaK//sucD//thrS//hypF//cynT//ilvM//dacC//ubiC//
ArgP_neg	
ArgP_pos	sdhD//lacZ//aspA//paaG//caiC//gpmA//gabD//pyrD//rutB//
ArgR_neg	hycE//gltD//cysH//citD//purF//serC//cynT//glpA//alaC//deoB//wzc//hypB//ampD//prpB//carB//gcd//fadM//eno//
ArgR_pos	hypB//paaB//gpsA//gpsA//astA//
ArsR_neg	tdcG//mtlD//
AscG_neg	phnP//bioB//
AsnC_neg	ilvG_1//
AsnC_pos	srlD//
