# From /Users/Daniela/Documents/CCG/data_sets_GUs/analysis/scripts/connectivity_from_gufiles_permissive_enx_v1.pl on Wed May  9 22:37:30 2018
# Input = /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/GUs_SRs/
GU name	Total enzymes	Enzymes	Total connected enzymes	Connected enzymes	Total components	Components	Total Enzymatic reactions	Total transport reactions	Connectivity
Ada-Methylated_neg	2	AlkB,Ada,	1	AlkB,	2	*re6,re7,re8,re9,*re4,*	5	0	0.3
Ada-Methylated_pos	4	AlkB,AidB,Ada,AlkA,	1	AlkB,	4	*re12,re13,re14,re15,*re6,*re10,*re8,*	7	0	0.1
AlaS-L-alanine_neg	1	AlaS,	0		1	*re3,*	1	0	0.0
AllS-allantoin_pos	3	AllC,AllD,AllE,	3	AllC,AllD,AllE,	1	*re5,re9,re7,*	3	0	1.0
AraC-L-arabinose_neg	5	XylB,AraA,XylA,AraD,AraB,	5	XylB,AraA,XylA,AraD,AraB,	2	*re10,re12,re15,re19,re17,*re20,*	6	0	0.8
AraC-L-arabinose_pos	5	AraE,AraA,AraD,AraG-AraH-AraF,AraB,	5	AraE,AraA,AraD,AraG-AraH-AraF,AraB,	1	*re12,re14,re17,re19,*	4	1	1.0
ArcA-Phosphorylated_neg	68	FumC,UvrB-UvrC-UvrA,PuuE,AcnB,Ndh,FadL,Lpd,GatY-GatZ,LldD,PuuD,BetA,OppB-OppC-OppD-OppF-MppA,OppC-OppD-OppF-OppB-OppA,Icd,NuoA-NuoH-NuoJ-NuoK-NuoL-NuoM-NuoN-NuoI-NuoG-NuoF-NuoE-NuoC-NuoB,FadD,GlpD,GatD,SodA,AceA,FumA,GltA,AceE,FadE,GatC-GatB-GatA,UbiC,CitC,GlpA-GlpB-GlpC,AcnA,AceE-AceF-Lpd,PuuC,CadA,PuuB,AceK,CyoE,SucD-SucC,SucA-SucB-Lpd,Mdh,SucB,FadA,FadB,Lpd-GcvP-GcvH-GcvT,PuuA,RhaT,PtsG-Crr,BetT,FadI,CitG,AceF,GlcA,GlcD-GlcE-GlcF,DctA,CadB,CitX,HybA-HybB-HybO-HybC,SucA,Tpx,UbiA,CyoD-CyoA-CyoB-CyoC,BetB,LldP,PuuP,AceB,FadH,GlcB,AldA,FadJ,YdeA,	60	GlpA-GlpB-GlpC,FumC,AcnA,PuuC,AceE-AceF-Lpd,PuuE,AcnB,Ndh,PuuB,CadA,AceK,CyoE,SucD-SucC,SucA-SucB-Lpd,Mdh,SucB,FadA,FadB,Lpd-GcvP-GcvH-GcvT,Lpd,GatY-GatZ,PuuA,LldD,PtsG-Crr,BetT,PuuD,FadI,CitG,AceF,BetA,GlcA,GlcD-GlcE-GlcF,DctA,CadB,CitX,Icd,NuoA-NuoH-NuoJ-NuoK-NuoL-NuoM-NuoN-NuoI-NuoG-NuoF-NuoE-NuoC-NuoB,FadD,HybA-HybB-HybO-HybC,GlpD,SucA,GatD,CyoD-CyoA-CyoB-CyoC,PuuP,UbiA,LldP,BetB,AceB,SodA,AceA,FumA,GlcB,AldA,GltA,FadE,AceE,GatC-GatB-GatA,FadJ,CitC,UbiC,	19	*re186,*re177,re248,re230,re244,re253,re285,re291,re381,re284,re290,re222,re223,re317,re318,re227,*re142,re143,*re378,*re334,*re310,*re335,*re129,re131,re137,re133,re134,re135,re138,re139,re191,re192,re196,re195,re198,re200,re201,re206,re204,re166,re174,re172,re182,re371,re373,re266,re151,re233,re154,re156,re159,re238,re150,re234,re250,re146,re145,re262,re161,re163,re164,re264,re263,re274,re275,re272,re276,re366,re189,re379,re278,re279,re271,re280,re322,re320,re327,re325,re329,re331,re358,re218,re282,re185,re217,re188,re380,re197,re199,re202,*re270,*re187,*re213,*re208,*re376,*re286,*re307,*re184,*re324,*re148,*re369,*	98	26	0.7
ArcA-Phosphorylated_pos	33	PflB,RutD,RutE,RutA,FocA,CaiB,CaiD,MoeB,MoeA,XylG-XylH-XylF,Pta,TreC,DcuC,AppC-AppB,CydD-CydC,RutG,RutB,SucD-SucC,AppA,SucA-SucB-Lpd,SucB,CaiT,DcuB,CaiA,HemA,CaiC,AckA,RutC,SucA,CydA-CydB-CydX,TreB-Crr,PrmC,FumB,	26	PflB,DcuC,RutD,RutG,RutB,RutE,SucD-SucC,SucA-SucB-Lpd,SucB,CaiT,RutA,DcuB,FocA,CaiA,CaiB,CaiC,AckA,CaiD,RutC,SucA,TreB-Crr,MoeA,MoeB,Pta,TreC,FumB,	11	*re91,*re86,*re64,*re101,re172,re173,re92,re157,re119,re120,re125,re126,re151,re149,re152,re153,re75,re117,re174,re73,re71,re135,re132,re128,re129,re131,re133,re137,re139,re142,re77,re80,re61,re171,re60,re99,re90,re102,re93,re94,re115,*re87,*re161,re163,*re67,*re166,*re123,*re105,*re63,*	45	13	0.6
ArgP-L-arginine_neg	0		0		0	*	0	0	-0.0
ArgP-L-arginine_pos	11	NrdA-NrdB,DapD,DapB,LysC,Map,ArgO,GlnD,LysP,LysA,RecF-RecR-RecO,GdhA,	7	GlnD,LysP,NrdA-NrdB,LysA,DapD,DapB,LysC,	7	*re28,re29,re30,*re38,*re17,*re41,re42,re43,re44,re45,*re49,*re19,re21,re52,re51,re32,re36,re34,*re26,*	17	2	0.4
ArgR-L-arginine_neg	18	ArgF,HisP-HisM-HisQ-HisJ,ArtJ-ArtQ-ArtM-ArtP,ArgB,LysO,ArgG,ArgH,ArgD,HisQ-HisP-HisM-ArgT,TruB,ArgI,NAGS,ArgA,ArgC,PNPase,ArgE,CarB-CarA,Pnp,	13	ArgD,ArgF,HisQ-HisP-HisM-ArgT,ArtJ-ArtQ-ArtM-ArtP,ArgB,ArgI,NAGS,ArgA,ArgC,ArgE,CarB-CarA,ArgG,ArgH,	6	*re91,*re99,*re36,re39,re41,re43,re44,re69,re48,re46,re57,re50,re52,re58,re71,re70,*re90,*re79,*re59,*	19	4	0.6
ArgR-L-arginine_pos	5	AstA,AstE,AstD,AstC,AstB,	5	AstA,AstE,AstD,AstC,AstB,	1	*re11,re12,re16,re14,re9,re7,*	6	0	1.0
AtoC-phosphorylated_pos	3	AtoA-AtoD,AtoE,AtoB,	3	AtoE,AtoB,AtoA-AtoD,	1	*re12,re7,re9,*	3	1	1.0
BaeR-Phosphorylated_pos	2	AcrD-AcrA-TolC,TolC-MdtC-MdtB-MdtA,	0		1	*re11,*	1	1	0.0
BirA-bio-5-AMP_neg	5	BioD,BioB,BioF,BioA,BioC,	5	BioB,BioF,BioD,BioA,BioC,	1	*re11,re17,re7,re13,re15,re16,re9,*	6	0	1.0
ChbR-Monoacetylchitobiose-6P_neg	3	ChbG,ChbA-ChbC-ChbB,ChbF,	3	ChbG,ChbA-ChbC-ChbB,ChbF,	1	*re10,re15,re9,re17,re14,re18,*	6	2	1.0
ChbR-Monoacetylchitobiose-6P_pos	3	ChbG,ChbA-ChbC-ChbB,ChbF,	3	ChbG,ChbA-ChbC-ChbB,ChbF,	1	*re10,re15,re9,re17,re14,re18,*	6	2	1.0
CpxR-Phosphorylated_neg	3	OmpF,CsgE-CsgG,Ung,	0		17	*re38,*re53,*re60,*re75,*re49,*re62,*re54,*re50,*re57,*re59,*re58,*re55,*re52,*re61,*re56,*re51,*re63,*	17	16	0.0
CpxR-Phosphorylated_pos	19	DgcZ,SbmA,PpiA,BacA,RdoA,DegP,AroG,LpxA,OmpC,LdtC,Slt,DnaE,LpxB,RnhB,FabZ,LpxD,AcrD-AcrA-TolC,DsbA,TolC-MdtC-MdtB-MdtA,	7	DgcZ,FabZ,LpxD,LpxA,LdtC,DnaE,LpxB,	30	*re109,*re113,*re60,*re117,*re118,*re115,*re106,*re104,*re85,re86,re87,*re131,*re126,*re121,*re107,*re67,*re62,re65,*re119,*re50,*re108,*re134,*re124,*re116,*re48,*re71,re144,re145,re72,re146,re73,re147,re149,re75,re80,re150,re89,re153,re154,re79,re93,re155,re91,re76,re151,re77,re148,re152,re78,re81,re74,*re105,*re52,*re112,*re111,*re110,*re69,re143,re70,*re114,*	47	18	0.1
CreB-Phosphorylated_neg	1	MalK-MalF-MalG-MalE,	0		3	*re7,*re8,*re6,*	3	3	0.0
