#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b2241//ilvG//
aceF	b3302//b0358//
adiC	b4186//b1393//
araH	b2755//b2737//b3114//
artP	b0474//b2856//
artQ	b3292//b2995//
atpH	b0137//b0002//b3972//b3099//b2155//b0597//
bcsB	b3326//b3222//
bcsF	b4307//b0042//
betI	b1724//b1834//b4430//
btuE	b1304//b4052//
cadB	b3297//b0592//
ccmE	b1886//b4305//b1633//
ccmH	b1823//b2926//b0795//
chbR	b0431//b1407//
chpR	b2264//b1926//
citF	b3619//b1075//b1927//
cobU	b4469//b1088//b0152//
csgG	b1844//b3751//b1593//b2142//
cueR	b0244//b1018//b0759//
cusF	b1943//b3315//b0735//b2168//
cyoE	b0784//b3829//b0170//b0905//b2038//
dacA	b3725//b1552//
ddpC	b3456//b2722//
ddpF	b1716//b2469//b0434//b1504//
deoD	b3317//b4149//b2678//b1866//
dhaM	b1580//b3294//b0232//
dmsB	b4451//b1774//
dnaK	b2257//b2482//
dppF	b2712//b4104//b2491//b1368//b2675//
edd	b3333//b0050//
efeU	b4027//b1180//
eptA	b0598//b1391//b1776//b0036//b3172//b3024//b1093//b4426//b3431//
eutL	b1953//b0895//
eutT	b4383//b0660//b4451//b1776//b1366//b3507//
fabG	b2135//b0855//
fadB	b0976//b3645//
fdnI	b2253//b2530//
fecE	b1407//b4610//b3628//b2307//b3894//
fepC	b1292//b2095//
fepG	b4188//b1493//
fhuD	b3204//b4005//b1866//b1880//
fimH	b2991//b4259//b1514//b3931//
fimI	b2250//b4371//b1244//
fklB	b4418//b2855//b1746//
flhD	b2717//b0138//
frmR	b0120//b3799//
fruK	b4147//b4226//b0585//
ftsN	b3632//ybfG//b1104//
gadX	b4200//b0409//
galT	b0421//b0757//b3239//b1215//
garR	b3100//b0013//b1089//b1144//b0168//
gatZ	b4515//b3650//b2333//b4655//b3636//b4188//b1389//
gcvT	b3021//b2003//b0092//
glcG	b4308//b0082//b2751//
glgX	b3021//b3395//b4096//b3797//
glnL	b2903//b4539//
glnQ	b0801//b2146//b2840//
glpT	b2751//b3643//b3931//b3386//b4240//b3026//b2037//b2053//
gltB	b3986//b1036//
gltL	b0081//b3636//
