#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b1421//b0820//
Ada-Methylated_pos	b2675//b2364//b4310//b1885//
AlaS-L-alanine_neg	b0974//
AllS-allantoin_pos	b2068//b3605//b0977//
AraC-L-arabinose_neg	b4010//b4392//b3092//b1921//b4417//b0623//b1429//b2560//
AraC-L-arabinose_pos	b3970//b1907//b4637//b1973//b4063//b3428//b3242//b1982//b3272//b0335//
ArcA-Phosphorylated_neg	b0785//b3509//b1669//b0240//b3392//b2205//b0594//b0723//b0463//b3478//b1857//b3569//b1390//b2079//b1988//b2464//b2282//b1851//b4172//b0564//b0167//b3057//b3261//b1901//b3707//b3568//b4177//b1113//b3608//b0352//b3830//b2720//b1223//b2927//b0334//b2093//b3455//b0841//b2716//b2481//b0241//b0040//b2583//b4438//b1591//b0432//b1530//b0181//b0199//b1222//b1515//b4384//b0583//b3781//b3460//b4313//b3568//b0156//b0574//b1713//b3531//b2707//b2211//b1814//b1745//b2529//b2194//b0431//b2507//b1324//b2224//b4393//b0036//b1221//b3863//b3332//b4318//b1182//b0484//b4102//b0934//b2718//b0432//b1858//b3906//b3600//b0721//b2283//b4313//b1205//b1210//b4073//b4069//b3316//b0606//b3324//b4100//b1501//b3667//b2155//b0399//b0589//b0166//b3404//b4000//b4401//b3169//b1429//b4151//b1891//b0863//b3617//b3771//b3456//b2674//b0864//b3469//b4311//b0907//b2709//b2995//b2312//b4039//b3325//b1537//b0221//b4170//
ArcA-Phosphorylated_pos	b3599//b0683//b0431//b3453//b2288//b1182//b4073//b1885//b1499//b2204//b0037//b2697//b0344//b2149//b3481//b0156//b1010//b3957//b1321//b2754//b1515//b3223//b3926//b3476//b2572//b4468//b2482//b3925//b3970//b2200//b0177//b0953//b4200//b0675//b4172//b2720//b1040//b2287//b1220//b3508//b0805//b0895//b1225//b2203//b3395//b4093//b1337//b4467//b2720//b2278//b2580//b3969//b1907//b1521//b1208//b1810//b3125//b2374//
ArgP-L-arginine_neg	b1112//
ArgP-L-arginine_pos	b4068//b1547//b1209//b4237//b3511//b2731//b4314//b1617//b0588//b0763//b2287//b2661//b2079//b1016//b1888//
ArgR-L-arginine_neg	b3957//b1275//b0777//b3542//b1521//b4037//b2800//b2712//b3452//b1209//b2802//b3316//b4079//b0934//b0945//b1512//b0583//b3911//b4267//b0335//b3319//b4171//b2296//b3868//b4293//b3242//b4010//b3750//b1515//b0887//b1712//b3700//b4599//b1672//
