#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b3911//ilvG_1//
Ada-Methylated_pos	b1658//b2029//b2203//b2726//
AlaS-L-alanine_neg	b2904//
AllS-allantoin_pos	b3831//b4450//b2721//
AraC-L-arabinose_neg	b3569//b1022//b1043//b3076//b3478//b2805//b3859//b1160//
AraC-L-arabinose_pos	b0602//b2368//b0996//b1597//b3460//b4467//b3530//b1616//b3476//b3701//
ArcA-Phosphorylated_neg	b3864//b0115//b3846//b2760//b3460//b2553//b0931//b0202//b0957//b1209//b2285//b0721//b0812//b3221//b1922//b0201//b2155//b1797//b0168//b2078//b4237//b1475//b2916//b2095//b3318//b0150//b4007//b0623//b0038//b4014//b3096//b2106//b3479//b0592//b4240//b0341//b2708//b0241//b3416//b0605//b3493//b3728//b1395//b0112//b2296//b0908//b3237//b1805//b3331//b4196//b3168//b1038//b2342//b1011//b3701//b0204//b1706//b1817//b2201//b1704//b3600//b1616//b3455//b1857//b1252//b2223//b0557//b3571//b0863//b1528//b4209//b2818//b4168//b1671//b0936//b0397//b0367//b4194//b0428//b1732//b2143//b1226//b1247//b2663//b1988//b3367//b2580//b3036//b2979//b4129//b2424//b0151//b0181//b0827//b3604//b4287//b0344//b4015//b0109//b4062//b0812//b4267//b0681//b2927//b4698//b0589//b3751//b2374//b0031//b4438//b4383//b4203//b2926//b3510//b2759//b1009//b0754//b3241//b3970//b3265//b3335//b3416//b0429//b0931//b1680//b0037//b2282//
ArcA-Phosphorylated_pos	b0397//b3961//b1737//b0605//b1227//b3479//b4098//b0040//b4159//b3314//b4079//b1780//b2976//b4175//b0313//b2963//b0783//b3359//b2489//b2631//b2841//b0312//b2282//b1531//b3528//b3911//b1396//b4152//b0191//b4397//b3328//b3115//b1297//b4076//b0777//b1531//b1131//b2742//b2674//b2996//b1222//b0366//b0758//b4006//b4317//b0205//b3959//b1129//b4040//b0399//b3509//b0197//b3528//b1042//b2997//b4438//b0106//b1007//
ArgP-L-arginine_neg	b0522//
ArgP-L-arginine_pos	b4151//b2285//b3114//b2529//b2242//b0161//b1779//b1020//b2481//b1020//b4376//b0207//b0241//b0043//b0595//
ArgR-L-arginine_neg	b2417//b3749//b1023//b4438//b1335//b0722//b2430//b0150//b2283//b3093//b2990//b2476//b1212//b0240//b0201//b2938//b0331//b1512//b1672//b4187//b3330//b0161//b2979//b1805//b2712//b3766//b3721//b1384//b3126//b3476//b1738//b0048//b3077//b1921//
ArgR-L-arginine_pos	b0764//b3533//b2805//b2965//b2980//
AtoC-phosphorylated_pos	b4197//b0970//b1622//b2994//
BaeR-Phosphorylated_pos	b2221//b1761//b2222//b0775//b4268//b2750//b0936//b4160//
BirA-bio-5-AMP_neg	b3161//b1621//b3756//b4068//b2469//
CRP-cAMP_neg	b0078//b3161//b1321//b2559//b1389//b0785//b1210//b4637//b0064//b0192//b0115//b0591//b2223//b2428//b4097//b0908//b3319//b3274//b2961//b1430//b3708//b4323//b1540//b1020//b3476//b4154//b1761//b1023//b2091//b4194//b3939//b3508//b1131//b0615//b0179//b3907//b0273//b2841//b1501//b1022//b3721//b1615//b3707//b3026//b4200//b1334//b1900//b3458//b0441//b1920//b3567//b1528//b1881//b0617//b1884//b1393//b0451//b2234//b1892//b3957//b1102//b4316//b2366//b3409//b3766//b3123//b0367//b1921//b1747//b3425//b3329//b2963//b2374//b1040//b4073//b2662//b4376//b2992//b3572//b3958//b2307//b1673//b3135//b2163//b1190//b4309//b2607//b2492//b1732//b2364//b1302//b0179//b1212//b3394//b3854//b0378//b3006//b2476//b1476//b0114//b3410//b2414//b4319//b0124//b2365//b2201//b4093//b3508//b0681//b4293//b2312//b2489//b0975//b2235//b2222//b0462//b3829//b3769//b2726//b4669//b0979//b0031//b0429//b4092//b4382//b0368//b3431//b3574//b1796//b2078//b3172//b0841//b4233//
