#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:44 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/gos_bnum.txt
go_0000018_7	b0891//b2296//b2718//b1128//
go_0000025_7	b4297//
go_0000027_7	b4520//b0261//b0461//b0603//b3428//b2167//b1062//b4483//b3577//b2025//b1072//b1476//b2662//
go_0000028_7	b2092//b4352//b0963//b1109//b3201//b3811//b1270//b3414//b3229//
go_0000032_8	b4088//
go_0000041_8	b4262//
go_0000050_5	b2261//b4241//rpnD//b4479//b1440//b3986//b3549//
go_0000053_5	b2024//
go_0000096_5	b0139//
go_0000101_6	b3783//
go_0000103_5	b0381//b0432//
go_0000105_6	b0139//b3216//b1285//b1901//b1465//b3282//b3517//b3715//
go_0000160_5	b2220//b3197//b2438//b3615//b4255//b2366//b1145//b3287//b3072//b4511//b3375//b0047//b1554//b3040//b2042//b1534//b2198//b1377//b2960//b2315//glsB//b0081//b0694//b2058//b1587//b0594//b0628//b2243//b3903//b3871//b4230//b2792//b3142//b1328//b2257//b2540//b3962//b3816//b0863//b3564//b3049//b4255//
go_0000162_7	b2541//b0268//b2634//b4510//b0828//b2599//b2933//b2867//b0546//
go_0000270_7	b3331//b1104//b0728//b4381//b3606//b0551//b0109//b1340//b4085//b4350//b1445//b2368//
go_0000271_6	b2378//b3590//b2952//b0601//b1307//
go_0000302_5	b3812//b4125//
go_0000303_6	b0030//b0076//
go_0000305_5	b3126//
go_0000372_11	bioP//
go_0000413_9	b0068//b3137//b2287//b1703//b3308//b1390//b4213//b1319//
go_0000453_8	b0630//b2144//b3907//b1692//b2962//
go_0000455_9	b1833//b0314//b3601//b3118//b3513//b2217//b3387//
go_0000462_11	b3429//b1775//
go_0000470_10	b1505//
go_0000478_9	b1606//
go_0000716_7	b3191//
go_0000724_8	b0948//
go_0000725_7	b0607//b1090//b0040//b0281//b3666//
go_0000726_7	b3192//
go_0000731_7	b2333//b2224//b3371//b1343//
go_0000737_7	b3591//
go_0000738_7	b1054//b2600//b4506//
go_0000746_4	b1101//
go_0000820_7	b4376//
go_0000902_5	b1645//
go_0000910_4	b4367//b3298//b2601//
go_0000917_6	b3408//b2934//b1252//b2758//b2374//
go_0000918_6	b2315//b3393//b3409//b1007//
go_0000920_3	b1226//b0574//b2576//b3720//b2793//
go_0000921_6	b3547//
go_0000967_10	b3526//b4209//b2387//
go_0001101_4	b4036//b3497//b1930//b3652//b2718//
go_0001121_7	b4092//b4075//
go_0001123_8	b4180//
go_0001124_8	b1072//
go_0001407_7	b2076//b3057//b3010//rhmR//
go_0001510_5	b1123//b2052//b2687//b2913//
go_0001514_8	b2874//
go_0001522_7	b3753//rpnB//b0034//b4403//
go_0001558_5	b2729//b0778//
go_0001561_6	b0052//
go_0001676_6	b1216//
go_0001680_11	b2470//
go_0001682_11	b3577//
go_0001731_7	b2011//
go_0001762_6	b1007//
go_0001887_4	b3313//b2919//
go_0001896_5	b2603//b0659//b1200//b4242//
go_0002047_6	b2428//b1956//
go_0002097_8	b1370//
go_0002098_9	b4243//b4347//b2946//b1185//b3050//b2748//b3579//
go_0002099_9	b4154//b1247//
go_0002100_9	b2580//
go_0002101_9	b3522//
go_0002128_7	b2520//b0156//
go_0002131_9	b3060//
go_0002132_9	b1801//
go_0002136_10	b2266//
go_0002143_9	b3497//b1430//b2712//b0129//b1352//b3064//
go_0002181_7	b0724//b0233//
go_0002184_8	b3541//
go_0002188_6	b0766//
go_0002192_8	b0602//
go_0002937_9	b0934//
go_0002938_8	b1440//
go_0002939_7	b4376//
go_0002943_8	b3730//
go_0002949_8	b0886//b1886//b3032//b2604//
go_0003333_7	b0318//b1990//b3269//b3517//b2261//b0366//b3916//b2131//b0115//b0811//b0409//b0838//b0133//b2560//b2389//b0894//b3577//
go_0005975_4	b2193//b2725//b3121//b3885//b3424//b1896//b4133//b0889//b2763//b1828//b1158//b3883//b1247//b0659//b1139//b1914//b1298//b3351//b1658//b3368//b0047//
go_0005976_5	b4161//
go_0005977_6	b1881//
go_0005978_7	b4064//b2820//b1615//b1072//
go_0005980_7	b3766//selU//b3166//
go_0005986_7	b3935//
go_0005990_7	b2698//b4220//
go_0005992_7	b2196//b3791//
go_0005993_7	b3197//b0409//b0528//
go_0005995_7	b2029//
go_0005998_7	rpnD//
go_0006000_6	b1992//
go_0006001_7	b2891//b1089//
go_0006002_5	b2234//b0467//b2168//
go_0006006_6	b2507//b4419//b0449//b1040//b4243//b0722//b0002//b4177//
go_0006007_7	b3034//b2290//
go_0006011_5	qorA//
go_0006012_6	b3501//b2180//
go_0006013_6	b2835//
go_0006014_6	b1878//
go_0006015_7	b3571//b3547//
