#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b0092//b1670//
AcrR	b2808//b0441//b3213//b1597//b0681//b0591//b3067//b2528//b0034//b1252//b0571//
Ada	b2726//b2483//b2537//b4242//
AdiY	b3133//b2661//b4441//b2367//b3137//b1113//b3124//b1513//
AgaR	b1949//b3169//b3227//b2009//b4289//b0578//b1673//b0997//b4384//b0237//b3225//
AidB	b2911//
AlaS	b3785//
AllR	b0365//b3359//b2713//b2414//b3939//b0066//b2824//b3035//b4005//
AllS	b4347//b4042//b2280//
AlsR	b1507//b0861//b3255//b1939//b2789//b0853//
AppY	b2421//b3966//b3367//b1092//b4396//b0161//b1199//b3966//b2485//b2727//
AraC	b0605//b1296//b1326//b0904//b0447//b3035//b1944//b2737//b1410//b4042//b1762//b4040//b3083//b0589//
ArgP	b1617//cpxQ//b2852//b1791//b2616//b0862//b1679//b2313//b1037//b3077//b1683//b0594//b3073//b4192//
ArgR	b4399//b1817//b2285//b2075//b1256//b3137//b1948//b4484//b3365//b2029//b0578//b2825//b0857//b3508//b2151//b0793//b2557//b1784//b0589//b0620//b0092//b3324//b0774//b1485//b1982//b0313//b0605//b2159//b1611//b1006//b3213//b3013//b1780//b1717//b0557//b2371//b4099//b2722//
ArsR	b2975//b0156//b3903//
AscG	b1091//b1948//b1430//b1072//b2703//
AsnC	b2224//b1011//b2759//b2000//
AtoC	b2236//b0513//b3237//b2605//
BaeR	b3236//b0378//b0583//b1277//b4027//b1591//b3131//b1391//
BasR	b1399//b2663//b2822//b3615//b1246//b0862//b4265//b4151//b2231//b4131//b0153//b2781//b1818//
BetI	b0512//b1513//b3008//b3125//
BirA	b0343//b3828//b1302//b1112//b4310//
BluR	b3038//b1608//b1682//b0863//
BolA	b1921//b1486//
CadC	b3166//b2992//b3961//
CaiF	b3564//b4093//b3451//b1071//b0344//b0293//b2091//b1654//b2571//b2280//
Cbl	b3785//b1796//b3035//b0339//b3081//b2540//b2573//b4004//b3957//
