#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/complex_regulons_bnum.txt
AccB_FadR	b1190//b0857//
AcrR	b0366//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b2752//b2669//b3013//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b0508//b0799//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b2553//b0348//
AcrR_FNR_Fur_SoxR	b3188//
AcrR_FNR_Fur_SoxR_SoxS	b3450//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b2308//
Ada	b4443//b0461//b4467//
Ada_AidB_Lrp	b3753//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b0596//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b1707//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b3062//b0653//b3958//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b3966//b2669//
AdiY_H-NS_IHF	b0179//
AgaR	b2221//b1300//b2537//b2283//b3081//b0810//gadF//
AgaR_CRP	b3037//b0344//b0342//b0728//
AlaS	b2243//
AllR	b3096//b2528//b4484//b2730//b4071//b1889//b0078//b4239//b0089//
AllS	b1883//b2487//b3969//
AlsR	b3581//b4264//b2392//b4291//b2957//b4452//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b0125//b2241//b1246//b1858//b2393//b2287//
AppY_ArcA_YdeO	b0192//b3707//b1616//b0936//
AraC_CRP	b1900//b3057//b3507//b1023//b3408//b0338//b0204//b1857//b0996//
AraC_CRP_XylR	b0154//b2659//b2366//
AraC_NagC	b0060//b4213//
ArcA	b3511//b2801//
ArcA_BetI_Cra	b1650//b1967//b2205//b1113//
ArcA_CRP_CaiF_FNR_H-NS	b0873//b0730//b0757//b0871//b1658//b0073//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	b1482//b0338//b1262//b1548//b4324//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	b0616//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	b3582//
ArcA_CRP_Cra_FNR_NsrR_PdhR	b2077//b2762//
ArcA_CRP_Cra_Fis	b1160//
ArcA_CRP_Cra_IHF_IclR	b0237//b1672//b2375//
ArcA_CRP_DcuR	b4702//
ArcA_CRP_DcuR_DpiA_FNR_NarL	b0516//b3167//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	b3603//
ArcA_CRP_DnaA_FNR	b3902//
ArcA_CRP_DpiA_FNR_NarL	b1791//b2538//b1407//b3977//b1926//b0044//
ArcA_CRP_DpiA_FlhDC	b1265//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	b3601//b3604//
ArcA_CRP_FNR	b2427//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	b0665//b2937//b1888//
ArcA_CRP_FNR_Fis_Fur_PdhR	b3615//
ArcA_CRP_FNR_Fis_IHF_NarL	b2289//
ArcA_CRP_FNR_Fur	b0776//b0708//b4069//b2723//
ArcA_CRP_FNR_Fur_IHF	b2601//b4399//b4698//b2149//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	b0076//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	b0044//
ArcA_CRP_FNR_IHF_NarL	b4027//
ArcA_CRP_FNR_NarL	b1074//
ArcA_CRP_FadR	b0860//b3976//
ArcA_CRP_FadR_HipB	b3237//
ArcA_CRP_FadR_OmpR_PhoP	b1821//
ArcA_CRP_Fis_Mlc_SoxS	b0202//
ArcA_CRP_Fis_XylR	b3131//
ArcA_CRP_Fur_GadX_MqsA	b1937//
ArcA_CRP_GatR	b0723//b0605//b4088//b3966//b4027//b2201//
ArcA_CRP_GlpR	b1540//
ArcA_CRP_IHF	b2312//
ArcA_CRP_PuuR	b0763//b1884//b0365//b0594//b1616//
ArcA_CRP_RhaS	b0035//
ArcA_CRP_TreR	b1819//b1578//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	b3903//b3311//
ArcA_Cra	b1528//
ArcA_Cra_FNR_H-NS_HypT	b2801//b0485//
ArcA_CysB_FNR	b3670//
ArcA_FNR	b0785//b2416//b0052//b4293//b4174//b0508//b2710//b3132//b4124//b3265//b1013//b3070//b3707//b3544//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	b3323//
ArcA_FNR_Fis_IHF_NarL	b2059//b0350//b0722//efeU_2//b3172//b2107//b4439//b3938//b3223//b3117//b0081//b0853//b1707//
ArcA_FNR_Fur_IHF	b4237//
ArcA_FNR_IHF	b0852//b2590//b4408//
ArcA_FNR_IHF_NarL	b4241//b1714//
ArcA_FNR_NarL	b3513//b4099//b3450//b1003//
ArcA_FNR_PhoP	b4249//
ArcA_FNR_PuuR	b1070//b1651//
ArcA_FadR	b3222//b0951//b3665//
ArcA_FadR_Fis	b1393//b1669//
ArcA_Fur_Lrp_ModE	b4316//b0084//b1245//b0508//b2059//
ArcA_GlcC_IHF_PdhR	b0232//b3517//b2530//b4311//b2582//b0078//
ArcA_LexA	b2927//b0750//
ArcA_LldR	b0064//b2822//b2679//
ArcA_NarL	b3525//b0338//b1507//b3609//b0199//b2234//b0987//b2105//
ArcA_NtrC_PhoP_RutR	b3128//b4435//b1576//b2097//b2616//b0106//b0592//
ArgP	b1287//b0385//b1220//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	b1683//b4197//b0971//
ArgP_CRP_FNR_Fur_Nac	b2686//
ArgP_DnaA	b1223//b0874//b4089//
ArgP_Lrp	b0094//b0578//
ArgP_LysR	b1889//
ArgP_PhoB	b2913//
ArgR	b3977//b3113//b2217//b2205//b1062//b2150//b0338//b0151//b3749//b3091//b1950//b3773//b0578//b1649//
ArgR_CRP	b1762//
ArgR_CRP_Fis	b3131//b1567//b0794//b2757//b4015//b0397//b0786//b0388//
ArgR_Fis_IHF_PepA_PurR_RutR	b1335//b0315//
ArgR_H-NS_NtrC	b1925//b3095//b2311//b2486//
ArgR_NtrC	b3744//b1511//b1243//b2231//b3672//
ArgR_PhoP	b2719//
ArsR	b4290//b3728//b0668//
AscG	b1131//
AscG_CRP	b0340//b3329//b4310//
AscG_CRP_PhoB_PrpR	b0806//
AsnC	b4673//
AsnC_MraZ_Nac	b4671//
AsnC_Nac	b1014//b3908//
AtoC_IHF	b3319//b2732//b2367//b3005//
BaeR_CpxR	b2617//b4013//b1079//b0794//b2095//b0756//b4613//
BaeR_CpxR_EvgA	b4202//
BasR	b3063//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	b4073//b1761//b3072//b4132//
BasR_CpxR_PdhR	b3961//b1508//
BasR_Fis	b4292//
BasR_H-NS_IHF_NagC_NanR	b1706//
BasR_MarA_PutA	b3829//
BasR_PhoP	b3227//
BasR_QseB	b3478//b0125//
BirA	b1712//b3186//b3829//b4467//b0783//
BluR	b1738//b1296//b0107//b2687//
BolA	b0998//b4322//
CRP	b3060//b4618//b2095//b4123//b0109//b4088//b1411//b0571//b2240//b4705//b1492//b1102//b3273//b0203//b2990//b1508//b4111//b3851//b1612//b1517//b3231//b0620//b1257//b1948//b2666//b1608//b4085//b2289//b3167//b3123//b3727//b3335//b1736//b2967//b4209//b0666//b4002//b4431//b2996//b2763//b1576//b3329//b1970//b3417//b3625//b1655//b2029//b2841//b1747//b3114//b1080//b0124//b3766//b3926//b0880//b1681//b3581//b0751//b4309//b2755//b3906//b1498//b4000//b2718//b3790//b3919//b1071//b2208//
CRP_CaiF_FNR	b0084//b1476//b2236//b0726//
CRP_ChbR_NagC	b3441//b0439//b3927//b3126//b2957//b3957//
CRP_ComR	b1717//
CRP_CpxR	b3410//
CRP_CpxR_CytR	b1654//
CRP_CpxR_CytR_DnaA_IHF	b3793//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	b1597//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	b0684//b2721//b1939//b3625//
CRP_Cra	b0189//b4323//b0140//b3971//b1706//b1615//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	b2372//b2415//b2341//b4468//
CRP_Cra_FNR_PdhR	b4069//
CRP_Cra_Fis	b2146//
CRP_Cra_Fis_GlcC	b1288//
CRP_Cra_Fis_MtlR	b2605//b2589//b3071//
CRP_Cra_Mlc_NagC	b2197//b0385//b0732//b0978//b0204//b1101//
CRP_Cra_PrpR	b0623//b2605//b4153//b1296//
CRP_CreB_Fis_MalT	b0536//b2482//b2097//
CRP_CsiR_H-NS_Lrp	b0598//b2893//
CRP_CsiR_H-NS_Lrp_Nac	b4008//b4280//b3065//
CRP_CspA_Fis	b2535//
CRP_CytR	b3528//b2286//b4192//
CRP_CytR_DeoR	b1434//b1109//
CRP_CytR_DeoR_Fis_ModE	b2799//b0937//b3049//b2240//
CRP_CytR_Nac	b2485//
CRP_CytR_NsrR	b0796//
CRP_DcuR_FNR_NarL	b3363//
CRP_DinJ-YafQ	b3312//
CRP_DnaA_Fis_PurR	b3409//b0574//
CRP_DpiA_ExuR	b3224//
CRP_DsdC	b0450//b3006//
CRP_EbgR	b0880//b2491//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	b2149//b0508//
CRP_ExuR	b0606//
CRP_ExuR_FNR	b1302//b3908//
CRP_ExuR_OxyR_UxuR	b1073//b1395//
CRP_ExuR_UxuR	b2852//
CRP_FNR	b4613//
CRP_FNR_FhlA_HyfR	b4015//b1790//b1210//b3327//b1623//b1729//b3184//b3607//b1900//b4698//b0673//b0589//
CRP_FNR_Fis	b1481//b2163//b0622//
CRP_FNR_Fis_GlpR_IHF	b1010//b0536//
CRP_FNR_Fis_H-NS_SlyA	b2342//
CRP_FNR_GcvA_Lrp_PurR	b1736//b4016//b1264//
CRP_FNR_H-NS_NarL	b0020//
CRP_FNR_IHF_TdcA_TdcR	b0340//b0411//b3723//b4280//b1530//b2388//b0604//
CRP_FNR_NarL	b3926//b2224//b3227//
CRP_FeaR_NsrR	b3324//
CRP_Fis	b4242//b0232//b0977//b3511//b3793//
CRP_Fis_FlhDC_GalR_GalS	b3481//b0784//
CRP_Fis_FliZ_IHF_Lrp	b1562//
