"Names"	"RegulonSize"	"SpearmanCorrelationMean"	"SpearmanCorrelationMedian"
"aceB"	2	0.714004974508942	0.714004974508942
"aceF"	2	0.772135731342068	0.772135731342068
"adiC"	2	0.393710407465094	0.393710407465094
"araH"	3	0.481349734671141	0.484049717222746
"artP"	2	0.635255716809194	0.635255716809194
"artQ"	2	0.490681049445616	0.490681049445616
"atpH"	6	0.616162450024893	0.616255566560748
"bcsB"	2	0.354374402847096	0.354374402847096
"bcsF"	2	0.573252005856422	0.573252005856422
"betI"	3	0.532136972764675	0.551306388361007
"btuE"	2	0.560090729941937	0.560090729941937
"cadB"	2	0.500750650195676	0.500750650195676
"ccmE"	3	0.49851876205612	0.498788889121479
"ccmH"	3	0.392276310544435	0.389113196336906
"chbR"	2	0.307722460173342	0.307722460173342
"chpR"	2	0.525043818240343	0.525043818240343
"citF"	3	0.375356765065692	0.384654075877005
"cobU"	3	0.332905078373649	0.314819770599131
"csgG"	4	0.600045423747205	0.608799324606916
"cueR"	3	0.442026944710952	0.396218943168567
"cusF"	4	0.463490469087251	0.48271137910324
"cyoE"	5	0.721026572317718	0.707235272762134
"dacA"	2	0.453517912789202	0.453517912789202
"ddpC"	2	0.400626494480845	0.400626494480845
"ddpF"	4	0.332143839036308	0.33210785585454
"deoD"	4	0.494959382864148	0.509451486396123
"dhaM"	3	0.693997281713794	0.668061823230405
"dmsB"	2	0.610689948514867	0.610689948514867
"dnaK"	2	0.636095824248938	0.636095824248938
"dppF"	5	0.556197158126466	0.574590741384324
"edd"	2	0.246175101518784	0.246175101518784
"efeU"	1	1	1
"eptA"	9	0.293488691450619	0.289048128942177
"eutL"	2	0.418321547256719	0.418321547256719
"eutT"	6	0.283078395359058	0.275544129062159
"fabG"	2	0.312097206286023	0.312097206286023
"fadB"	2	0.620725832019316	0.620725832019316
"fdnI"	2	0.415386851121682	0.415386851121682
"fecE"	5	0.485272051225896	0.480339951152642
"fepC"	2	0.471131447644344	0.471131447644344
"fepG"	2	0.513992158454083	0.513992158454083
"fhuD"	4	0.456485339403535	0.466657259841839
"fimH"	4	0.501284757444818	0.485034111577081
"fimI"	3	0.567522703786868	0.599321935174312
"fklB"	3	0.466522617525554	0.413666509656733
"flhD"	2	0.694988600664927	0.694988600664927
"frmR"	2	0.568189794168169	0.568189794168169
"fruK"	3	0.572921834401629	0.6065027003521
"ftsN"	3	0.105168689295427	0.0886414351175801
"gadX"	2	0.658568676283506	0.658568676283506
"galT"	4	0.427574879694499	0.460505818235429
"garR"	5	0.366187586906828	0.369731885607329
"gatZ"	6	0.676846035058753	0.680367902870003
"gcvT"	3	0.737789072785844	0.719577235590972
"glcG"	3	0.616458168614412	0.592517616217828
"glgX"	4	0.652070068554467	0.660064152894961
"glnL"	2	0.624216644108424	0.624216644108424
"glnQ"	3	0.658955354631708	0.671814691992934
"glpT"	8	0.450310527165378	0.441810567489066
"gltB"	2	0.38202205246636	0.38202205246636
"gltL"	2	0.470704508017877	0.470704508017877
"glxR"	2	0.243287860529616	0.243287860529616
"gspB"	2	0.369082055535299	0.369082055535299
"gspD"	2	0.431449211433923	0.431449211433923
"gspF"	2	0.214337462241418	0.214337462241418
"gspM"	2	0.272379320222401	0.272379320222401
"hisQ"	3	0.557766194783644	0.553436037527994
"holC"	4	0.304748112840732	0.285667514020741
"htpG"	3	0.615366196024079	0.62760530548586
"hybC"	2	0.561406727355486	0.561406727355486
"hybG"	3	0.509855032159673	0.506384678415371
"hybO"	3	0.474639541962426	0.411398535080135
"hydN"	11	0.289318823553326	0.293657218959315
"hyfB"	3	0.182222231937243	0.161637870346247
"hyfR"	5	0.161753096290216	0.164049277199461
"ibpB"	2	0.74309752787261	0.74309752787261
"ilvM"	4	0.489553856908886	0.477014010556109
"ilvN"	2	0.725403990265877	0.725403990265877
"iscU"	5	0.576853260212149	0.567803950866393
"iscX"	3	0.577660640909486	0.569491813073906
"kdsD"	2	0.164969119221998	0.164969119221998
"ksgA"	2	0.520284647174409	0.520284647174409
"lacZ"	3	0.449122195724389	0.446950464150116
"lar"	2	0.119906060664854	0.119906060664854
"lldR"	3	0.609355344428282	0.599548263704284
"lpxP"	4	0.293024875030925	0.302203521834537
"lspA"	3	0.469483202002509	0.463808128282018
"lsrR"	8	0.421108782656759	0.418937275680653
"lyx"	2	0.189258989004642	0.189258989004642
"malQ"	8	0.610823348806536	0.602120600077273
"manZ"	3	0.755750144419214	0.730507923566747
"marR"	2	0.621153612999372	0.621153612999372
"mcbA"	2	0.269738659028361	0.269738659028361
"mcrA"	2	0.213703500688287	0.213703500688287
"mdtJ"	2	0.581809403885085	0.581809403885085
"menD"	3	0.410015017858692	0.344030246857354
"metN"	2	0.676128259774861	0.676128259774861
"mglC"	3	0.669982183039877	0.689233208743715
"mhpB"	2	0.389002473986449	0.389002473986449
"mhpF"	2	0.320501508996681	0.320501508996681
"minD"	2	0.162236146995931	0.162236146995931
"minE"	2	0.499262681639584	0.499262681639584
"mnmG"	2	0.527579975500115	0.527579975500115
"moaE"	5	0.528969980224747	0.54224288089589
"mokB"	2	0.494882612708289	0.494882612708289
"mpl"	2	0.279260827641489	0.279260827641489
"mprA"	3	0.209136427364705	0.236830043044872
"mraZ"	4	0.308212324153782	0.291919687442
"mrp"	2	0.176469915803473	0.176469915803473
"murE"	2	0.395050549473825	0.395050549473825
"nagB"	2	0.475812411856219	0.475812411856219
"nanM"	2	0.34153056420985	0.34153056420985
"napF"	2	0.224408945117634	0.224408945117634
"napH"	5	0.470793101048384	0.473261406684675
"narJ"	3	0.58354949100984	0.579548251981422
"narZ"	2	0.546168637912996	0.546168637912996
"nirD"	3	0.407090511735767	0.37214838050817
"nrdG"	2	0.601126969501366	0.601126969501366
"nrdI"	4	0.607992627115848	0.602561587195171
"nrfC"	3	0.526822885017635	0.509163013694232
"nuoB"	2	0.755064075503871	0.755064075503871
"nuoN"	11	0.644201283569907	0.634950507188754
"oppF"	5	0.622128185267679	0.639455816309076
"paaI"	9	0.334837401335837	0.337633262255157
"pdhR"	2	0.154226302250807	0.154226302250807
"pdxK"	3	0.158193675533828	0.173910224151493
"pflB"	2	0.466049248897731	0.466049248897731
"pgk"	3	0.48254960555141	0.459148930485174
"pheL"	2	0.246059521729792	0.246059521729792
"phnE"	2	0.411023940167004	0.411023940167004
"phnL"	4	0.398346722391769	0.376194342898792
"pntA"	2	0.350454328428631	0.350454328428631
"polA"	2	0.0597513269757794	0.0597513269757794
"potH"	7	0.269235609457182	0.0905975707441945
"ppa"	2	0.266978928388858	0.266978928388858
"ppdD"	2	0.2288752951482	0.2288752951482
"ppx"	2	0.351237756412312	0.351237756412312
"proX"	3	0.606957914395983	0.594856641901341
"prpD"	3	0.525645856269288	0.536787607240957
"pspD"	4	0.614308299671129	0.629848271618157
"pstB"	2	0.544628776865793	0.544628776865793
"pstS"	3	0.587208205026961	0.589296003399804
"purT"	10	0.525274106962209	0.512176177530227
"putP"	2	0.387555654506597	0.387555654506597
"puuR"	4	0.51260468357562	0.501900826283739
"pyrI"	6	0.540318913177148	0.51607223524492
"rbsK"	5	0.506812958425184	0.527385203478804
"rcsD"	2	0.276287905717912	0.276287905717912
"recQ"	2	0.189859705142577	0.189859705142577
"relE"	2	0.583135063191495	0.583135063191495
"rhaB"	2	0.473133680976609	0.473133680976609
"ribF"	4	0.287496733314835	0.246588938378522
"rlpB"	3	0.258561874525508	0.20911915380586
"rluA"	2	0.496999776908865	0.496999776908865
"rpmI"	2	0.644112499740144	0.644112499740144
"rpoN"	2	0.528263445489518	0.528263445489518
"rseA"	2	0.681484399541097	0.681484399541097
"rsxB"	2	0.625994864786209	0.625994864786209
"rtcR"	2	0.184831107449473	0.184831107449473
"rutG"	7	0.251371677674613	0.248182768466598
"ryhB"	1	1	1
"sapD"	3	0.432775215331325	0.4362301990564
"serC"	2	0.582555651702268	0.582555651702268
"sfmH"	2	0.402850075507459	0.402850075507459
"slyA"	2	0.275063706215458	0.275063706215458
"smpB"	2	0.184795166866727	0.184795166866727
"srlE"	5	0.583864421591537	0.614555995389685
"sseB"	2	0.370254112217367	0.370254112217367
"sspB"	2	0.529130908483563	0.529130908483563
"sucD"	13	0.556635824348313	0.550549811997234
"sufS"	6	0.680700301231215	0.685881940684252
"tatA"	2	0.140373669301094	0.140373669301094
"tdcG"	7	0.386756374330085	0.391432634673683
"tdh"	5	0.309996884524059	0.133083463930774
"tdk"	2	0.401956077743493	0.401956077743493
"thrC"	3	0.691508061471137	0.698892856722819
"tnaC"	3	0.511216769862725	0.534753169586464
"tolC"	4	0.229010983643026	0.18117746206904
"tolR"	3	0.560840254731381	0.59887675138288
"treC"	2	0.677471296344311	0.677471296344311
"trmI"	2	0.27730097872617	0.27730097872617
"trpL"	5	0.17251498764629	0.115750475234916
"truB"	2	0.286573058138222	0.286573058138222
"truD"	3	0.221650142941963	0.127649850813221
"trxA"	2	0.143308620974635	0.143308620974635
"trxB"	2	0.273733191028604	0.273733191028604
"tyrA"	2	0.609909835068158	0.609909835068158
"tyrB"	3	0.325861475989652	0.332881058295866
"upp"	5	0.374963338136805	0.352463813929135
"uraA"	3	0.559870482393932	0.564921556330236
"usg"	2	0.390921736045156	0.390921736045156
"visC"	4	0.211517273184101	0.218555224117547
"waaU"	11	0.478824622932363	0.5067584279247
"wbbL"	11	0.60943387650743	0.621367077230524
"wcaE"	2	0.486392199690123	0.486392199690123
"wcaL"	5	0.162023852335946	0.142284284844187
"wzxE"	2	0.310295886359823	0.310295886359823
"xerD"	2	0.266287666332219	0.266287666332219
"xylA"	2	0.28389662673113	0.28389662673113
"yaaW"	2	0.312377074738062	0.312377074738062
"yadM"	2	0.462514480130093	0.462514480130093
"yaeB"	2	0.250733700529333	0.250733700529333
"yaeI"	2	0.119407743691175	0.119407743691175
"yafZ"	2	0.235585630960186	0.235585630960186
"yajG"	4	0.42276351148222	0.393662079993116
"ybaN"	5	0.512224431812909	0.5021954570525
"ybbC"	2	0.377364609856685	0.377364609856685
"ybbW"	5	0.233502686233836	0.208107760391451
"ybcO"	2	0.240475062076616	0.240475062076616
