"Names"	"RegulonSize"	"SpearmanCorrelationMean"	"SpearmanCorrelationMedian"
"Ada-Methylated"	4	0.192711789673249	0.20010475854647
"AlaS-L-alanine"	1	1	1
"AllS-allantoin"	3	0.257597564043294	0.298816636782892
"AraC-L-arabinose"	14	0.170786608503324	0.158112355176496
"ArcA-Phosphorylated"	175	0.1628358188274	0.133995846377597
"ArgP-L-arginine"	16	0.125869777168602	0.0942382939637864
"ArgR-L-arginine"	38	0.170108264650117	0.136136116717687
"AtoC-phosphorylated"	4	0.268424497807519	0.27023262248327
"BaeR-Phosphorylated"	8	0.15341809651784	0.146905975843657
"BirA-bio-5-AMP"	5	0.511666559900828	0.514336899112241
"CRP-cAMP"	520	0.146471258049203	0.122723843836158
"ChbR-Monoacetylchitobiose-6P"	6	0.205436057298039	0.203278653829294
"CpxR-Phosphorylated"	65	0.093266858833373	0.0735120961790249
"CreB-Phosphorylated"	9	0.150000038480918	0.0597730756369025
"CueR-Ag"	7	0.309753237909173	0.362042778293031
"CueR-Cu+"	7	0.309753237909173	0.362042778293031
"CuerR-Au"	7	0.309753237909173	0.362042778293031
"CusR-Pasp"	12	0.229708243390511	0.101991964093453
"CynR-Cyanate"	4	0.236389948579525	0.231437354437589
"CysB-N-acetyl-L-serine"	30	0.186385046435447	0.10783399315026
"CysB-O-acetyl-L-serine"	31	0.179057763495823	0.104006947959214
"DcuR-Phosphorylated"	9	0.273806241709968	0.185381803614099
"DnaA-ATP"	12	0.204577708832875	0.162769097847217
"DpiA-Pasp"	11	0.149950461651239	0.0633541308066496
"DsdC-D-serine"	3	0.269075640803575	0.226286455876899
"EvgA-Phosphorylated"	14	0.164372821675418	0.15761917853085
"FNR-Fe_reduced"	303	0.111103991912433	0.085319846637973
"FhlA-Formate"	30	0.161267845875908	0.149283117978856
"FucR-L-fuculose-1-phosphate"	7	0.298753453719486	0.306719577561179
"Fur-Fe2+"	138	0.174665462821579	0.1363787135746
"Fur-Mn2+"	138	0.174665462821579	0.1363787135746
"GlcC-Acetate"	7	0.430029499492445	0.392951230586476
"GlcC-Glycolate"	7	0.430029499492445	0.392951230586476
"IclR-pyruvate"	4	0.311788674352488	0.287778364801711
"IdnR-5-ketogluconate"	8	0.157021905157017	0.0761260477287548
"IdnR-Idonate"	8	0.157021905157017	0.0761260477287548
"IlvY-2-acetolactate"	2	0.0256439380022435	0.0256439380022435
"IlvY-Alfa-acetohydroxybutirate"	2	0.0256439380022435	0.0256439380022435
"IscR-2Fe"	41	0.168952250606666	0.125292502171764
"LldR-L-lactate"	3	0.609355344428282	0.599548263704284
"Lrp-Leucine"	69	0.147213294181636	0.113808513657733
"LsrR"	9	0.392736364665565	0.39634106574232
"MalT-ADP-Maltotriose"	10	0.46799955229815	0.513931379800672
"MalT-Maltotriose-ATP"	10	0.46799955229815	0.513931379800672
"MelR-Melibiose"	3	0.357088237086787	0.293545110597403
"MetJ-S-adenosylmethionine"	15	0.248020020373619	0.239702835561539
"MetR-L-homocysteine"	5	0.137871298460604	0.0743037968977427
"MhpR-3-DHPP"	6	0.284722099672521	0.271142840453146
"MhpR-3HPP"	6	0.284722099672521	0.271142840453146
"MntR-Cd2+"	4	0.173879267638447	0.174262614806569
"ModE-MoO42-"	46	0.127067425249475	0.0873195407766456
"NarL-Phosphorylated"	125	0.116212914280902	0.0888438406652964
"NarP-Phosphorylated"	50	0.136031522827259	0.102769460653027
"NhaR-Na+"	7	0.139873052457537	0.100897119782706
"NikR-Cd2+"	6	0.331680968283996	0.379021927284529
"NikR-Co2+"	6	0.331680968283996	0.379021927284529
"NikR-Cu2+"	6	0.331680968283996	0.379021927284529
"NikR-Ni2+"	6	0.331680968283996	0.379021927284529
"NikR-Zn2+"	6	0.331680968283996	0.379021927284529
"NrdR-ATP"	9	0.21872416239433	0.0974090497640835
"NrdR-Zn2+"	9	0.21872416239433	0.0974090497640835
"NrdR-dATP"	9	0.21872416239433	0.0974090497640835
"NsrR-2Fe"	72	0.0894631027674223	0.065892144488338
"PhoB-Phosphorylated"	60	0.0980576873646327	0.0668346953249168
"PhoP-Phosphorylated"	55	0.130441720629045	0.101029146653405
"PrpR-2-methylcitrate"	5	0.426065017472586	0.415289860971604
"PurR-Guanine"	34	0.281167910962883	0.252195251791264
"PurR-Hypoxanthine"	34	0.281167910962883	0.252195251791264
"QseB-Phosphorylated"	4	0.260546001531297	0.154414073989056
"RhaR-L-rhamnose"	2	0.361706901723111	0.361706901723111
"RhaS-L-rhamnose"	6	0.292767029037657	0.276767296811083
"RstA-Phosphorylated"	10	0.195297858223216	0.0682339395826228
"SoxR-2Fe_oxydized"	4	0.162726289141219	0.11424464549744
"TorR-Phosphorylated"	10	0.155245042949966	0.0753900517467278
"TrpR-Tryptophan"	12	0.206050398984342	0.147599086394565
"TyrR-L-tryptophan"	14	0.109806351763223	0.0870505575775944
"TyrR-Phenylalanine"	14	0.109806351763223	0.0870505575775944
"TyrR-Tyrosine"	14	0.109806351763223	0.0870505575775944
"UhpA-Phosphorylated"	1	1	1
"XapR-xanthosine"	2	0.0577012632373762	0.0577012632373762
"XylR-Xylose"	6	0.297454755512156	0.272205796912385
"ZntR-Cd2+"	1	1	1
"ZntR-Hg"	1	1	1
"ZntR-Zn2+"	1	1	1
"ZraR-Phosphorylated"	3	0.176094010530181	0.162719589940023
"Zur-Zn2+"	6	0.382409896926304	0.333171002692317
