"Names"	"RegulonSize"	"SpearmanCorrelationMean"	"SpearmanCorrelationMedian"
"GO_0031640_3"	5	0.0974669133678729	0.0507036590069705
"GO_0051715_4"	1	1	1
"GO_0044179_5"	1	1	1
"GO_0051883_4"	4	0.11765642556271	0.0890054145212829
"GO_0001907_5"	4	0.11765642556271	0.0890054145212829
"GO_0039633_6"	4	0.11765642556271	0.0890054145212829
"GO_0044659_7"	4	0.11765642556271	0.0890054145212829
"GO_0002252_3"	10	0.192377958336962	0.175105118596814
"GO_0051607_4"	10	0.192377958336962	0.175105118596814
"GO_0042445_3"	14	0.249547711407647	0.261605348455085
"GO_0042446_4"	1	1	1
"GO_0009697_5"	1	1	1
"GO_0042447_4"	13	0.282753657524679	0.279143282035855
"GO_0009852_5"	13	0.282753657524679	0.279143282035855
"GO_0010124_4"	13	0.282753657524679	0.279143282035855
"GO_0009696_4"	1	1	1
"GO_0009850_4"	13	0.282753657524679	0.279143282035855
"GO_0042440_3"	14	0.0826200005067071	0.046242758146351
"GO_0046148_4"	14	0.0826200005067071	0.046242758146351
"GO_0009113_5"	5	0.164358187792402	0.03671861556211
"GO_0046101_6"	3	0.343675588307628	0.0155133824614416
"GO_0043103_7"	1	1	1
"GO_0046084_6"	2	0.375904391839448	0.375904391839448
"GO_0006168_7"	2	0.375904391839448	0.375904391839448
"GO_0043096_6"	3	0.163090537195334	0.0890971364770928
"GO_0006178_7"	1	1	1
"GO_0046099_6"	1	1	1
"GO_0006783_5"	9	0.0663851071739511	0.0486318849204176
"GO_0019354_6"	1	1	1
"GO_0048034_6"	1	1	1
"GO_0042168_4"	9	0.0663851071739511	0.0486318849204176
"GO_0046156_5"	1	1	1
"GO_0048033_5"	1	1	1
"GO_0055114_3"	189	0.093666813391372	0.0710543383526527
"GO_0034440_4"	20	0.139208208140405	0.0995668187239148
"GO_0019395_5"	20	0.139208208140405	0.0995668187239148
"GO_0006635_6"	17	0.167915654735254	0.12926302400278
"GO_0033539_7"	3	0.108900340242758	0.106964869807574
"GO_0033542_7"	2	0.390164086932895	0.390164086932895
"GO_0033543_8"	1	1	1
"GO_0001561_6"	1	1	1
"GO_0070989_4"	1	1	1
"GO_0035513_5"	1	1	1
"GO_0035553_6"	1	1	1
"GO_0035511_5"	1	1	1
"GO_0035552_6"	1	1	1
"GO_0015944_4"	7	0.202105659671112	0.0920905892892153
"GO_0019419_4"	2	0.741703227785631	0.741703227785631
"GO_0019379_5"	1	1	1
"GO_0019480_4"	1	1	1
"GO_0019516_4"	2	0.0319914213727684	0.0319914213727684
"GO_0006740_4"	2	0.614222776517467	0.614222776517467
"GO_0015980_4"	86	0.131702015951338	0.101008094400439
"GO_0006112_5"	8	0.342837120230062	0.227459815496814
"GO_0005977_6"	8	0.342837120230062	0.227459815496814
"GO_0005980_7"	3	0.332226515693135	0.226200083027933
"GO_0005978_7"	4	0.374002537972	0.341721357162458
"GO_0045333_5"	74	0.141014937458703	0.108958542022542
"GO_0009061_6"	55	0.132311576342008	0.105113830282992
"GO_0009060_6"	26	0.236147757417066	0.168206504968542
"GO_0019646_6"	9	0.293878596007289	0.195629394673313
"GO_0006113_5"	13	0.241654342689738	0.216463409532102
"GO_0019666_4"	3	0.150827740188113	0.16012179161722
"GO_0019660_5"	2	0.0327677204979046	0.0327677204979046
"GO_0019664_6"	2	0.0327677204979046	0.0327677204979046
"GO_0019665_5"	1	1	1
"GO_0019662_6"	2	0.290279721382946	0.290279721382946
"GO_0019588_7"	2	0.290279721382946	0.290279721382946
"GO_0022900_4"	24	0.159508802667458	0.124371065732866
"GO_0022904_5"	21	0.170762174569841	0.131397362058972
"GO_0019645_6"	8	0.216412981170081	0.185565722953808
"GO_0042773_6"	1	1	1
"GO_0070988_3"	2	0.340613804535941	0.340613804535941
"GO_0080111_4"	2	0.340613804535941	0.340613804535941
"GO_0044281_3"	705	0.123855014437343	0.10314581960926
"GO_0019627_4"	7	0.259623519249011	0.272271926307874
"GO_0000050_5"	7	0.259623519249011	0.272271926307874
"GO_0006066_4"	32	0.117591900108752	0.0932225564207894
"GO_0046435_5"	3	0.322586898366176	0.2967387380097
"GO_0019622_6"	3	0.322586898366176	0.2967387380097
"GO_0046165_5"	7	0.110481567266056	0.113100110176837
"GO_0046173_6"	2	0.116218650403306	0.116218650403306
"GO_0034312_7"	2	0.116218650403306	0.116218650403306
"GO_0006729_6"	2	0.116218650403306	0.116218650403306
"GO_0016094_6"	2	0.225986195151919	0.225986195151919
"GO_0034309_6"	3	0.0418028121628319	0.0067670614392006
"GO_0071271_7"	2	0.0051870608708691	0.0051870608708691
"GO_0006115_6"	1	1	1
"GO_0046164_5"	22	0.128387218629271	0.0978642948918482
"GO_0034310_6"	6	0.221050258875559	0.151280308597717
"GO_0046336_6"	1	1	1
"GO_0046296_6"	5	0.271395555070076	0.210076213299884
"GO_0046174_6"	13	0.16760418463112	0.153710334905495
"GO_0019405_6"	10	0.179598784873187	0.152632178045723
"GO_0019563_7"	6	0.189953421379609	0.133230252487005
"GO_0019407_7"	4	0.241883247702395	0.23660334644716
"GO_0006062_8"	1	1	1
"GO_0019592_8"	1	1	1
"GO_0019404_8"	2	0.526219030711096	0.526219030711096
"GO_0071545_6"	2	0.248424808158047	0.248424808158047
"GO_0046855_6"	2	0.248424808158047	0.248424808158047
"GO_0033518_6"	1	1	1
"GO_0034313_7"	1	1	1
"GO_0042846_8"	1	1	1
"GO_0019751_5"	16	0.14833177816992	0.13835788682631
