 # Turned to bnumbers using /Users/Daniela/Documents/CCG/GU_art_2/coexpression/scripts/gene_name_to_bnumber.pl on Mon May 14 11:46:18 2018 from /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt using /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/gene_links.txt
# From /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/scripts/create_datasets.pl on Wed May  9 11:33:01 2018
# Input = /Users/Daniela/Documents/CCG/datasets/TRN/tf_gene.txt
# /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/TF_active.txt
# /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/TF_inactive.txt
#GU name	Genes
AcrR	b0464//
Ada	b2213//b2068//b2212//
AgaR	b3138//b3139//b3140//b3141//b3131//b3136//b3137//
AlaS	b2697//
AllR	b0505//b0512//b0504//b0507//b0514//b0509//b0508//b0511//b0513//
AllS	b0516//b0517//b0515//
AlsR	b4087//b4088//b4086//b4085//b4090//b4089//
ArcA	b4450//b1528//
ArgP	b0031//b0166//b4024//
ArgR	b2818//b3959//b3958//b3957//b0273//b3960//b4254//b3237//b0863//b0860//b0861//b0864//b0862//b0874//
ArsR	b3502//b3503//b3501//
AscG	b0473//
AsnC	b3744//
BasR	b4042//
BirA	b0774//b0775//b0777//b0778//b0776//
BluR	b1166//b1164//b1165//b1167//
BolA	b4150//b0839//
CRP	b3241//b3240//b3243//b3242//b1002//b0110//b0111//b0191//b4663//b1111//b4213//b0598//b3806//b0145//b3049//b3425//b3424//b3423//b3608//b2614//b4175//b4174//b4173//b4172//b0107//b0106//b3395//b3394//b3393//b3392//b3671//b3670//b3672//b0345//b1613//b4426//b0346//b0109//b2469//b0192//b0957//b2584//b0108//b2147//b2146//b4201//b2597//b0953//b0189//b4203//b4200//b4202//b3609//b0146//b1272//b2965//b3864//b0959//b3781//b2232//b2509//b4406//b0190//b1205//b2171//b4502//b3356//b4671//
CdaR	b0162//b3128//b2787//b2789//b2788//
CecR	b0796//b0794//b0795//b0792//b0793//
CpxR	b3057//b1888//b1887//b3911//b4484//cpxQ//b3912//b3860//b2893//b1016//efeU_2//b1902//b2665//b1113//b0925//b1890//b1889//b4159//b3096//b0441//b4160//b3859//b0377//b4392//b4355//b2580//b0378//b0970//b1846//b3688//b2666//b3095//
Cra	b2779//b3613//b2097//b2167//b2169//b2168//b2388//b3612//b3916//b3956//b1702//b1676//b3919//b1780//b3614//
CreB	b2464//
CsgD	b0385//b0382//b3661//b0237//b1004//b1003//b0964//b3156//b3157//
CueR	b0484//b0123//
CynR	b0338//b0340//b0339//b0341//
CysB	b2750//b2752//b2414//b2751//b1379//b1729//b1287//b2291//b2852//b1810//
Dan	b3061//b3062//b3060//b3063//
DhaR	b1200//b1199//b1198//b1201//
DicA	b1575//b1569//b1578//b1579//b1576//b1577//b1567//b1568//
DnaA	b3863//b4670//
EvgA	b2374//b2373//b2085//yegZ//b2371//b2372//b2375//
FNR	b4401//b3532//b3531//b1883//b1884//b1882//b1881//b4699//b4326//b0814//b2503//b1127//b3493//b2608//b2606//b2609//b1885//b1886//b2607//b2498//b2497//b2866//b2867//b2868//b1220//b1537//b3830//
FadR	b0185//b2316//b1092//b1093//b1091//b1288//b0443//b1187//
FeaR	b1386//
Fis	b2397//b2396//b0050//b0049//b0536//b2348//b3796//b0216//b1000//b0999//b1566//b0670//b0665//b0668//b0664//b2400//b3978//b2864//b3699//b3797//b4369//b4370//b3798//b4368//b0672//b4270//b0743//b2404//b0745//b0673//b0666//b4219//b0052//b4134//b2967//b3545//b2189//b3799//b0405//b0051//b0971//b1032//b3979//b3976//b0244//b1274//b1229//b3965//b3980//b1231//b3977//b1230//b0744//b2401//b2402//b2403//
FlhDC	b1072//b1073//b1074//b1075//b1076//b1077//b1078//b1079//b1080//b1081//b1082//b1083//b1879//b1880//b1878//b1924//b1944//b1945//b1946//b1947//b1948//b1949//b1950//b1925//b1926//b0655//b0654//b0653//b0652//b3525//b2826//b2825//b2823//b2822//sroC//b1194//b2737//b2824//
FliZ	b2127//
Fur	b0240//b0591//b3006//b3005//b4293//b4292//b0588//b0590//b0589//b0150//b0153//b0151//b0152//b1102//b0755//b3938//b1548//b4451//b1546//b1252//b1547//b2671//b3441//b4567//
GadX	b0674//b3966//b0439//b3967//b1333//b0485//b0486//
GcvA	b2808//b4443//
H-NS	b3665//b4116//b3338//b0921//b3323//b3322//b1967//b4480//b0924//b0923//b0922//b2217//b2216//b4364//
HU	b0688//b0687//
HcaR	b2541//b2540//b2542//b2538//b2539//b2537//
IHF	b2435//b2436//b0139//b3686//b0912//b3494//b0140//
IlvY	b3774//b3773//
