# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	narZ//
go_0000025_7	hisI//
go_0000027_7	purC//purD//garK//pphA//
go_0000028_7	aldA//
go_0000032_8	uvrC//
go_0000041_8	bioD//
go_0000050_5	ycaO//hisI//yjhH//pgk//poxB//
go_0000053_5	tag//
go_0000096_5	guaC//
go_0000101_6	cfa//
go_0000103_5	gutQ//waaH//
go_0000105_6	pfkB//pdeH//ispF//rluE//sucA//gldA//ahr//
go_0000160_5	gatY//
go_0000162_7	pphB//thiH//nirB//murQ//gshA//cdsA//dkgA//ilvN//wzc//
go_0000270_7	yfeW//pcm//deoB//menF//dgoA//mtn//accC//truC//ftnA//ghrB//
go_0000271_6	recR//
go_0000302_5	fdhF//
go_0000303_6	mnmC//pabB//
go_0000305_5	
go_0000372_11	
go_0000413_9	purN//yagF//pfkA//rfaE//tyrB//glpK//alkB//
go_0000453_8	lpxL//dkgA//hisG//hemF//
go_0000455_9	pyrF//hyaA//queF//mrcA//astC//truD//prpC//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	paaB//
go_0000726_7	hcaE//
go_0000731_7	araB//aspS//
go_0000737_7	
go_0000738_7	ruvA//lacZ//
go_0000746_4	
go_0000820_7	accD//
go_0000902_5	
go_0000910_4	udp//nadD//ndk//
go_0000917_6	
go_0000918_6	
go_0000920_3	thrB//
go_0000921_6	
go_0000967_10	prmC//
go_0001101_4	mltC//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	speC//
go_0001510_5	garK//rbsK//
go_0001514_8	kduI//
go_0001522_7	mngB//trpC//nfsB//edd//
go_0001558_5	
go_0001561_6	mtn//
go_0001676_6	epmC//
go_0001680_11	bglX//
go_0001682_11	hemA//hmp//
go_0001731_7	
go_0001762_6	ulaF//
go_0001887_4	cpsG//leuS//
go_0001896_5	rlmF//
go_0002047_6	cysK//uxaB//
go_0002097_8	rutE//
go_0002098_9	yeaG//nth//guaB//aroD//
go_0002099_9	ileS//ahr//
go_0002100_9	rlmB//
go_0002101_9	clsC//
go_0002128_7	argD//
go_0002131_9	entE//
go_0002132_9	lyxK//
go_0002136_10	gudD//
go_0002143_9	asnB//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	gcd//
go_0002938_8	araB//
go_0002939_7	lpoA//
go_0002943_8	ydfG//
go_0002949_8	gudD//ulaE//hemH//
go_0003333_7	selA//gshA//pdeR//dinB//fre//yeaE//adhE//gutQ//gabT//coaE//pepD//rutC//trpS//
go_0005975_4	yidA//wzc//gmhB//putA//cysC//menB//ilvI//ribD//rsmJ//ttdB//entC//fucI//lpxM//cysQ//nudG//pabA//
go_0005976_5	dgcM//
go_0005977_6	psd//
go_0005978_7	ldtB//tcdA//mrcA//fabB//
go_0005980_7	hisS//malS//ydiF//
go_0005986_7	amiD//
go_0005990_7	dusC//
go_0005992_7	truB//epmA//
go_0005993_7	ligA//lpcA//sseA//
go_0005995_7	phr//
go_0005998_7	glpB//
go_0006000_6	pgi//
go_0006001_7	mltF//hemF//
go_0006002_5	mtn//tyrS//ttdB//
go_0006006_6	ppx//prpB//pdeF//yqhD//fruK//
go_0006007_7	yigB//sdhB//
go_0006011_5	iscS//
go_0006012_6	nrdE//
go_0006013_6	ilvH//
go_0006014_6	ada//
go_0006015_7	ogt//fadD//
go_0006020_5	phnH//
go_0006044_7	cobU//
go_0006046_8	ttdB//hisI//
go_0006047_5	plsB//metB//
go_0006048_6	lyxK//cysS//tyrA//nrdE//
go_0006053_8	rlmD//
go_0006062_8	rsmC//
go_0006071_6	serS//moaA//
go_0006072_6	fklB//
go_0006082_4	rsmJ//
go_0006083_6	rluF//uvrA//hyaC//
go_0006086_8	hemA//pgpB//
go_0006090_8	moaE//galT//phnO//fadA//rsmC//uxaB//argG//
go_0006094_7	dgoA//tig//sdhC//mhpB//bioB//folD//mocA//proA//cpdA//
go_0006096_6	pgpA//waaL//pgsA//iscS//gcvH//cmk//paaG//ada//fabZ//speC//paaH//paaF//fklB//
go_0006097_5	dapA//cysM//prpD//metH//alaS//
go_0006098_6	dusC//aroF//ssuD//cadA//paaZ//
go_0006099_4	yegS//ravA//yeaG//hmp//nagZ//ndh//rsmB//wzc//rsmE//btuE//rne//ansB//gudD//
go_0006103_5	cobB//ogt//thiL//yccX//
go_0006104_6	lpxC//
go_0006105_5	ugd//
go_0006106_8	paaC//
go_0006107_8	
go_0006108_8	tsaC//waaC//aphA//leuB//
go_0006113_5	nudC//nfi//
go_0006115_6	fbaA//
go_0006124_6	
go_0006144_6	
go_0006145_7	abgB//
go_0006146_8	ldtE//
