# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	gutQ//
go_0000025_7	ampH//
go_0000027_7	insI-1//fumC//cynT//apaH//
go_0000028_7	nanA//
go_0000032_8	astB//
go_0000041_8	pncB//
go_0000050_5	argB//mraY//kdsD//asd//patZ//
go_0000053_5	ldcC//
go_0000096_5	nrdB//
go_0000101_6	umuC//
go_0000103_5	ygeX//tdcD//
go_0000105_6	pyrG//fumC//ubiX//garK//menB//tadA//cysD//
go_0000160_5	edd//
go_0000162_7	speF//aceF//rsmH//sdhD//pgpA//sgbU//mnmC//lpxK//argB//
go_0000270_7	yfbR//bioF//mraY//cysG//recF//lpxC//fdhF//trmO//lsrG//yihX//
go_0000271_6	fumC//
go_0000302_5	eutB//
go_0000303_6	plsC//lpxK//
go_0000305_5	
go_0000372_11	
go_0000413_9	argC//pagP//torC//bacA//sdaB//narZ//yfeX//
go_0000453_8	sdaB//otsB//garR//astC//
go_0000455_9	wzb//cpsG//ubiF//rsuA//purN//umpG//narY//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	lpoB//
go_0000726_7	waaY//
go_0000731_7	tyrB//gcvT//
go_0000737_7	
go_0000738_7	uxuA//trmA//
go_0000746_4	
go_0000820_7	pdxH//
go_0000902_5	
go_0000910_4	kdsD//leuD//der//
go_0000917_6	
go_0000918_6	
go_0000920_3	sodC//
go_0000921_6	
go_0000967_10	yieF//
go_0001101_4	eno//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	entH//
go_0001510_5	ligA//metH//
go_0001514_8	ybcF//
go_0001522_7	fumA//clsA//mrcA//dapD//
go_0001558_5	
go_0001561_6	speG//
go_0001676_6	rluC//
go_0001680_11	hemC//
go_0001682_11	rhaA//pphB//
go_0001731_7	
go_0001762_6	yfdR//
go_0001887_4	yihX//dcd//
go_0001896_5	purU//
go_0002047_6	yagF//murI//
go_0002097_8	pheT//
go_0002098_9	phnN//ribE//cobT//ymdB//
go_0002099_9	ppx//ssuE//
go_0002100_9	ascB//
go_0002101_9	appA//
go_0002128_7	mrcA//
go_0002131_9	moaA//
go_0002132_9	gcvP//
go_0002136_10	gapA//
go_0002143_9	uxaB//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	lipB//
go_0002938_8	mhpD//
go_0002939_7	ynfH//
go_0002943_8	ddlA//
go_0002949_8	ansB//panB//metH//
go_0003333_7	puuC//hisA//queG//gloB//fucA//recR//ppiA//polB//cysC//yegS//trmO//fabB//hemB//
go_0005975_4	phoA//uxuB//mobA//ssuE//entF//hemA//astC//gpmM//glmS//nadC//murD//ubiE//entF//ilvA//mutH//wzc//
go_0005976_5	glcB//
go_0005977_6	nudG//
go_0005978_7	orn//prpB//caiD//ribD//
go_0005980_7	yegS//argG//napB//
go_0005986_7	lipB//
go_0005990_7	fabB//
go_0005992_7	ulaE//ddlB//
go_0005993_7	pfkA//ruvA//glpK//
go_0005995_7	ynfH//
go_0005998_7	murE//
go_0006000_6	nrdD//
go_0006001_7	yqaB//sdhB//
go_0006002_5	accD//argC//gcl//
go_0006006_6	mazG//pheA//hcaE//kdsD//fumA//
go_0006007_7	hemN//tadA//
go_0006011_5	cysK//
go_0006012_6	menI//
go_0006013_6	icd//
go_0006014_6	mnmG//
go_0006015_7	cobS//hycB//
go_0006020_5	murI//
go_0006044_7	gabT//
go_0006046_8	deoD//adhE//
go_0006047_5	dmsA//glxK//
go_0006048_6	leuB//yjcS//mepS//rne//
go_0006053_8	glgC//
go_0006062_8	lsrK//
go_0006071_6	glcD//pykF//
go_0006072_6	yigB//
go_0006082_4	murC//
go_0006083_6	gph//otsB//rlmE//
go_0006086_8	rfbB//rutC//
go_0006090_8	ung//gntK//panE//aroA//tcdA//accD//talB//
go_0006094_7	nagA//hisB//pdeF//ushA//mocA//icd//yihT//kdsA//pyrE//
go_0006096_6	btuR//manA//glpC//nudC//ansB//rutA//fadH//phnM//ldtA//xdhB//alkB//dld//argS//
go_0006097_5	fruK//patA//lpd//narZ//sucB//
go_0006098_6	tktB//fbp//moeA//rpiB//citC//
go_0006099_4	glpD//gapA//yghU//manA//hisD//waaS//sthA//yagE//thrS//aphA//mnaT//der//waaH//
go_0006103_5	murA//wrbA//trmA//orn//
go_0006104_6	dadA//
go_0006105_5	cheB//
go_0006106_8	hisF//
go_0006107_8	
go_0006108_8	bioB//yjhH//yeiG//rutC//
go_0006113_5	sufS//pyrC//
go_0006115_6	mak//
go_0006124_6	
go_0006144_6	
go_0006145_7	glmM//
go_0006146_8	hyaC//
go_0006148_9	purB//
go_0006149_9	fumA//
go_0006150_9	tcdA//
go_0006152_7	rrrD//cysS//paaJ//frlB//ubiX//
go_0006154_6	ribE//
go_0006161_9	guaD//
go_0006163_6	pgm//
go_0006164_7	nanE//mutL//entD//cyaA//
go_0006166_6	yihX//
go_0006168_7	dmsA//ydiF//
go_0006171_9	
go_0006172_9	puuC//
go_0006177_9	yeiG//
go_0006178_7	dhaL//
go_0006183_9	rlmL//
go_0006189_10	pdeR//metE//
go_0006203_8	rlmF//nirB//
go_0006206_6	hinT//tgt//dhaM//
