# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	puuB//
go_0000025_7	nadD//
go_0000027_7	rsmE//caiB//trpS//rfaE//
go_0000028_7	sdhB//
go_0000032_8	ilvE//
go_0000041_8	galE//
go_0000050_5	aroH//nadB//hyaC//phnI//adhP//
go_0000053_5	guaB//
go_0000096_5	yrfG//
go_0000101_6	udk//
go_0000103_5	tktA//mutY//
go_0000105_6	orn//yieH//nrfD//pfkA//kdgK//rlmF//fadB//
go_0000160_5	rfaE//
go_0000162_7	nadK//lgoD//tesB//tdk//purA//lpoA//ruvA//ribD//cynS//
go_0000270_7	bcsA//rutA//glgC//nfi//dxr//putA//astB//gudD//ssuD//sdhC//
go_0000271_6	galT//
go_0000302_5	aroB//
go_0000303_6	gcvT//dcd//
go_0000305_5	
go_0000372_11	
go_0000413_9	fadH//napC//narV//ppsA//argS//pdxK//dmsB//
go_0000453_8	hisH//serC//gloB//carA//
go_0000455_9	rluD//frc//bioA//sbcB//hemH//rffG//tmk//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	aroE//
go_0000726_7	rihC//
go_0000731_7	nrfC//katG//
go_0000737_7	
go_0000738_7	rihB//tmcA//
go_0000746_4	
go_0000820_7	dsdA//
go_0000902_5	
go_0000910_4	cysK//fbp//murC//
go_0000917_6	
go_0000918_6	
go_0000920_3	dkgA//
go_0000921_6	
go_0000967_10	thiD//
go_0001101_4	acnA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	mnaT//
go_0001510_5	etp//rluD//
go_0001514_8	dapD//
go_0001522_7	umpG//dmlA//yihX//mdh//
go_0001558_5	
go_0001561_6	murD//
go_0001676_6	ulaE//
go_0001680_11	citC//
go_0001682_11	frlC//narI//
go_0001731_7	
go_0001762_6	bcsA//
go_0001887_4	deoA//aceB//
go_0001896_5	alr//
go_0002047_6	ispH//rfbB//
go_0002097_8	ybcF//
go_0002098_9	hemA//sdhC//eno//mtn//
go_0002099_9	argF//nanK//
go_0002100_9	tsaC//
go_0002101_9	pyrF//
go_0002128_7	folC//
go_0002131_9	phnN//
go_0002132_9	pabC//
go_0002136_10	ribC//
go_0002143_9	yhdH//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	pheA//
go_0002938_8	asnS//
go_0002939_7	phnL//
go_0002943_8	frmA//
go_0002949_8	lpxK//caiB//truC//
go_0003333_7	mrcA//def//nth//psd//nudG//yihV//kdgK//truA//sdhD//sodB//rlmJ//cobB//ndk//
go_0005975_4	phnG//ubiC//nrdB//ravA//mhpB//ispA//udk//pcm//ppc//feaB//glk//rsmC//adeD//citG//dhaK//dhaK//
go_0005976_5	pdeL//
go_0005977_6	ulaF//
go_0005978_7	dmsB//moaE//paaC//fadA//
go_0005980_7	edd//hemA//fadI//
go_0005986_7	lysA//
go_0005990_7	ynfF//
go_0005992_7	frmA//thrS//
go_0005993_7	astB//phnJ//recG//
go_0005995_7	tauD//
go_0005998_7	ldtB//
go_0006000_6	mltD//
go_0006001_7	arnA//trpB//
go_0006002_5	yggF//ubiH//thiL//
go_0006006_6	gnd//amyA//speB//pdeH//aldA//
go_0006007_7	fabI//waaQ//
go_0006011_5	ilvA//
go_0006012_6	gpp//
go_0006013_6	tatD//
go_0006014_6	frdD//
go_0006015_7	surA//cpsG//
go_0006020_5	ampD//
go_0006044_7	mtn//
go_0006046_8	xylB//pgaC//
go_0006047_5	cdh//idnO//
go_0006048_6	fadI//phnN//tatD//gadB//
go_0006053_8	glcF//
go_0006062_8	ribC//
go_0006071_6	fau//rpiB//
go_0006072_6	gatY//
go_0006082_4	dkgB//
go_0006083_6	ygeX//uvrC//rbsK//
go_0006086_8	yfcG//eptA//
go_0006090_8	leuD//dnaE//ghrB//ldtB//alkB//tig//recF//
go_0006094_7	nadA//trmI//pabC//gabD//cysH//ubiD//aes//bglB//rlmJ//
go_0006096_6	asnA//treF//allD//arsC//lpoB//spoT//yihX//pyrF//tsaE//tesB//glgB//acpS//malY//
