# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	tesB//
go_0000025_7	rpe//
go_0000027_7	epmA//nudB//cysG//nth//
go_0000028_7	tyrB//
go_0000032_8	rsmG//
go_0000041_8	lplA//
go_0000050_5	sthA//thiC//ansB//malZ//nadE//
go_0000053_5	nemA//
go_0000096_5	slyD//
go_0000101_6	trmH//
go_0000103_5	talB//yfiC//
go_0000105_6	narH//ndk//fadA//rlmL//aspC//waaY//purA//
go_0000160_5	rfaE//
go_0000162_7	clsA//gph//prmC//entB//yihX//moaD//insI-1//lgoD//yihX//
go_0000270_7	putA//lpxD//fre//waaF//glk//dosP//ycaO//proC//fre//rsgA//
go_0000271_6	cmoB//
go_0000302_5	lpxK//
go_0000303_6	panC//trmJ//
go_0000305_5	
go_0000372_11	
go_0000413_9	iaaA//bglX//yjhH//fumC//leuA//hycB//accD//
go_0000453_8	katG//dkgA//kbaY//entH//
go_0000455_9	yciA//ilvI//rutE//pabC//entE//fdhF//pgi//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	fadJ//
go_0000726_7	yeiG//
go_0000731_7	mutT//waaY//
go_0000737_7	
go_0000738_7	fucK//idnK//
go_0000746_4	
go_0000820_7	ftsI//
go_0000902_5	
go_0000910_4	roxA//dgoA//rsmA//
go_0000917_6	
go_0000918_6	
go_0000920_3	moeA//
go_0000921_6	
go_0000967_10	iscS//
go_0001101_4	idnD//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	galK//
go_0001510_5	ndk//eutB//
go_0001514_8	glgP//
go_0001522_7	asd//btuE//ppc//fklB//
go_0001558_5	
go_0001561_6	ulaE//
go_0001676_6	ribD//
go_0001680_11	kefF//
go_0001682_11	fadK//yqjH//
go_0001731_7	
go_0001762_6	dmsC//
go_0001887_4	uxuA//lpoB//
go_0001896_5	aes//
go_0002047_6	btuE//hemD//
