# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	rbsK//
go_0000025_7	fkpA//
go_0000027_7	ansB//cobC//hemC//cysM//
go_0000028_7	rlmM//
go_0000032_8	mhpD//
go_0000041_8	rsmC//
go_0000050_5	trpS//nfsB//coaE//uidA//truC//
go_0000053_5	eptC//
go_0000096_5	dcm//
go_0000101_6	trmL//
go_0000103_5	etp//cysG//
go_0000105_6	ribB//lysS//rlmA//pdxY//paoC//wecB//nhoA//
go_0000160_5	gldA//
go_0000162_7	bioF//dgkA//leuA//poxB//dhaK//ligB//sseA//argB//fumB//
go_0000270_7	paaZ//frdD//ilvE//bglB//hpt//gmhB//argC//pdxJ//nadK//entE//
go_0000271_6	epmA//
go_0000302_5	gloA//
go_0000303_6	purD//pdxB//
go_0000305_5	
go_0000372_11	
go_0000413_9	sgbE//purF//metC//cdsA//rutE//pdeF//nanE//
go_0000453_8	rbn//accC//glgX//leuB//
go_0000455_9	glmS//paoC//accB//serC//rhaA//dosP//umpG//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	entH//
go_0000726_7	recR//
go_0000731_7	hisD//def//
go_0000737_7	
go_0000738_7	dacA//clsC//
go_0000746_4	
go_0000820_7	mnmG//
go_0000902_5	
go_0000910_4	selD//abgB//dapA//
go_0000917_6	
go_0000918_6	
go_0000920_3	selA//
go_0000921_6	
go_0000967_10	hemF//
go_0001101_4	carA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	lpcA//
go_0001510_5	rlmA//ubiD//
go_0001514_8	cpdB//
go_0001522_7	rsmF//lpxT//ynfF//waaJ//
go_0001558_5	
go_0001561_6	gshA//
go_0001676_6	edd//
go_0001680_11	etp//
go_0001682_11	xylA//cpdB//
go_0001731_7	
go_0001762_6	avtA//
go_0001887_4	malY//umpH//
go_0001896_5	nrfD//
go_0002047_6	aldA//uxuA//
go_0002097_8	cpdB//
go_0002098_9	gor//ldcA//sgbE//cynT//
go_0002099_9	queC//dld//
go_0002100_9	thrS//
go_0002101_9	pinE//
go_0002128_7	ascB//
go_0002131_9	lpxP//
go_0002132_9	queC//
go_0002136_10	ymdB//
go_0002143_9	aceF//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	rimK//
go_0002938_8	rluD//
go_0002939_7	moeB//
go_0002943_8	sdhD//
go_0002949_8	orn//epmC//malQ//
go_0003333_7	folE//carB//nrdD//waaQ//glcE//argF//sdaB//yqjH//iscS//recF//pldB//rffM//hisB//
go_0005975_4	prmB//argB//polB//phnJ//gdhA//lyxK//ribE//rsmB//gshB//paaC//feaB//gshB//entA//cysS//glmU//psuG//
go_0005976_5	pykA//
go_0005977_6	ulaE//
go_0005978_7	xdhB//yagF//gph//ubiG//
go_0005980_7	gshB//lpxH//cmoA//
go_0005986_7	murD//
go_0005990_7	galU//
go_0005992_7	purC//rluC//
go_0005993_7	queF//ilvM//nudC//
go_0005995_7	metH//
go_0005998_7	tdcD//
go_0006000_6	fkpB//
go_0006001_7	rph//mrcA//
go_0006002_5	gnd//recF//nrdD//
go_0006006_6	nemA//araD//curA//glgA//nagB//
go_0006007_7	agp//ppx//
go_0006011_5	wzb//
go_0006012_6	preA//
go_0006013_6	waaA//
go_0006014_6	sucC//
go_0006015_7	mmuM//yjiA//
go_0006020_5	lysA//
go_0006044_7	thiH//
go_0006046_8	glmM//tnaA//
go_0006047_5	cysK//kbaZ//
go_0006048_6	rsmG//hyaA//rffH//thrB//
go_0006053_8	metK//
go_0006062_8	guaB//
go_0006071_6	insI-2//ubiI//
go_0006072_6	hemA//
go_0006082_4	rlmH//
go_0006083_6	pgaC//kdsC//glgC//
go_0006086_8	hypF//nrdF//
go_0006090_8	dxr//narH//mcrB//yfeX//udk//ldhA//dam//
go_0006094_7	lpxB//gabD//rihB//hemG//acpH//selB//argE//tyrS//hisA//
go_0006096_6	poxB//torC//puuB//yjhH//kdsD//cdd//prmC//cysQ//metC//gpmM//nrdA//tatD//napC//
go_0006097_5	insI-2//ubiF//slyD//dbpA//rsmJ//
go_0006098_6	mazG//adhE//trmA//glcB//umpG//
go_0006099_4	eda//sgbU//glxK//gabT//gltD//pta//bioH//ispF//thiG//cobB//speA//dxs//sodC//
go_0006103_5	ubiX//bfr//eptB//bioF//
go_0006104_6	ligB//
go_0006105_5	ltaE//
go_0006106_8	dgt//
go_0006107_8	
go_0006108_8	thiI//tig//araD//rsmF//
go_0006113_5	aspA//betA//
go_0006115_6	hdhA//
go_0006124_6	
go_0006144_6	
go_0006145_7	gutQ//
go_0006146_8	gadB//
go_0006148_9	gcl//
go_0006149_9	menC//
go_0006150_9	hisD//
go_0006152_7	proB//edd//mdh//gudD//avtA//
go_0006154_6	acs//
go_0006161_9	ssuE//
go_0006163_6	alsE//
go_0006164_7	cysH//dmsA//upp//metH//
go_0006166_6	hisA//
go_0006168_7	fadJ//ynfH//
go_0006171_9	
go_0006172_9	thiD//
go_0006177_9	ubiE//
go_0006178_7	waaO//
go_0006183_9	glpK//
go_0006189_10	yfiC//rnt//
go_0006203_8	lacZ//tag//
